frequency_index,x_left,x_center,x_right,nu_center_Hz
0,-4.25,-4.0,-3.75,2465836062701727.0
1,-3.75,-3.5,-3.25,2465864999762483.0
2,-3.25,-3.0,-2.75,2465893936823239.5
3,-2.75,-2.5,-2.25,2465922873883995.5
4,-2.25,-2.0,-1.75,2465951810944752.0
5,-1.75,-1.5,-1.25,2465980748005508.0
6,-1.25,-1.0,-0.75,2466009685066264.5
7,-0.75,-0.5,-0.25,2466038622127020.5
8,-0.25,0.0,0.25,2466067559187777.0
9,0.25,0.5,0.75,2466096496248533.5
10,0.75,1.0,1.25,2466125433309289.5
11,1.25,1.5,1.75,2466154370370046.0
12,1.75,2.0,2.25,2466183307430802.0
13,2.25,2.5,2.75,2466212244491558.5
14,2.75,3.0,3.25,2466241181552314.5
15,3.25,3.5,3.75,2466270118613071.0
16,3.75,4.0,4.25,2466299055673827.0
