physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,x_i,x_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI_kg_m_per_s,DeltaE_SI_J,p_parallel_over_sigma_p,required_parallel_speed_over_c,log_dynamic_structure_factor,same_ray_frequency_change,log_dynamic_structure_factor_relative,recommended_active
0,0,0,0,-4.0,-4.0,0,-1,-1.0,13,1.0900075898414656e-26,0.0,-0.0006546062357169537,1.086287005048001e-08,50.34992663466756,False,-1.1943347744337274,True
1,0,0,0,-4.0,-4.0,1,-sqrt(2/3),-0.816496580927726,24,1.0387997023952234e-26,0.0,-0.0006238532366070324,1.0352539083913948e-08,50.3980453993825,False,-1.146216009718792,True
2,0,0,0,-4.0,-4.0,2,-1/sqrt(2),-0.7071067811865475,24,1.0070357025364877e-26,0.0,-0.0006047773030331524,1.0035983303968329e-08,50.42910025795462,False,-1.1151611511466655,True
3,0,0,0,-4.0,-4.0,3,-1/sqrt(3),-0.5773502691896258,24,9.680072193746653e-27,0.0,-0.0005813386694984824,9.64703065372496e-09,50.46862707302071,False,-1.0756343360805758,True
4,0,0,0,-4.0,-4.0,4,-1/2,-0.5,24,9.439742631205581e-27,0.0,-0.0005669056296065863,9.407521421724834e-09,50.49376772445712,False,-1.0504936846441666,True
5,0,0,0,-4.0,-4.0,5,-1/3,-0.3333333333333333,12,8.899874702908277e-27,0.0,-0.0005344837533168618,8.86949625527912e-09,50.55265926013986,False,-0.9916021489614266,True
6,0,0,0,-4.0,-4.0,6,0,0.0,96,7.707517583217053e-27,0.0,-0.00046287650828245755,7.681209075842668e-09,50.69650033207487,False,-0.8477610770264192,True
7,0,0,0,-4.0,-4.0,7,1/3,0.3333333333333333,12,6.293161754137054e-27,0.0,-0.00037793708640439087,6.271680947816557e-09,50.899232921838056,False,-0.6450284872632324,True
8,0,0,0,-4.0,-4.0,8,1/2,0.5,24,5.450037949207328e-27,0.0,-0.00032730311785847686,5.431435025240005e-09,51.0430739759185,False,-0.5011874331827855,True
9,0,0,0,-4.0,-4.0,9,1/sqrt(3),0.5773502691896258,24,5.0107740834179426e-27,0.0,-0.0003009230386415341,4.993670523743681e-09,51.127106145183106,False,-0.4171552639181826,True
10,0,0,0,-4.0,-4.0,10,1/sqrt(2),0.7071067811865475,24,4.1712784578453106e-27,0.0,-0.0002505069611317549,4.1570403962536255e-09,51.31047399647508,False,-0.2337874126262065,True
11,0,0,0,-4.0,-4.0,11,sqrt(2/3),0.816496580927726,24,3.3016923571949625e-27,0.0,-0.0001982837941296517,3.290422503212877e-09,51.54426140910129,False,0.0,True
12,1,0,1,-4.0,-3.5,0,-1,-1.0,26,1.0900139855658872e-26,1.9173899450406803e-23,0.3529298960380614,5.856698864763943e-06,50.287641225584494,False,-1.2566201835167945,True
13,1,0,1,-4.0,-3.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388057976542441e-26,1.9173899450406803e-23,0.37039068462236285,6.146452104224656e-06,50.32944509677067,False,-1.214816312330619,True
14,1,0,1,-4.0,-3.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070416114183506e-26,1.9173899450406803e-23,0.3821123307100823,6.340967083277912e-06,50.3560896566101,False,-1.1881717524911863,True
15,1,0,1,-4.0,-3.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680128992546384e-27,1.9173899450406803e-23,0.397566303515113,6.597418197222522e-06,50.389591891569076,False,-1.1546695175322128,True
