weighted_orbit_id,physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,mu_id,mu_label,class_1,class_2,quadrature_weight_product,edge_multiplicity
0,0,0,0,0,0,-1,axis,axis,0.0022675736961451243,3
1,0,0,0,0,0,-1,edge_midpoint,edge_midpoint,0.00145124716553288,6
2,0,0,0,0,0,-1,cube_corner,cube_corner,0.0010331632653061223,4
3,1,0,0,0,1,-sqrt(2/3),edge_midpoint,cube_corner,0.0012244897959183673,24
4,2,0,0,0,2,-1/sqrt(2),axis,edge_midpoint,0.0018140589569160999,24
5,3,0,0,0,3,-1/sqrt(3),axis,cube_corner,0.0015306122448979589,24
6,4,0,0,0,4,-1/2,edge_midpoint,edge_midpoint,0.00145124716553288,24
7,5,0,0,0,5,-1/3,cube_corner,cube_corner,0.0010331632653061223,12
8,6,0,0,0,6,0,axis,axis,0.0022675736961451243,12
9,6,0,0,0,6,0,axis,edge_midpoint,0.0018140589569160999,24
10,6,0,0,0,6,0,edge_midpoint,edge_midpoint,0.00145124716553288,12
11,6,0,0,0,6,0,edge_midpoint,cube_corner,0.0012244897959183673,48
12,7,0,0,0,7,1/3,cube_corner,cube_corner,0.0010331632653061223,12
13,8,0,0,0,8,1/2,edge_midpoint,edge_midpoint,0.00145124716553288,24
14,9,0,0,0,9,1/sqrt(3),axis,cube_corner,0.0015306122448979589,24
15,10,0,0,0,10,1/sqrt(2),axis,edge_midpoint,0.0018140589569160999,24
16,11,0,0,0,11,sqrt(2/3),edge_midpoint,cube_corner,0.0012244897959183673,24
17,12,1,0,1,0,-1,axis,axis,0.0022675736961451243,6
18,12,1,0,1,0,-1,edge_midpoint,edge_midpoint,0.00145124716553288,12
19,12,1,0,1,0,-1,cube_corner,cube_corner,0.0010331632653061223,8
20,13,1,0,1,1,-sqrt(2/3),edge_midpoint,cube_corner,0.0012244897959183673,48
21,14,1,0,1,2,-1/sqrt(2),axis,edge_midpoint,0.0018140589569160999,48
22,15,1,0,1,3,-1/sqrt(3),axis,cube_corner,0.0015306122448979589,48
