physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,mu_label,edge_multiplicity,Q_SI,DeltaE_SI,pole_mean_amp2,full_mean_amp2,full_over_pole,integrated_amp_reciprocity,pointwise_amp_reciprocity,forward_reverse_log_edge_residual,quad_change_pole_96_128_to_128_192,quad_change_full_96_128_to_128_192,pole_location_t,pole_width_t,quadrature_points,log_edge_pole_no_angular,log_edge_full_no_angular
0,0,0,-4.0,-4.0,-1.0,-1,13,1.0900075898414656e-26,0.0,4915400.828248906,4916235.237362107,1.0001697540327548,0.0,0.0,0.0,4.9262283557511485e-15,4.925392250553718e-15,0.0,1.0,192,143.98375326995028,143.98392300957644
1,0,0,-4.0,-4.0,-0.816496580927726,-sqrt(2/3),24,1.0387997023952234e-26,0.0,4958196.065457211,4959032.882027599,1.000168774400879,0.0,0.0,0.0,5.0715440016184906e-15,5.070688199255617e-15,-13.205292608720121,0.002844202311500058,192,144.04054071045977,144.04070947061984
2,0,0,-4.0,-4.0,-0.7071067811865475,-1/sqrt(2),24,1.0070357025364877e-26,0.0,4984313.764345713,4985152.036337355,1.0001681820269097,0.0,0.0,0.0,4.858118506345887e-15,5.044120887653558e-15,-10.452452426373432,0.002251271673444399,192,144.0768493247556,144.07701749264152
3,0,0,-4.0,-4.0,-0.5773502691896258,-1/sqrt(3),24,9.680072193746653e-27,0.0,5015911.125569591,5016751.144304142,1.0001674708170702,0.0,0.0,0.0,5.013188807599228e-15,5.012349385352221e-15,-8.701333615920595,0.0018740978694833563,192,144.1226954909809,144.1228629477763
4,0,0,-4.0,-4.0,-0.5,-1/2,24,9.439742631205581e-27,0.0,5035077.664500999,5035918.735288154,1.0001670422669118,0.0,0.0,0.0,4.9941055908439465e-15,4.9932715034527035e-15,-8.000056607178509,0.0017230487423600047,320,144.1516500084088,144.15181703672573
5,0,0,-4.0,-4.0,-0.3333333333333333,-1/3,12,8.899874702908279e-27,0.0,5077255.291124353,5078098.657057363,1.0001661066628822,0.0,0.0,0.0,5.1360490253108125e-15,5.135196035034187e-15,-6.928319063999299,0.0014922039828425924,512,144.21888341166888,144.2190495045376
6,0,0,-4.0,-4.0,0.0,0,96,7.707517583217053e-27,0.0,5165499.550554377,5166347.628982175,1.0001641812993105,0.0,0.0,0.0,5.408901300836583e-15,5.40801340616887e-15,-5.657057928371097,0.0012183794500377119,512,144.3799554813475,144.38011964917055
7,0,0,-4.0,-4.0,0.3333333333333333,1/3,12,6.293161754137054e-27,0.0,5259591.72519491,5260444.69284176,1.0001621737373196,0.0,0.0,0.0,5.1350667646827665e-15,5.1342341267461585e-15,-4.89925036092114,0.0010551475551815717,512,144.60073965976537,144.60090182035395
8,0,0,-4.0,-4.0,0.5,1/2,24,5.450037949207328e-27,0.0,5309224.592491355,5310080.07708406,1.0001611317392591,0.0,0.0,0.0,5.087061998101534e-15,5.086242443010399e-15,-4.619102077563415,0.000994802655228395,512,144.75397310570426,144.7541342244632
9,0,0,-4.0,-4.0,0.5773502691896258,1/sqrt(3),24,5.010774083417944e-27,0.0,5333021.830884677,5333878.501101108,1.0001606350477452,0.0,0.0,0.0,5.064362292206959e-15,5.063548908786235e-15,-4.504442638220706,0.0009701044420167016,512,144.84247750331434,144.84263812546166
10,0,0,-4.0,-4.0,0.7071067811865475,1/sqrt(2),24,4.1712784578453106e-27,0.0,5374583.091907388,5375441.77715217,1.000159767786654,0.0,0.0,0.0,5.025199946115983e-15,5.024397209294582e-15,-4.329901825405342,0.0009325072597270439,512,145.03360833615866,145.0337680911838
11,0,0,-4.0,-4.0,0.816496580927726,sqrt(2/3),24,3.3016923571949625e-27,0.0,5412317.5656608045,5413177.976191413,1.000158972661927,0.0,0.0,0.0,4.818089805868511e-15,4.989371268160544e-15,-4.197530392348088,0.0009039934274666545,512,145.27439212872278,145.2745510887499
12,0,1,-4.0,-3.5,-1.0,-1,26,1.0900139855658873e-26,1.9173899450406803e-23,5592715.728587195,5593605.839879848,1.000159155468622,0.0,0.0,0.0,4.995726333031831e-15,4.994931362390115e-15,0.0,1.0,192,144.05010836198375,144.0502675047885
13,0,1,-4.0,-3.5,-0.816496580927726,-sqrt(2/3),48,1.0388057976542442e-26,1.9173899450406803e-23,5648238.8936495725,5649131.930988661,1.0001581089886429,0.0,1.6851508822143865e-19,2.842170943040401e-14,4.94661747927792e-15,4.945835498229301e-15,-12.379807752936333,0.002844185623070094,192,144.10179104123804,144.10194913772878
14,0,1,-4.0,-3.5,-0.7071067811865475,-1/sqrt(2),48,1.0070416114183507e-26,1.9173899450406803e-23,5682237.820676632,5683132.630460689,1.0001574748914592,0.0,2.109118182600337e-19,2.842170943040401e-14,5.080920708391244e-15,4.916245855096205e-15,-9.799056606118306,0.0022512584640528863,192,144.13443694240257,144.13459440489618
15,0,1,-4.0,-3.5,-0.5773502691896258,-1/sqrt(3),48,9.680128992546384e-27,1.9173899450406803e-23,5723489.209805441,5724386.150426597,1.000156712206187,3.9726409382181956e-20,1.776273758724242e-18,2.842170943040401e-14,4.881581184882519e-15,5.043510178104998e-15,-8.157406805212881,0.0018740868731714564,192,144.17517266083627,144.17532936076438
16,0,1,-4.0,-3.5,-0.5,-1/2,48,9.439798019857994e-27,1.9173899450406803e-23,5748577.30970987,5749475.535675209,1.0001562518718887,0.0,2.954625764490386e-16,0.0,5.18429531031208e-15,5.183485381018388e-15,-7.499969571996929,0.0017230386323342352,512,144.200599862809,144.20075610247486
17,0,1,-4.0,-3.5,-0.3333333333333333,-1/3,24,8.899926923856109e-27,1.9173899450406803e-23,5803966.95747319,5804867.9928022,1.0001552447378856,3.916948253175889e-20,2.984108885315276e-16,0.0,5.295282552003185e-15,5.1340224144027015e-15,-6.495231411331526,0.001492195227307724,512,144.25866214039084,144.2588173730795
18,0,1,-4.0,-3.5,0.0,0,192,7.707562807950823e-27,1.9173899450406803e-23,5920716.256904198,5921623.084540741,1.0001531618130637,3.83971881014893e-20,2.966952768301921e-16,0.0,5.190866042004973e-15,5.190071121302105e-15,-5.3034443787511245,0.0012183723011839143,512,144.39116350055383,144.39131665063883
19,0,1,-4.0,-3.5,0.3333333333333333,1/3,24,6.293198680085883e-27,1.9173899450406803e-23,6046781.7933067065,6047694.667976314,1.0001509686806656,0.0,1.5089339387933202e-16,2.842170943040401e-14,5.0826449527797454e-15,5.081877748400766e-15,-4.593013841185984,0.0010551413641107384,512,144.55245385343193,144.55260481071795
20,0,1,-4.0,-3.5,0.5,1/2,48,5.450069928110891e-27,1.9173899450406803e-23,6115000.079461558,6115916.083755138,1.0001497962848205,0.0,3.0095940705767615e-16,0.0,5.025943509884136e-15,5.0251907549785254e-15,-4.330381212198637,0.0009947968182479608,512,144.64500249263523,144.6451522777017
21,0,1,-4.0,-3.5,0.5773502691896258,1/sqrt(3),48,5.010803484938964e-27,1.9173899450406803e-23,6149085.082576871,6150002.565382397,1.000149206393017,0.0,2.996690457604991e-16,0.0,4.846627097767556e-15,4.84590405790217e-15,-4.222891127122112,0.0009700987499646589,512,144.6888319543397,144.68898114960254
22,0,1,-4.0,-3.5,0.7071067811865475,1/sqrt(2),48,4.1713029336415646e-27,1.9173899450406803e-23,6213593.860531008,6214513.862778836,1.0001480628229777,7.317504810957533e-20,2.3440922786281645e-16,2.842170943040401e-14,4.94619469056903e-15,4.945462451437539e-15,-4.059265399996987,0.0009325017883087335,512,144.75158936893547,144.75173742079824
23,0,1,-4.0,-3.5,0.816496580927726,sqrt(2/3),48,3.3017117307552e-27,1.9173899450406803e-23,6281902.847870322,6282825.013890721,1.0001467972432447,1.0858509640290718e-19,2.780354673573591e-16,2.842170943040401e-14,4.5959004002851814e-15,4.4469927423877664e-15,-3.935175645182767,0.0009039881234145179,512,144.74185596276214,144.74200274923174
25,0,2,-4.0,-3.0,-1.0,-1,26,1.090020381290309e-26,3.8347798901144907e-23,6420306.062501931,6421259.833628722,1.0001485553986844,1.0624431603247902e-19,4.381596849706755e-20,0.0,5.077061715472065e-15,5.0763076025723195e-15,0.0,1.0,192,144.0003535008523,144.00050204521773
26,0,2,-4.0,-3.0,-0.816496580927726,-sqrt(2/3),48,1.038811892916878e-26,3.8347798901144907e-23,6493670.488469364,6494627.864695798,1.0001474322154371,0.0,2.377893946337244e-19,2.842170943040401e-14,5.019701903480028e-15,5.018961946801016e-15,-11.554343249673645,0.002844168935041696,192,144.0345751294972,144.03472255084557
27,0,2,-4.0,-3.0,-0.7071067811865475,-1/sqrt(2),48,1.0070475203061622e-26,3.8347798901144907e-23,6538779.675752641,6539739.241089226,1.0001467499111711,3.4773105490369716e-20,5.563453538395745e-19,0.0,4.985072403099402e-15,4.984340951507522e-15,-9.145677436429612,0.0022512452549846925,192,144.05491162282289,144.05505836196735
28,0,2,-4.0,-3.0,-0.5773502691896258,-1/sqrt(3),48,9.680185791435415e-27,3.8347798901144907e-23,6593708.750614172,6594670.953239972,1.0001459273774733,3.448342716412115e-20,2.75964978164168e-16,0.0,5.084788235912648e-15,5.0840463343641214e-15,-7.61349447059769,0.0018740758771349261,512,144.0787058209467,144.07885173767784
29,0,2,-4.0,-3.0,-0.5,-1/2,48,9.439853408618738e-27,3.8347798901144907e-23,6627224.965626936,6628188.762109977,1.0001454298726902,0.0,4.692874551657615e-16,0.0,5.1996024640025e-15,5.058337034367176e-15,-6.999896229844109,0.0017230285225655192,512,144.09256793625337,144.09271335555218
30,0,2,-4.0,-3.0,-0.3333333333333333,-1/3,24,8.899979144957143e-27,3.8347798901144907e-23,6701529.857662908,6702497.146042844,1.0001443384421889,3.392862231050723e-20,1.9836285963506918e-16,0.0,5.280922205385829e-15,5.280160075306052e-15,-6.062156464171066,0.0014921864720040328,512,144.12093563793104,144.12107996595745
31,0,2,-4.0,-3.0,0.0,0,192,7.707608032949949e-27,3.8347798901144907e-23,6859664.05898113,6860638.585059178,1.0001420661521714,3.314176554036782e-20,1.8489563114006982e-16,0.0,5.159182363902048e-15,5.1584495228271695e-15,-4.9498432778438,0.0012183651525398446,512,144.16307880629273,144.16322086235445
32,0,2,-4.0,-3.0,0.3333333333333333,1/3,24,6.293235606468035e-27,3.8347798901144907e-23,7035002.010642507,7035984.15449307,1.0001396081833491,3.231583108356416e-20,2.771401332337306e-16,0.0,5.030596690924896e-15,5.029894476494594e-15,-4.286791695854264,0.0010551351732578601,512,144.14100983129123,144.14114942973026
33,0,2,-4.0,-3.0,0.5,1/2,48,5.450101907577358e-27,3.8347798901144907e-23,7141609.346941036,7142595.462072737,1.0001380802398723,6.367575273229499e-20,2.7316585069352235e-16,0.0,4.694685897446645e-15,4.69403774358904e-15,-4.041677287137599,0.0009947909815072645,512,144.04984998716054,144.0499880578682
34,0,2,-4.0,-3.0,0.5773502691896258,1/sqrt(3),48,5.0108328871038065e-27,3.8347798901144907e-23,7204573.95801386,7205561.956929329,1.0001371349536041,6.31106017274822e-20,2.6922703318530233e-16,0.0,4.782924772733163e-15,4.653018444163808e-15,-3.941358554348163,0.0009700930581708509,512,143.95961733471884,143.95975446027032
35,0,2,-4.0,-3.0,0.7071067811865475,1/sqrt(2),48,4.171327410274834e-27,3.8347798901144907e-23,7353193.25373506,7354184.474610896,1.000134801417783,9.276527935441005e-20,2.7475375520101275e-16,0.0,4.306287954670854e-15,4.305707539190012e-15,-3.7886538366729776,0.0009324963172059502,512,143.63922358457384,143.63935837690673
36,0,2,-4.0,-3.0,0.816496580927726,sqrt(2/3),48,3.301731105440664e-27,3.8347798901144907e-23,7555932.809784411,7556926.808950296,1.0001315521446401,4.2128901041618367e-19,4.259383512795828e-16,0.0,3.6977138285671896e-15,3.697227450366871e-15,-3.67285753196353,0.0009039828197949428,512,142.88240410684404,142.88253565033645
38,0,3,-4.0,-2.5,-1.0,-1,26,1.0900267770147305e-26,5.752169835155171e-23,7446151.3631044375,7447178.588150847,1.000137953822897,0.0,0.0,0.0,5.0029741765936546e-15,5.0022840923798945e-15,0.0,1.0,192,143.83581468412908,143.8359526284372
39,0,3,-4.0,-2.5,-0.816496580927726,-sqrt(2/3),48,1.0388179881831247e-26,5.752169835155171e-23,7545153.54025236,7546185.277294734,1.000136741689466,6.027012551307927e-20,5.450758216336836e-19,0.0,4.937328682031454e-15,4.936653635673004e-15,-10.728899098235475,0.0028441522474148507,192,143.84030887957914,143.8404456119203
40,0,3,-4.0,-2.5,-0.7071067811865475,-1/sqrt(2),48,1.0070534291999221e-26,5.752169835155171e-23,7606341.436226631,7607375.921433741,1.0001360029937894,5.978529292948177e-20,6.222552507247727e-19,0.0,4.897611196783146e-15,5.0193688275152494e-15,-8.492314916732175,0.0022512320462398077,192,143.83974883808176,143.839884831828
41,0,3,-4.0,-2.5,-0.5773502691896258,-1/sqrt(3),48,9.680242590413742e-27,5.752169835155171e-23,7681190.488190275,7682228.29298839,1.0001351098895035,2.96013587728121e-20,3.4593714677679873e-16,0.0,5.2136281179378496e-15,5.21292380037919e-15,-7.069596611569143,0.0018740648813737556,512,143.83484795251834,143.83498305328135
42,0,3,-4.0,-2.5,-0.5,-1/2,48,9.439908797487811e-27,5.752169835155171e-23,7727053.405925615,7728093.221768708,1.0001345682226417,0.0,3.916540671084269e-16,0.0,5.1826833082006385e-15,5.181985977557884e-15,-6.49983658023806,0.001723018413053848,512,143.8291574680391,143.82929202720825
43,0,3,-4.0,-2.5,-0.3333333333333333,-1/3,24,8.900031366211375e-27,5.752169835155171e-23,7829280.433913385,7830324.669011086,1.0001333756156157,5.80829049010272e-20,2.806407709124247e-16,0.0,5.233966726441363e-15,5.233268736002016e-15,-5.62909422206323,0.0014921777169315104,512,143.80742770885678,143.80756107557866
44,0,3,-4.0,-2.5,0.0,0,192,7.707653258214425e-27,5.752169835155171e-23,8049806.103068401,8050859.5617993865,1.0001308675907838,2.82458574196666e-20,2.0674297327172006e-16,2.842170943040401e-14,5.090581407601993e-15,5.089915302649041e-15,-4.596254625186571,0.0012183580041054947,512,143.6977532737045,143.69788413273287
45,0,3,-4.0,-2.5,0.3333333333333333,1/3,24,6.293272533283502e-27,5.752169835155171e-23,8322755.474181175,8323818.7504262095,1.0001277553147312,1.092780755837847e-19,4.300590737222999e-16,0.0,4.699831474707412e-15,4.6992311229563046e-15,-3.9805839243672563,0.0010551289826229283,512,143.37124543700895,143.37137318416364
46,0,3,-4.0,-2.5,0.5,1/2,48,5.450133887606717e-27,5.752169835155171e-23,8576147.261692444,8577215.710887678,1.00012458382099,5.3018061596517923e-20,3.441126281018662e-16,0.0,4.77815877370957e-15,4.560401586286085e-15,-3.752990301704433,0.0009947851450062962,512,142.9824920714904,142.98261664755148
47,0,3,-4.0,-2.5,0.5773502691896258,1/sqrt(3),48,5.0108622899124586e-27,5.752169835155171e-23,8778133.69164422,8779204.60986387,1.000121998394792,5.180455970035312e-20,2.8024178595493596e-16,0.0,4.668212483718221e-15,4.4554774460891195e-15,-3.6598449191333353,0.0009700873666352664,512,142.67796189155143,142.678083882505
