physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,mu_label,edge_multiplicity,Q_SI,DeltaE_SI,pole_mean_amp2,full_mean_amp2,full_over_pole,integrated_amp_reciprocity,pointwise_amp_reciprocity,forward_reverse_log_edge_residual,quad_change_pole_96_128_to_128_192,quad_change_full_96_128_to_128_192,pole_location_t,pole_width_t,quadrature_points,log_edge_pole_no_angular,log_edge_full_no_angular
113,0,8,-4.0,0.0,0.7071067811865475,1/sqrt(2),48,4.171474287650943e-27,1.5339119560457963e-22,1641110885.4207373,1641112839.2516334,1.0000011905538582,1.6315468004262862e-18,2.222931324996093e-16,1.4210854715202004e-14,5.5205934506592797e-14,5.506059017897739e-14,-2.1655065024744737,0.0009324634972145163,512,123.43697919709719,123.43698038765034
1855,13,13,2.5,2.5,0.5773502691896258,1/sqrt(3),24,5.0115385145947176e-27,0.0,82386653.82758284,82385205.85566905,0.9999824246786765,0.0,0.0,0.0,5.209016539025075e-14,5.1910209099028376e-14,2.8150262155264563,0.0009699564678810058,512,147.57411752019794,147.57409994472218
99,0,7,-4.0,-0.5,0.5773502691896258,1/sqrt(3),48,5.0109799075849355e-27,1.3421729615384153e-22,318543658.76171553,318545307.509266,1.0000051758919228,1.0232911318421562e-17,3.783136205266111e-16,0.0,5.1644041579599564e-14,5.164377427700542e-14,-2.5339797383027034,0.000970064603074937,512,134.43730395290257,134.4373091287811
644,3,4,-2.5,-2.0,0.816496580927726,sqrt(2/3),48,3.301827968740889e-27,1.9173899450738107e-23,667527854.0298679,667529539.2627513,1.0000025245881101,8.71988495492249e-19,2.0391033152886266e-16,0.0,5.0181891529384334e-14,5.0181764841097474e-14,-2.3610111485785628,0.0009039562992978087,512,149.4064585587903,149.4064610833752
308,1,7,-3.5,-0.5,0.816496580927726,sqrt(2/3),48,3.3018473614293834e-27,1.1504339670343472e-22,2101891467.982117,2101893444.3452897,1.0000009402784125,9.554072814286457e-18,2.600073676680079e-16,2.842170943040401e-14,4.786766677227665e-14,4.786762176338525e-14,-2.099248343382693,0.0009039510019761597,512,126.7094974615627,126.70949840184068
1612,9,16,0.5,4.0,0.7071067811865475,1/sqrt(2),48,4.171890362793072e-27,1.3421729615384153e-22,489233663.10331464,489231992.0942133,0.9999965844355625,1.1600278899582987e-18,2.852309149571822e-16,0.0,4.5199921590432563e-14,4.5078242885325376e-14,2.434796072561047,0.000932370496542669,512,128.62927836072393,128.62927494515367
87,0,6,-4.0,-1.0,0.7071067811865475,1/sqrt(2),48,4.171425325177768e-27,1.1504339670343472e-22,132378475.16435409,132379933.71974485,1.0000110180706414,2.748164913196795e-20,6.006759101897356e-16,0.0,4.4125415259059974e-14,4.423749268208514e-14,-2.706456183512698,0.0009324744359498016,512,132.87047509313106,132.87048611114102
1741,11,13,1.5,2.5,0.816496580927726,sqrt(2/3),48,3.3021573113879714e-27,3.8347798901144907e-23,2108497906.5372589,2108495927.301994,0.9999990613055585,7.315648782123318e-18,3.255461295264723e-16,0.0,4.35339075602158e-14,4.3533948425291203e-14,2.0984694438960823,0.0009038661436893289,512,148.50954251757713,148.50954157888225
1703,10,16,1.0,4.0,0.816496580927726,sqrt(2/3),48,3.302196075384371e-27,1.1504339670343472e-22,192378783.69047865,192377311.16204756,0.9999923456817699,6.05140601683913e-19,2.723530953738636e-16,0.0,4.2756487078314994e-14,4.275681435257856e-14,2.622524963497627,0.0009038555441867579,512,124.31948956911623,124.3194819147687
670,3,6,-2.5,-1.0,0.816496580927726,sqrt(2/3),48,3.3018667192368645e-27,5.752169835188301e-23,5864934949.234705,5864937316.681424,1.0000004036612067,6.391497744000388e-18,3.8668501816969606e-16,0.0,4.260280345156108e-14,4.260278625446897e-14,-1.8364484872375184,0.0009039456932379364,512,146.1292516054271,146.12925200908825
1801,12,13,2.0,2.5,0.3333333333333333,1/3,24,6.2940848976578135e-27,1.9173899450738107e-23,120431719.41465022,120430103.27364656,0.9999865804373507,3.987431258726091e-18,3.0887456232404265e-16,2.842170943040401e-14,4.169741449125058e-14,4.169797405982583e-14,2.755714022117695,0.0010549927984601086,512,147.53864918457626,147.53863576492358
475,2,5,-3.0,-1.5,0.7071067811865475,1/sqrt(2),48,4.1714497892559805e-27,5.752169835155171e-23,487592294.6427071,487593963.11090696,1.0000034218510385,2.5367767456570546e-18,4.267954651207637e-16,2.842170943040401e-14,3.875096592255272e-14,3.8750833322973463e-14,-2.435535220690215,0.000932468961398425,512,145.6984318997038,145.698435321549
1510,8,16,0.0,4.0,0.816496580927726,sqrt(2/3),48,3.302157345140597e-27,1.5339119560457963e-22,2117321367.4713812,2117319386.9364202,0.9999990646035167,3.1614855958512067e-18,3.64162601313182e-16,0.0,3.873573113224914e-14,3.8735767365549705e-14,2.097463109421481,0.0009038661547947039,512,107.64638322620863,107.64638229081172
1869,13,14,2.5,3.0,0.816496580927726,sqrt(2/3),48,3.3022154286931846e-27,1.9173899450406803e-23,54496200.68055854,54494890.75351617,0.9999759629657479,4.038771787398534e-18,1.9572198809465305e-16,0.0,3.841759832043649e-14,3.855524250586653e-14,2.885403464891367,0.0009038502350895734,512,146.89665642728917,146.89663238996602
304,1,7,-3.5,-0.5,0.3333333333333333,1/3,24,6.2934571677939575e-27,1.1504339670343472e-22,519711417.204463,519713291.02257735,1.0000036054973054,3.5559860906507115e-18,2.9872928921881536e-16,0.0,3.8420468242090386e-14,3.842032971769512e-14,-2.449609737392024,0.0010550980306831025,512,142.4415216073243,142.44152521281512
1737,11,13,1.5,2.5,0.3333333333333333,1/3,24,6.294047972575554e-27,3.8347798901144907e-23,519824649.00887805,519822773.2463733,0.9999963915475952,7.83831812234122e-19,1.1029791463005946e-16,0.0,3.806811028134165e-14,3.795358425226889e-14,2.449542179073079,0.0010549989880781398,512,148.43883397658146,148.43883036812252
75,0,5,-4.0,-1.5,0.816496580927726,sqrt(2/3),48,3.3017892362482146e-27,9.586949725269662e-23,54325502.67147126,54326810.32496417,1.0000240707113346,1.3728094886924007e-18,2.373377449161908e-16,0.0,3.7715429464954155e-14,3.77145216495904e-14,-2.8861229804384894,0.0009039669115313801,512,130.5477271222044,130.54775119262604
450,2,3,-3.0,-2.5,0.816496580927726,sqrt(2/3),48,3.301789222745659e-27,1.9173899450406803e-23,54425846.56724011,54427154.438776664,1.0000240303388748,5.481113864034614e-18,1.5291965905958917e-16,0.0,3.627695263766909e-14,3.641297178251459e-14,-2.885720332392317,0.0009039669070877443,512,146.9001517984421,146.90017582849225
641,3,4,-2.5,-2.0,0.5,1/2,48,5.4502617998435306e-27,1.9173899450738107e-23,240425361.1213307,240426998.84395576,1.0000068117715095,1.392081803881202e-18,3.8582087310660787e-16,2.842170943040401e-14,3.631929850856325e-14,3.631905111148563e-14,-2.598086512735326,0.0009947617972900318,512,148.3153314528203,148.3153382645686
1128,6,6,-1.0,-1.0,-0.5773502691896258,-1/sqrt(3),24,9.680753778807637e-27,0.0,3235524278.53042,3235528183.3216476,1.0000012068496145,0.0,0.0,0.0,3.551750666483917e-14,3.537008843213445e-14,-2.1745845845957943,0.0018739659213789167,512,150.58931955314404,150.58932075999294
1830,12,15,2.0,3.5,0.7071067811865475,1/sqrt(2),48,4.1719392968103666e-27,5.752169835188301e-23,37984611.16057676,37983308.703569,0.999965710929559,7.662268362102704e-19,2.350182120425777e-16,0.0,3.511037459910949e-14,3.511157854249943e-14,2.9763622453947183,0.0009323595517042055,512,143.14252294834165,143.1424886586833
