physics_orbit_id,frequency_i,frequency_j,mu,branch,rel_prod_ref_F,rel_ref_high_F,rel_prod_ref_P,rel_ref_high_P
569,2,13,-1.0,uv_backscatter,1.1955767849195839e-05,-1.0163413670665899e-06,1.1955797379704992e-05,-1.0163438397527972e-06
388,1,14,-1.0,uv_backscatter,1.0341684983336909e-05,-8.070021676484975e-07,1.0341711756864074e-05,-8.070042424316116e-07
1279,7,8,-1.0,uv_backscatter,-1.019527946909449e-05,1.9835397954220505e-06,-1.0195299733566708e-05,1.983543831312795e-06
737,3,12,-1.0,uv_backscatter,9.910065634432986e-06,-7.556961052588657e-07,9.910089366795548e-06,-7.556979242468947e-07
1163,6,9,-1.0,uv_backscatter,-7.081190030544724e-06,1.5656389144386631e-06,-7.0812039570837274e-06,1.5656421545186109e-06
194,0,15,-1.0,uv_backscatter,6.405838373897896e-06,-3.836486374288759e-07,6.405855910204948e-06,-3.836496890317214e-07
892,4,11,-1.0,uv_backscatter,4.766511400666336e-06,-5.579189932064328e-08,4.766522996779056e-06,-5.57920982725982e-08
1034,5,10,-1.0,uv_backscatter,-1.5899019425271718e-06,8.182423919812647e-07,-1.5899043015253038e-06,8.182440688634932e-07
595,2,15,-1.0,uv_backscatter,-4.892714511204829e-07,3.2009837071469614e-08,-4.892700016140113e-07,3.200972338462825e-08
763,3,14,-1.0,uv_backscatter,-4.3250314857979185e-07,1.7603810120241266e-08,-4.3250186960342065e-07,1.7603753276821406e-08
918,4,13,-1.0,uv_backscatter,-3.3993211352352707e-07,9.310497305392146e-09,-3.3993114718573493e-07,9.31046888368245e-09
414,1,16,-1.0,uv_backscatter,-3.134841583452824e-07,4.903120163512105e-08,-3.134831635857642e-07,4.903105952656693e-08
1060,5,12,-1.0,uv_backscatter,-2.6463728681756294e-07,5.049315645025079e-09,-2.646365478533133e-07,5.049287223315505e-09
1189,6,11,-1.0,uv_backscatter,-2.1360637553326529e-07,2.929368751863481e-09,-2.1360577867749475e-07,2.929340330153967e-09
1305,7,10,-1.0,uv_backscatter,-1.8315479365634565e-07,1.9250023815740806e-09,-1.8315425364396537e-07,1.9250023815740806e-09
1408,8,9,-1.0,uv_backscatter,-1.6913465108099622e-07,1.515303439430062e-09,-1.6913416791201761e-07,1.515303439430062e-09
582,2,14,-1.0,uv_backscatter,-1.397174473988661e-07,1.2013941913527464e-08,-1.397174473988661e-07,1.2013913491817693e-08
401,1,15,-1.0,uv_backscatter,-1.3234818231508468e-07,1.0321713315142694e-08,-1.3234818231508468e-07,1.0321713315142694e-08
750,3,13,-1.0,uv_backscatter,-1.0640911229999793e-07,8.390799201793779e-09,-1.0640911229999793e-07,8.390799201793779e-09
207,0,16,-1.0,uv_backscatter,-9.05668814454699e-08,4.942421595323301e-09,-9.05668814454699e-08,4.94239317361373e-09
