type,class,a1,a2,a3,n1,n2,n3,h_parameter,jacobi_residual,metric_compatibility_residual,direction_norm_residual,Cbeta_alpha_beta_1,Cbeta_alpha_beta_2,Cbeta_alpha_beta_3,note
I,A,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,flat Abelian
II,A,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,3.734214979710621e-17,0.0,0.0,0.0,Heisenberg
VI_0,A,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,6.725680345912289e-17,0.0,0.0,0.0,class-A VI
VII_0,A,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.22138067199675e-17,0.0,0.0,0.0,class-A VII
VIII,A,0.0,0.0,0.0,-1.0,1.0,1.0,,0.0,0.0,7.585262408882635e-17,0.0,0.0,0.0,"SL(2,R)-like"
IX,A,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,SU(2)-like
V,B,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.847221858250149e-17,2.0,0.0,0.0,pure a-vector
IV,B,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.4384616328450276e-16,2.0,0.0,0.0,rank-one n
III=VI_-1,B,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.7388641572436115e-16,2.0,0.0,0.0,type III
VI_h(rep h=-2),B,1.4142135623730951,0.0,0.0,0.0,1.0,-1.0,-2.0,0.0,0.0,1.9402972010868666e-16,2.8284271247461903,0.0,0.0,generic negative h
VII_h(rep h=+2),B,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.5448315192132068e-16,2.8284271247461903,0.0,0.0,generic positive h
