quantity,value
A2p_up_s^-1,3740.248028270316
A2p_down_s^-1,3759.9654428934414
R_Lya_s^-1,1.8651596270210575
true_2p_virtual_loss_sum_s^-1,21.77028285912699
Trr_2p_full_s^-1,8434.407958976293
Trr_2p_without_Lya_escape_and_diffusion_s^-1,932.3293281855144
sr_2p_full,2.8011936054136297e-08
sr_2p_recombination,3.45416488009176e-11
sr_2p_Lya_feedback,2.7977394405315863e-08
source_decomposition_residual,1.951815373380124e-20
one_minus_Pi_min,8.376387233455553e-10
one_minus_Pi_max,0.9995732946801128
compression_factor_min,1.0004268874750437
compression_factor_max,1193832104.6166165
relative_norm_diag_minus_primitive_gamma,0.011541453076965006
diffusion_virtual_offdiagonal_nonzero,156
