lebedev_order,point_count,nominal_polynomial_degree,max_monomial_residual,Rayleigh_phase_normalization_residual,surrogate_kappa,isotropy_leakage,ell1_action_relative_error,ell2_action_relative_error,ell3_action_relative_error,ell4_action_relative_error,states_for_35_frequency_cells,dense_matrix_bytes_for_35_cells
7,26,7,1.1102230246251565e-16,2.220446049250313e-16,2.0,0.00017045294411286466,0.0009126796195064548,0.00976653373593569,0.10371404237967646,1.1283756085813286,910,6624800
7,26,7,1.1102230246251565e-16,2.220446049250313e-16,4.0,0.004832648504611479,0.01150733756464258,0.05381484607131992,0.24473290363909922,1.1472304883407307,910,6624800
7,26,7,1.1102230246251565e-16,2.220446049250313e-16,8.0,0.06873410900733745,0.10034900698958335,0.2459821452596027,0.5334406088467447,1.2360655701808108,910,6624800
7,26,7,1.1102230246251565e-16,2.220446049250313e-16,12.0,0.2255510890611191,0.2785686245692497,0.5253206936564089,0.8184297270953397,1.3967959786118596,910,6624800
9,38,9,5.551115123125783e-17,2.220446049250313e-16,2.0,3.107926693158423e-06,2.1648509529405905e-05,0.00024490238717756965,0.00337978618342855,0.05363698017202779,1330,14151200
9,38,9,5.551115123125783e-17,2.220446049250313e-16,4.0,0.00030505297868481157,0.0008927143492786083,0.004099657452920847,0.023125832418468197,0.14273717288914534,1330,14151200
9,38,9,5.551115123125783e-17,2.220446049250313e-16,8.0,0.012406949655568747,0.020502976441528296,0.04386605710152688,0.11702178160594791,0.32515838876244985,1330,14151200
9,38,9,5.551115123125783e-17,2.220446049250313e-16,12.0,0.06637157829458042,0.0884197922399652,0.13323395773998864,0.2568886192637098,0.4904275236056948,1330,14151200
11,50,11,5.551115123125783e-17,2.220446049250313e-16,2.0,3.081911565196406e-08,2.627253887420521e-07,3.4888104064863572e-06,5.144942693515853e-05,0.001173320539471655,1750,24500000
11,50,11,5.551115123125783e-17,2.220446049250313e-16,4.0,1.0979776523956077e-05,3.813583076929639e-05,0.00020194482849010415,0.0011841448015857288,0.009886907916546615,1750,24500000
11,50,11,5.551115123125783e-17,2.220446049250313e-16,8.0,0.0013843599502429164,0.0025705482688445085,0.006219427170057659,0.016809555656340642,0.05923172487399038,1750,24500000
11,50,11,5.551115123125783e-17,2.220446049250313e-16,12.0,0.012897006439030757,0.018627965352269477,0.03146360850245205,0.060731362337285905,0.14344938688416153,1750,24500000
13,74,13,1.1102230246251565e-16,2.220446049250313e-16,2.0,2.8603741219025703e-10,3.18717355063795e-09,7.011494755911746e-08,1.2307748013093137e-06,3.298983241437125e-05,2590,53664800
13,74,13,1.1102230246251565e-16,2.220446049250313e-16,4.0,3.81427615517123e-07,1.688764365314318e-06,1.4614206297981938e-05,9.851451087638021e-05,0.0009457633644150566,2590,53664800
13,74,13,1.1102230246251565e-16,2.220446049250313e-16,8.0,0.0001585527746206721,0.0003540273893728665,0.001357435999186706,0.003941384182117564,0.01538726229748938,2590,53664800
13,74,13,1.1102230246251565e-16,2.220446049250313e-16,12.0,0.002688835982171972,0.004451926274565222,0.01150322263749762,0.02278022536278207,0.05759115322967123,2590,53664800
15,86,15,1.1102230246251565e-16,2.220446049250313e-16,2.0,7.787516837871806e-13,9.34630864503928e-12,2.245487755430141e-10,6.354885096091619e-09,2.0839198859088207e-07,3010,72480800
15,86,15,1.1102230246251565e-16,2.220446049250313e-16,4.0,3.987989632283092e-09,1.8879034642033836e-08,1.7616769664272082e-07,1.874148944706442e-06,2.1773748989171004e-05,3010,72480800
15,86,15,1.1102230246251565e-16,2.220446049250313e-16,8.0,5.850827911312469e-06,1.374193863910066e-05,5.5209601061275275e-05,0.00023917878838079502,0.0011161716760953652,3010,72480800
15,86,15,1.1102230246251565e-16,2.220446049250313e-16,12.0,0.0001933156363531859,0.0003327122756547389,0.0008833525856363901,0.0024614146693238232,0.0074550735887450184,3010,72480800
17,110,17,8.326672684688674e-17,3.3306690738754696e-16,2.0,3.3643937794153676e-15,4.5651188169763965e-14,1.0197514453437046e-12,2.3941743543659974e-11,8.907065807878828e-10,3850,118580000
17,110,17,8.326672684688674e-17,3.3306690738754696e-16,4.0,6.690812911460333e-11,3.5376766695124457e-10,3.0326773117760967e-09,2.7025785771895134e-08,3.504370529853223e-07,3850,118580000
17,110,17,8.326672684688674e-17,3.3306690738754696e-16,8.0,3.4575465887374873e-07,8.891720860907486e-07,3.215817549258244e-06,1.2114318800200473e-05,6.070532305102023e-05,3850,118580000
17,110,17,8.326672684688674e-17,3.3306690738754696e-16,12.0,2.195279441944665e-05,4.06064840317885e-05,9.537178430458413e-05,0.0002426908739801209,0.0007667974171418425,3850,118580000
19,146,19,1.1102230246251565e-16,3.3306690738754696e-16,2.0,1.7745499069011896e-16,2.293407987344678e-16,4.277384994995202e-15,1.5810073409861646e-13,7.511968533324796e-12,5110,208896800
19,146,19,1.1102230246251565e-16,3.3306690738754696e-16,4.0,6.288244087483719e-13,3.731008625146953e-12,4.8134299277313664e-11,6.775992562281426e-10,1.1164480380969713e-08,5110,208896800
19,146,19,1.1102230246251565e-16,3.3306690738754696e-16,8.0,1.1741989345648056e-08,3.328636832231371e-08,1.8164991745775514e-07,1.0161682525421548e-06,6.4089683667367465e-06,5110,208896800
19,146,19,1.1102230246251565e-16,3.3306690738754696e-16,12.0,1.4706392345760783e-06,2.9448301758107004e-06,1.0448680068897135e-05,3.670273281590029e-05,0.0001439395468365717,5110,208896800
23,194,23,5.551115123125783e-17,5.551115123125783e-16,2.0,1.8845829981257463e-16,2.2496200528788615e-16,3.281109818901706e-16,1.3131722721948571e-15,6.821173293850035e-15,6790,368832800
23,194,23,5.551115123125783e-17,5.551115123125783e-16,4.0,3.276820992006711e-16,3.418169863459022e-16,4.7375859676743304e-15,6.242140069630171e-14,1.1620110432770437e-12,6790,368832800
23,194,23,5.551115123125783e-17,5.551115123125783e-16,8.0,1.5136984248386185e-11,5.039953116813313e-11,2.513329519445661e-10,1.2627519228445603e-09,8.780882100312615e-09,6790,368832800
23,194,23,5.551115123125783e-17,5.551115123125783e-16,12.0,7.930063206555751e-09,1.820918530247001e-08,5.7526650464785696e-08,1.84779694679631e-07,7.824071075165521e-07,6790,368832800
29,302,29,5.551115123125783e-17,9.992007221626409e-16,2.0,1.849391118499449e-16,2.5554481062575724e-16,3.4970102468513224e-16,1.1869854250576188e-15,5.178280827304318e-15,10570,893799200
29,302,29,5.551115123125783e-17,9.992007221626409e-16,4.0,4.056142063116789e-16,4.629242565308054e-16,4.4020150354714877e-16,7.056336103219211e-16,1.9112724620144628e-15,10570,893799200
29,302,29,5.551115123125783e-17,9.992007221626409e-16,8.0,3.902811498727902e-16,6.778155815457055e-16,4.1831515841469975e-15,2.5437503858835296e-14,2.310667801850368e-13,10570,893799200
29,302,29,5.551115123125783e-17,9.992007221626409e-16,12.0,7.512304542077256e-13,2.0916237727184696e-12,8.420067454406682e-12,3.304257476104041e-11,1.776852504849851e-10,10570,893799200
