x_Doppler,nu_Hz,Voigt_H,phi_Hz^-1,sigma_Voigt_m2,sigma_Voigt_cm2,Lee_first_order_factor,sigma_Lee1_m2,rate_at_250cm^-3_s^-1
-30.0,2464331322146857.5,5.40921931469717e-07,5.2732121243780805e-18,5.8247361841269426e-24,5.824736184126942e-20,1.0012617902630256,5.832085779528767e-24,4.365529944602392e-07
-29.975,2464332768999895.0,5.41826109047032e-07,5.282026557452247e-18,5.834472516756595e-24,5.834472516756595e-20,1.0012607387711399,5.84182826246762e-24,4.3728271423297647e-07
-29.95,2464334215852933.0,5.427325568607357e-07,5.290863122071379e-18,5.844233295664481e-24,5.84423329566448e-20,1.0012596872792539,5.851595202004021e-24,4.3801426620817386e-07
-29.925,2464335662705970.5,5.436412825217174e-07,5.299721892430722e-18,5.854018602805907e-24,5.854018602805907e-20,1.001258635787368,5.861386680119317e-24,4.3874765652822716e-07
-29.9,2464337109559008.5,5.445522936728067e-07,5.308602943036888e-18,5.863828520480118e-24,5.863828520480118e-20,1.0012575842954823,5.871202779138875e-24,4.394828913613095e-07
-29.875,2464338556412046.5,5.454655979889318e-07,5.317506348709408e-18,5.873663131332001e-24,5.873663131332001e-20,1.0012565328035963,5.881043581733793e-24,4.402199769014993e-07
-29.85,2464340003265084.0,5.463812031772831e-07,5.326432184582321e-18,5.8835225183538465e-24,5.883522518353846e-20,1.0012554813117105,5.8909091709226674e-24,4.4095891936891244e-07
-29.825,2464341450118122.0,5.47299116977477e-07,5.335380526105773e-18,5.893406764887116e-24,5.893406764887116e-20,1.0012544298198247,5.900799630073347e-24,4.4169972500983416e-07
-29.8,2464342896971160.0,5.482193471617171e-07,5.344351449047589e-18,5.903315954624173e-24,5.903315954624173e-20,1.0012533783279387,5.910715042904674e-24,4.4244240009684933e-07
-29.775,2464344343824197.5,5.49141901534962e-07,5.35334502949491e-18,5.9132501716100945e-24,5.913250171610095e-20,1.001252326836053,5.9206554934882965e-24,4.43186950928978e-07
-29.75,2464345790677235.5,5.50066787935089e-07,5.362361343855784e-18,5.923209500244431e-24,5.923209500244431e-20,1.0012512753441671,5.930621066250423e-24,4.439333838318074e-07
-29.725,2464347237530273.0,5.509940142330626e-07,5.371400468860813e-18,5.933194025283019e-24,5.933194025283018e-20,1.0012502238522811,5.940611845973639e-24,4.4468170515762756e-07
-29.7,2464348684383311.0,5.519235883331013e-07,5.380462481564779e-18,5.943203831839783e-24,5.943203831839783e-20,1.0012491723603953,5.950627917798713e-24,4.454319212855668e-07
-29.675,2464350131236349.0,5.528555181728464e-07,5.389547459348285e-18,5.953239005388546e-24,5.953239005388546e-20,1.0012481208685096,5.9606693672263965e-24,4.4618403862172687e-07
-29.65,2464351578089386.5,5.53789811723533e-07,5.3986554799194276e-18,5.9632996317648774e-24,5.963299631764878e-20,1.0012470693766236,5.970736280119282e-24,4.469380635993219e-07
-29.625,2464353024942424.5,5.547264769901588e-07,5.407786621315442e-18,5.9733857971679085e-24,5.973385797167908e-20,1.0012460178847378,5.9808287427036184e-24,4.476940026788142e-07
-29.6,2464354471795462.5,5.556655220116583e-07,5.416940961904395e-18,5.9834975881622034e-24,5.983497588162203e-20,1.001244966392852,5.9909468415711766e-24,4.484518623480547e-07
-29.575,2464355918648500.0,5.566069548610739e-07,5.4261185803868585e-18,5.993635091679611e-24,5.993635091679611e-20,1.0012439149009662,6.001090663681105e-24,4.492116491224215e-07
