x_in,mu,integral_R_dxout,Voigt_phi_x,relative_residual
-4.0,-0.9,1.9139455785766677e-05,1.9139455785766718e-05,-2.1242809577920135e-15
-4.0,-0.5,1.9139455785766735e-05,1.9139455785766718e-05,8.851170657466722e-16
-4.0,0.0,1.9139455785766738e-05,1.9139455785766718e-05,1.0621404788960068e-15
-4.0,0.5,1.9139455785766745e-05,1.9139455785766718e-05,1.4161873051946756e-15
-4.0,0.9,1.9139455785766707e-05,1.9139455785766718e-05,-5.310702394480034e-16
-2.0,-0.9,0.010446061729683691,0.010446061729683693,-1.6606483102118663e-16
-2.0,-0.5,0.010446061729683693,0.010446061729683693,0.0
-2.0,0.0,0.010446061729683697,0.010446061729683693,3.3212966204237326e-16
-2.0,0.5,0.010446061729683685,0.010446061729683693,-8.303241551059332e-16
-2.0,0.9,0.010446061729683686,0.010446061729683693,-6.642593240847465e-16
0.0,-0.9,0.563641589986885,0.5636415899868852,-3.9394645262106695e-16
0.0,-0.5,0.5636415899868851,0.5636415899868852,-1.9697322631053347e-16
0.0,0.0,0.5636415899868855,0.5636415899868852,5.909196789316004e-16
0.0,0.5,0.5636415899868849,0.5636415899868852,-5.909196789316004e-16
0.0,0.9,0.563641589986885,0.5636415899868852,-3.9394645262106695e-16
2.0,-0.9,0.010446061729683691,0.010446061729683693,-1.6606483102118663e-16
2.0,-0.5,0.010446061729683693,0.010446061729683693,0.0
2.0,0.0,0.010446061729683697,0.010446061729683693,3.3212966204237326e-16
2.0,0.5,0.010446061729683685,0.010446061729683693,-8.303241551059332e-16
2.0,0.9,0.010446061729683686,0.010446061729683693,-6.642593240847465e-16
4.0,-0.9,1.9139455785766677e-05,1.9139455785766718e-05,-2.1242809577920135e-15
4.0,-0.5,1.9139455785766735e-05,1.9139455785766718e-05,8.851170657466722e-16
4.0,0.0,1.9139455785766738e-05,1.9139455785766718e-05,1.0621404788960068e-15
4.0,0.5,1.9139455785766745e-05,1.9139455785766718e-05,1.4161873051946756e-15
4.0,0.9,1.9139455785766707e-05,1.9139455785766718e-05,-5.310702394480034e-16
