lebedev_order,point_count,quantity,relative_to_302
7,26,isotropic_smooth_L8,0.07722095971352627
7,26,isotropic_smooth_L2,0.07152904084047382
7,26,isotropic_narrow_core,0.037183591578183475
7,26,isotropic_odd_red_blue,0.03710830476671352
7,26,P1_projected_action,1.5543552923810163e-06
7,26,P2_projected_action,0.0020445493627992855
7,26,P3_projected_action,3.064493314010839e-06
7,26,P4_projected_action,0.0028821689409554876
11,50,isotropic_smooth_L8,0.01894044506532427
11,50,isotropic_smooth_L2,0.017451393624901643
11,50,isotropic_narrow_core,0.007641678703425668
11,50,isotropic_odd_red_blue,0.009105037903034359
11,50,P1_projected_action,2.091964305427648e-06
11,50,P2_projected_action,0.0003267086412128114
11,50,P3_projected_action,1.6216584133890455e-06
11,50,P4_projected_action,0.00041121544961560396
15,86,isotropic_smooth_L8,0.004887783340893361
15,86,isotropic_smooth_L2,0.004635548856178094
15,86,isotropic_narrow_core,0.003799005811594176
15,86,isotropic_odd_red_blue,0.0023450801354502862
15,86,P1_projected_action,3.163291941518416e-06
15,86,P2_projected_action,0.00010527528308965425
15,86,P3_projected_action,2.6545965233559293e-06
15,86,P4_projected_action,7.441319856015924e-06
19,146,isotropic_smooth_L8,0.007120466537550358
19,146,isotropic_smooth_L2,0.006655609300730031
19,146,isotropic_narrow_core,0.00388139994306151
19,146,isotropic_odd_red_blue,0.0034196168353434237
19,146,P1_projected_action,2.037969074157369e-06
19,146,P2_projected_action,0.00016069687253485393
19,146,P3_projected_action,1.917622615647077e-06
19,146,P4_projected_action,0.0001134392544511024
23,194,isotropic_smooth_L8,0.004189634782393666
23,194,isotropic_smooth_L2,0.003908832949604052
23,194,isotropic_narrow_core,0.0021860211351445455
23,194,isotropic_odd_red_blue,0.0020123319552481063
23,194,P1_projected_action,1.0242100622436649e-06
23,194,P2_projected_action,8.651549487257554e-05
23,194,P3_projected_action,9.273955703966903e-07
23,194,P4_projected_action,7.449708781610591e-05
29,302,isotropic_smooth_L8,0.0
29,302,isotropic_smooth_L2,0.0
29,302,isotropic_narrow_core,0.0
29,302,isotropic_odd_red_blue,0.0
29,302,P1_projected_action,0.0
29,302,P2_projected_action,0.0
29,302,P3_projected_action,0.0
29,302,P4_projected_action,0.0
