frequency_index,x_center,capture_fraction,outside_fraction
0,-4.0,0.7251197393735294,0.27488026062647064
1,-3.5,0.8912585997473879,0.10874140025261214
2,-3.0,0.9835061465145138,0.016493853485486154
3,-2.5,0.9991697281857999,0.0008302718142001453
4,-2.0,0.9999541289669867,4.587103301334494e-05
5,-1.5,0.9999962802116937,3.719788306266736e-06
6,-1.0,0.9999995405262899,4.594737100793722e-07
7,-0.5,0.999999906536777,9.346322304981669e-08
8,0.0,0.9999999533165144,4.6683485632748045e-08
9,0.5,0.9999999065367766,9.34632233828836e-08
10,1.0,0.9999995405262896,4.594737104124391e-07
11,1.5,0.9999962802116936,3.719788306377758e-06
12,2.0,0.9999541289669864,4.5871033013566986e-05
13,2.5,0.9991697281858,0.0008302718142000343
14,3.0,0.9835061465145137,0.016493853485486265
15,3.5,0.8912585997473879,0.10874140025261214
16,4.0,0.7251197393735294,0.27488026062647064
