frequency_index,x_center,physical_opacity_within_core_s^-1,action_smooth_L8_s^-1,action_smooth_L2_s^-1,action_narrow_core_s^-1,action_odd_red_blue_s^-1,action_P1_s^-1,action_P2_s^-1,action_P3_s^-1,action_P4_s^-1,action_P5_s^-1,action_P6_s^-1
0,-4.0,1.9852565169947875e-05,3.5041293355079193e-07,6.491372733833039e-07,3.1844794597193384e-07,3.03221330434649e-07,-3.662115960183138e-06,-2.1150754478983605e-06,-2.770116359346288e-06,-2.675544120619313e-06,-2.677253485263647e-06,-2.6814911804263814e-06
1,-3.5,3.654874067792047e-05,2.5726499334243283e-06,3.022124175046743e-06,2.5377245784494656e-06,2.6272088561709854e-06,-9.403615133387135e-06,-7.041176513748735e-06,-8.05279532658615e-06,-7.948757028707666e-06,-7.907366416460891e-06,-7.918954889167973e-06
2,-3.0,0.00015167406375026616,3.959728136728114e-05,4.1850217538041794e-05,3.956100833577811e-05,4.2655583192135836e-05,-5.1709995139271594e-05,-5.045551388942697e-05,-4.950684485897704e-05,-5.055167895302658e-05,-4.925430149043422e-05,-4.959118957526131e-05
3,-2.5,0.0016471420269462103,0.00039739462171234103,0.00042088463938539625,0.0004082388824699311,0.0004552324381542519,-0.0007584611046994904,-0.000745136796024649,-0.0007546389032009166,-0.000774111094216337,-0.0007541909313796223,-0.00075988280582546
4,-2.0,0.01494204306273745,0.002217989045020796,0.0023708429198122886,0.002438087762533774,0.002841887766719174,-0.00907096303476883,-0.00851966131670413,-0.009064137105196317,-0.00921430596220354,-0.009063233296428002,-0.009110245826298775
5,-1.5,0.08528566571936343,0.00621401598179018,0.00670042902608485,0.008244571294169487,0.010117704819423229,-0.06438966897281861,-0.05891910703162882,-0.06437998540962028,-0.06491198282591218,-0.06437834709794348,-0.06455640736819167
6,-1.0,0.29695781794961695,0.006028289073331028,0.006562928698232773,0.015421012517777832,0.020002766275984796,-0.2620709737769794,-0.23675890290697688,-0.2620670396889098,-0.2627124251704564,-0.2620658749567207,-0.2622957870909889
7,-0.5,0.6280826328631004,-0.006587320613436143,-0.007094148295116898,-0.0028408773311252578,0.017657693808014185,-0.608739109005989,-0.5468391481386292,-0.6087548177964754,-0.608209696593577,-0.6087571475146648,-0.6085760316336085
8,0.0,0.806269680946051,-0.01662577690530509,-0.01801291693477014,-0.047426900613372514,-0.01574387341137906,-0.8062320015404437,-0.7230975605414172,-0.8062607566978749,-0.8046555993186426,-0.8062657366767652,-0.8057059157680447
9,0.5,0.6280826328631003,-0.006587320613436032,-0.007094148295116787,-0.0028408773311250357,-0.03013675162018714,-0.6087391090059889,-0.5468391481386291,-0.6087548177964753,-0.6082096965935769,-0.6087571475146647,-0.6085760316336084
10,1.0,0.2969578179496169,0.0060282890733310834,0.006562928698232828,0.015421012517777832,-0.008588171421381241,-0.26207097377697935,-0.23675890290697682,-0.26206703968890976,-0.26271242517045634,-0.2620658749567206,-0.26229578709098883
11,1.5,0.08528566571936341,0.006214015981790208,0.006700429026084878,0.0082445712941695,0.0016535562689387745,-0.0643896689728186,-0.05891910703162881,-0.06437998540962027,-0.06491198282591217,-0.06437834709794346,-0.06455640736819165
12,2.0,0.014942043062737446,0.0022179890450207997,0.002370842919812292,0.0024380877625337777,0.0013613187445459425,-0.00907096303476883,-0.008519661316704128,-0.009064137105196315,-0.009214305962203538,-0.009063233296428,-0.009110245826298774
13,2.5,0.0016471420269462108,0.00039739462171234103,0.00042088463938539625,0.00040823888246993025,0.0002981605620228161,-0.0007584611046994906,-0.0007451367960246492,-0.0007546389032009168,-0.0007741110942163372,-0.0007541909313796225,-0.0007598828058254603
14,3.0,0.00015167406375026613,3.9597281367281166e-05,4.1850217538041794e-05,3.956100833577811e-05,3.2398969647219096e-05,-5.1709995139271594e-05,-5.045551388942696e-05,-4.950684485897703e-05,-5.055167895302657e-05,-4.9254301490434214e-05,-4.9591189575261305e-05
15,3.5,3.654874067792047e-05,2.5726499334243215e-06,3.022124175046743e-06,2.5377245784494656e-06,2.1922210618907322e-06,-9.403615133387135e-06,-7.041176513748735e-06,-8.05279532658615e-06,-7.948757028707666e-06,-7.907366416460891e-06,-7.918954889167973e-06
16,4.0,1.9852565169947875e-05,3.5041293355079193e-07,6.491372733833072e-07,3.1844794597193045e-07,2.9856505614681735e-07,-3.662115960183138e-06,-2.1150754478983605e-06,-2.770116359346288e-06,-2.675544120619313e-06,-2.677253485263647e-06,-2.6814911804263814e-06
