lebedev_order,point_count,quantity,relative_to_continuous_mu_reference
7,26,smooth_L8,0.07651538999925932
7,26,smooth_L2,0.07087031762008972
7,26,narrow_core,0.03683441370939519
7,26,odd_red_blue,0.036747633562569534
7,26,P1,1.6366019114984185e-06
7,26,P2,0.002031448107331394
7,26,P3,3.1377344835372564e-06
7,26,P4,0.002864870845324485
11,50,smooth_L8,0.018189769177501144
11,50,smooth_L2,0.016753790228813077
11,50,narrow_core,0.007294841900423312
11,50,odd_red_blue,0.008739198973091986
11,50,P1,2.0051863920182566e-06
11,50,P2,0.00031357302391233185
11,50,P3,1.5467928950069655e-06
11,50,P4,0.00039388072485349395
15,86,smooth_L8,0.005651906084530908
15,86,smooth_L2,0.005344412211280301
15,86,narrow_core,0.004137688367185897
15,86,odd_red_blue,0.002710620776734273
15,86,P1,3.076769282144767e-06
15,86,P2,0.00011831791744635855
15,86,P3,2.5799851751051257e-06
15,86,P4,1.739262678457469e-05
19,146,smooth_L8,0.007890638346005641
19,146,smooth_L2,0.007369911200602106
19,146,narrow_core,0.004245056443259081
19,146,odd_red_blue,0.0037874407764096943
19,146,P1,1.9517208109174123e-06
19,146,P2,0.00017382546752682843
19,146,P3,1.8432542518644096e-06
19,146,P4,0.00013076778105758442
23,194,smooth_L8,0.004957894032326816
23,194,smooth_L2,0.004621492985598572
23,194,narrow_core,0.0025507037389166398
23,194,odd_red_blue,0.002380067780725095
23,194,P1,9.381250986066391e-07
23,194,P2,9.9652253706871e-05
23,194,P3,8.532119232025824e-07
23,194,P4,9.183962528987499e-05
29,302,smooth_L8,0.0007651790292583118
29,302,smooth_L2,0.0007100012367082704
29,302,narrow_core,0.0003646975366791487
29,302,odd_red_blue,0.00036744439178045083
29,302,P1,8.678086499574055e-08
29,302,P2,1.3138577095865056e-05
29,302,P3,7.486641732116612e-08
29,302,P4,1.7345655325579847e-05
