lane,ell,relative_to_superreference,kernel_norm
coarse,0,1.167231249408586e-08,0.42883274154354495
coarse,1,4.271622270963392e-08,0.11689951983174202
coarse,2,6.043761534129895e-08,0.08201639851744097
coarse,3,1.3683731591771824e-07,0.035897668888213434
coarse,4,1.6334750699706768e-07,0.029643367488897225
coarse,5,3.9196981226496995e-07,0.012152269423595534
coarse,6,3.398072783593945e-07,0.013708487803180257
production,0,2.0655071014285245e-11,0.42883274056782034
production,1,7.697423926815155e-11,0.11689951819747962
production,2,1.1305729608661784e-10,0.08201639554401442
production,3,2.6988493261784284e-10,0.035897666581875716
production,4,3.45271512086857e-10,0.029643363363930725
production,5,8.98540577667818e-10,0.012152267012214167
production,6,8.556711407725836e-10,0.01370848379595881
reference,0,4.565621632254455e-14,0.42883274056957543
reference,1,1.8343737962072332e-13,0.1168995182004088
reference,2,2.4628543835779836e-13,0.0820163955495699
reference,3,6.152721780428091e-13,0.03589766658640909
reference,4,7.175442809879171e-13,0.029643363372600443
reference,5,1.9182196438092556e-12,0.012152267017728632
reference,6,1.6696782868778356e-12,0.013708483805990183
