target_i,source_j,x_i,x_j,base_symmetric_rate_s^-1,completed_i_from_j_s^-1,completed_j_from_i_s^-1,Pi_i_m^-3,Pi_j_m^-3,conductance_i_j_m^-3_s^-1,relative_balance_residual,log_rate_ratio,log_Pi_ratio
0,1,-4.0,-3.5,5.291157816524683e-06,5.29232054319724e-06,5.289995345304023e-06,1.2119332669797975,1.211400800237449,6.4111213411422276e-06,1.3211931301605813e-16,0.0004394497301224682,0.0004394497301224682
0,2,-4.0,-3.0,3.3280745218399244e-06,3.3295373650948706e-06,3.326612321290001e-06,1.2119332669797975,1.210868567141418,4.031632138516239e-06,0.0,0.0008788997035759779,0.0008788997035759779
0,3,-4.0,-2.5,2.0506549814346848e-06,2.0520071675308214e-06,2.049303686372102e-06,1.2119332669797975,1.2103365675117117,2.4836193116586843e-06,1.7052390905444558e-16,0.0013183499844744966,0.0013183499844744966
0,4,-4.0,-2.0,1.2036327517276169e-06,1.2046910898684833e-06,1.2025753433517581e-06,1.2119332669797975,1.2098048013426892,1.4574410646576481e-06,1.4529454531550266e-16,0.0017578004929644875,0.0017578004929642657
0,5,-4.0,-1.5,6.615237409027088e-07,6.622509072293553e-07,6.607973730209732e-07,1.2119332669797975,1.209273268416411,8.008423190969759e-07,-1.32209694570307e-16,0.0021972513246483914,0.0021972513246483914
0,6,-4.0,-1.0,3.382393517763175e-07,3.3868556410445994e-07,3.377937273251409e-07,1.2119332669797975,1.2087419686898015,4.093834555224409e-07,0.0,0.0026367024306683333,0.0026367024306683333
0,7,-4.0,-0.5,1.6166341497762576e-07,1.6191225706043435e-07,1.6141495533888474e-07,1.2119332669797975,1.2082109020951715,1.956241541632527e-07,0.0,0.003076153782488825,0.0030761537824890465
0,8,-4.0,0.0,7.389076152101013e-08,7.402076112591492e-08,7.376099022904104e-08,1.2119332669797975,1.2076800684591948,8.939339786394664e-08,1.4805220650625053e-16,0.0035156054390325644,0.0035156054390325644
0,9,-4.0,0.5,3.425734504406883e-08,3.4325156953972413e-08,3.4189667101655356e-08,1.2119332669797975,1.2071494677511034,4.1435594947460883e-08,0.0,0.003955057341267758,0.0039550573412675365
0,10,-4.0,1.0,1.8078581075879797e-08,1.811834799734167e-08,1.8038901436549983e-08,1.2119332669797975,1.2066190998170574,2.186194475072459e-08,3.026924171604127e-16,0.004394509532092937,0.004394509532092716
0,11,-4.0,1.5,1.2284608679298986e-08,1.2314336256105244e-08,1.2254952866719756e-08,1.2119332669797975,1.206088964566291,1.4852185064447111e-08,2.2277681269488555e-16,0.004833962002222759,0.004833962002222759
0,12,-4.0,2.0,1.0760990234094444e-08,1.0789401255694855e-08,1.0732654025370971e-08,1.2119332669797975,1.2055590619049625,1.3007260456331715e-08,0.0,0.005273414744944578,0.005273414744944578
0,13,-4.0,2.5,1.0944740902606267e-08,1.0976048524216729e-08,1.0913522581545884e-08,1.2119332669797975,1.205029391709487,1.3226461076510696e-08,-1.2507965778117997e-16,0.005712867778253028,0.005712867778253249
0,14,-4.0,3.0,1.1856474529690627e-08,1.1893003103725989e-08,1.1820058150759346e-08,1.2119332669797975,1.2044999539311483,1.4325121690540958e-08,0.0,0.006152321058053976,0.006152321058053976
0,15,-4.0,3.5,1.3133788016984462e-08,1.3177146916159238e-08,1.3090571788613131e-08,1.2119332669797975,1.2039707483986715,1.5864899434407482e-08,-2.0855615655755232e-16,0.006591774642007919,0.006591774642007919
0,16,-4.0,4.0,6.360745079707917e-09,6.383146359667058e-09,6.338422415734612e-09,1.2119332669797975,1.2034417750997495,7.681744985799228e-09,0.0,0.007031228455819867,0.007031228455819867
1,2,-3.5,-3.0,7.772374557857848e-06,7.774082530389658e-06,7.770666960569052e-06,1.211400800237449,1.210868567141418,9.413392174412055e-06,-1.7996338228778927e-16,0.00043944997345367136,0.00043944997345367136
1,3,-3.5,-2.5,5.118282744623596e-06,5.120532468911251e-06,5.1160340087603674e-06,1.211400800237449,1.2103365675117117,6.197567692254314e-06,1.3667183471233682e-16,0.0008789002543520587,0.0008789002543520587
1,4,-3.5,-2.0,3.354962156745309e-06,3.3571743942507814e-06,3.3527513770118216e-06,1.211400800237449,1.2098048013426892,4.06152570110933e-06,0.0,0.001318350762841764,0.0013183507628419858
1,5,-3.5,-1.5,2.1552021007831897e-06,2.157097142282585e-06,2.153308724105565e-06,1.211400800237449,1.209273268416411,2.6085199115397616e-06,0.0,0.0017578015945259725,0.0017578015945259725
1,6,-3.5,-1.0,1.3630715038313846e-06,1.364569833004051e-06,1.3615748198587335e-06,1.211400800237449,1.2087419686898015,1.6494128263600303e-06,0.0,0.0021972527005459596,0.0021972527005459596
1,7,-3.5,-0.5,8.741747239626053e-07,8.753279539957238e-07,8.730230132908909e-07,1.211400800237449,1.2082109020951715,1.0575807769262942e-06,0.0,0.0026367040523665496,0.0026367040523665496
1,8,-3.5,0.0,5.992752575583686e-07,6.001976987720931e-07,5.983542340405042e-07,1.211400800237449,1.2076800684591948,7.248467979421326e-07,-1.4607103005405052e-16,0.0030761557089100063,0.003076155708910228
1,9,-3.5,0.5,4.636725525876809e-07,4.64488314730008e-07,4.628582231355889e-07,1.211400800237449,1.2071494677511034,5.607068219029362e-07,1.8883151456487226e-16,0.0035156076111452026,0.0035156076111452026
1,10,-3.5,1.0,4.123452131837254e-07,4.131614449677058e-07,4.115305939275675e-07,1.211400800237449,1.2066190998170574,4.985284908060479e-07,0.0,0.003955059801970106,0.003955059801970327
1,11,-3.5,1.5,4.100921716333365e-07,4.109942398483371e-07,4.0919208331728733e-07,1.211400800237449,1.206088964566291,4.956956171813908e-07,0.0,0.00439451227210024,0.00439451227210024
1,12,-3.5,2.0,4.371006249387837e-07,4.381583672606569e-07,4.3604543607452556e-07,1.211400800237449,1.2055590619049625,5.282257902005676e-07,-2.0044291734900934e-16,0.004833965014822091,0.004833965014822312
1,13,-3.5,2.5,4.833192712855129e-07,4.845953251216632e-07,4.820465776002108e-07,1.211400800237449,1.205029391709487,5.839516098566189e-07,-1.8131488400688655e-16,0.005273418048130802,0.005273418048130802
1,14,-3.5,3.0,5.435423386053703e-07,5.450971518811114e-07,5.419919602167206e-07,1.211400800237449,1.2044999539311483,6.565694943287989e-07,-1.6126109927636244e-16,0.0057128713279315365,0.0057128713279315365
1,15,-3.5,3.5,2.9112337876468403e-07,2.920203004035423e-07,2.902292119631612e-07,1.211400800237449,1.2039707483986715,3.5158389962445766e-07,0.0,0.006152324911885548,0.006152324911885548
1,16,-3.5,4.0,1.3133788016984462e-08,1.3177146943064927e-08,1.3090571761884216e-08,1.211400800237449,1.2034417750997495,1.5857929107912295e-08,2.086478270710157e-16,0.00659177872569757,0.00659177872569735
2,3,-3.0,-2.5,2.4587325395064863e-05,2.4592728442161467e-05,2.4581923535023125e-05,1.210868567141418,1.2103365675117117,2.9765478528433354e-05,0.0,0.00043945028089827456,0.00043945028089827456
2,4,-3.0,-2.0,1.917601284934773e-05,1.9184441607637968e-05,1.91675877942649e-05,1.210868567141418,1.2098048013426892,2.3209429567998872e-05,0.0,0.0008789007893881365,0.0008789007893881365
2,5,-3.0,-1.5,1.5346229651641584e-05,1.5356348849809798e-05,1.5336117121606047e-05,1.210868567141418,1.209273268416411,1.8570022164552088e-05,1.8245168255559397e-16,0.0013183516210725935,0.0013183516210723716
