frequency_index,x_center,nu_center_Hz,mode_measure_m^-3,dilute_equilibrium_weight_m^-3,cell_activity_z,thermodynamic_energy_J,mode_mean_energy_J,discrete_Planck_occupation,direct_cell_Planck_occupation
0,-4.0,2465836049306184.0,1.641196423842131e+17,1.2119332669797975,7.384449840212272e-18,1.6338802637778806e-18,1.633880264154358e-18,7.384449840212272e-18,7.384449840235786e-18
1,-3.5,2465864986366940.0,1.641234943557786e+17,1.211400800237449,7.381032222062222e-18,1.6338994376774346e-18,1.6338994380421312e-18,7.381032222062222e-18,7.38103222207726e-18
2,-3.0,2465893923427696.5,1.6412734637700637e+17,1.210868567141418,7.377616185666036e-18,1.633918611576785e-18,1.6339186119490468e-18,7.377616185666036e-18,7.3776161856908e-18
3,-2.5,2465922860488452.5,1.641311984384369e+17,1.2103365675117117,7.374201730243811e-18,1.6339377854761997e-18,1.6339377858510161e-18,7.374201730243811e-18,7.374201730224164e-18
4,-2.0,2465951797549209.0,1.6413505055110634e+17,1.2098048013426892,7.37078885515678e-18,1.6339569593751573e-18,1.633956959740276e-18,7.37078885515678e-18,7.370788855101219e-18
5,-1.5,2465980734609965.0,1.641389027055551e+17,1.209273268416411,7.36737755939369e-18,1.6339761332752297e-18,1.633976133646485e-18,7.36737755939369e-18,7.367377559420944e-18
6,-1.0,2466009671670721.5,1.6414275490257155e+17,1.2087419686898015,7.363967842548162e-18,1.6339953071745936e-18,1.6339953075456579e-18,7.363967842548162e-18,7.363967842558415e-18
7,-0.5,2466038608731477.5,1.6414660715082685e+17,1.2082109020951715,7.360559703710485e-18,1.6340144810742543e-18,1.6340144814374465e-18,7.360559703710485e-18,7.360559703740315e-18
8,0.0,2466067545792234.0,1.6415045943770838e+17,1.2076800684591948,7.35715314228215e-18,1.634033654973471e-18,1.6340336553452818e-18,7.35715314228215e-18,7.3571531422932e-18
9,0.5,2466096482852990.5,1.6415431177582877e+17,1.2071494677511034,7.353748157402057e-18,1.6340528288729809e-18,1.6340528292456996e-18,7.353748157402057e-18,7.353748157430166e-18
10,1.0,2466125419913746.5,1.6415816415415194e+17,1.2066190998170574,7.350344748519406e-18,1.6340720027717766e-18,1.634072003141065e-18,7.350344748519406e-18,7.350344748407651e-18
11,1.5,2466154356974503.0,1.6416201658213738e+17,1.206088964566291,7.346942914549497e-18,1.6340911766718604e-18,1.6340911770446746e-18,7.346942914549497e-18,7.346942914580847e-18
12,2.0,2466183294035259.0,1.6416586905347875e+17,1.2055590619049625,7.343542655095007e-18,1.6341103505713636e-18,1.6341103509440555e-18,7.343542655095007e-18,7.343542655086923e-18
13,2.5,2466212231096015.5,1.641697215673878e+17,1.205029391709487,7.340143969330245e-18,1.6341295244708326e-18,1.6341295248362925e-18,7.340143969330245e-18,7.340143969373441e-18
14,3.0,2466241168156771.5,1.6417357413095917e+17,1.2044999539311483,7.33674685653328e-18,1.634148698370232e-18,1.6341486987420976e-18,7.33674685653328e-18,7.336746856563878e-18
15,3.5,2466270105217528.0,1.6417742673552157e+17,1.2039707483986715,7.333351315940557e-18,1.6341678722697617e-18,1.6341678726349278e-18,7.333351315940557e-18,7.333351315951708e-18
16,4.0,2466299042278284.0,1.6418127938974627e+17,1.2034417750997495,7.329957346981843e-18,1.6341870461685328e-18,1.6341870465359199e-18,7.329957346981843e-18,7.329957346893546e-18
