model,source_x,opacity,M1,M2,M3,M4
baseline,-4.0,1.3969081986309016e-05,0.7836652311694794,1.4260702415855948,3.8651023695979223,14.795649465660265
baseline,-3.5,2.7213168328553616e-05,1.0416260418468648,3.6693900721882593,16.81556687810952,91.21196898197255
baseline,-3.0,0.00013320968428957248,2.328254067210261,9.557248243862773,44.311215203426045,221.03597351425728
baseline,-2.5,0.0014254635802705257,2.4164879054070685,8.569235893177463,34.0268952575705,143.9100806285576
baseline,-2.0,0.011977640758854904,1.9858611147957668,5.762427641620948,18.67585899272795,64.54950220187354
baseline,-1.5,0.0639195906644234,1.4958998225625948,3.3990635724426337,8.560188557461888,23.175510091990013
baseline,-1.0,0.211771340369705,0.9981819816445405,1.694366162842977,3.0849353796443326,6.247165730903137
baseline,-0.5,0.43451586647098717,0.49902770080934056,0.6701968255152347,0.7548446545652446,1.2151780035886481
baseline,0.0,0.5521270174437691,-0.00045521418535506773,0.3291450708759772,-0.00045184475479146985,0.3934662161545535
baseline,0.5,0.4345216652570876,-0.4999343057106177,0.6714406856337267,-0.7571792674368587,1.2189729910499238
baseline,1.0,0.2117768071621825,-0.9990770390150389,1.6968341748406772,-3.091536562120103,6.26400285814171
baseline,1.5,0.06392193120574569,-1.4967754176854666,3.4027129542496155,-8.573798418403994,23.223697277221095
baseline,2.0,0.011978181009732131,-1.9867091519737992,5.7671783468801,-18.69897242641782,64.65555858204877
baseline,2.5,0.0014255366128684006,-2.4172989791581663,8.574865693942538,-34.06087931356424,144.10273675090872
baseline,3.0,0.00013321883683383101,-2.3289810455480056,9.56240084520527,-44.34764330979073,221.28083237774044
baseline,3.5,2.7218285491402097e-05,-1.0421852501172013,3.671336484429203,-16.827060120783475,91.2918565634454
baseline,4.0,1.3974658842140516e-05,-0.7841461622416843,1.4273509799628992,-3.869044217435874,14.810596703623121
COM_pole,-4.0,1.3968629689955681e-05,0.7836133748474162,1.425745075799955,3.8630408685702133,14.782111055222103
COM_pole,-3.5,2.7207523937008883e-05,1.041200355280524,3.6670548385555555,16.80229746557534,91.13547244928112
COM_pole,-3.0,0.0001331355814516845,2.328031293512696,9.556288870450736,44.30704864548741,221.02039888903576
COM_pole,-2.5,0.0014248792209196606,2.416581402128818,8.56972491435524,34.029652165812934,143.9260245542445
COM_pole,-2.0,0.011975152486385459,1.985943666369119,5.762785349537268,18.677500660753918,64.55701706510976
COM_pole,-1.5,0.06391446010675933,1.4959506744701139,3.39923871868513,8.560833489081443,23.17782230875266
COM_pole,-1.0,0.2117676669059426,0.9982087558630636,1.6944297790699407,3.085117393098794,6.247649352892772
COM_pole,-0.5,0.43451680158697725,0.49904000251595243,0.6702114112235242,0.7548840923037999,1.2152455552200943
COM_pole,0.0,0.5521270141216741,-0.00044771887989343453,0.32914505937938204,-0.0004346064795123302,0.3934661755822208
COM_pole,0.5,0.43452072957563137,-0.4999219875534139,0.6714260421755232,-0.7571397098488399,1.2189051428287243
COM_pole,1.0,0.2117804871178321,-0.9990502382083202,1.6967704217576278,-3.09135405499709,6.263517578522381
COM_pole,1.5,0.06392706744108231,-1.496724538686613,3.4025376085796637,-8.573152419443426,23.221379959554998
COM_pole,2.0,0.01198067168223988,-1.9866265802907588,5.766820448991496,-18.697329334376015,64.64803434934902
COM_pole,2.5,0.0014261215905233262,-2.417205465794399,8.574376577580619,-34.0581214046753,144.08678336646602
COM_pole,3.0,0.00013329303965027022,-2.329203814282522,9.563360781427273,-44.35181434183735,221.296435803462
COM_pole,3.5,2.722394026690828e-05,-1.0426114407542215,3.6736752849146104,-16.840353286448092,91.36851032871458
COM_pole,4.0,1.3975112214824527e-05,-0.7841981161687658,1.4276768746436546,-3.8711108838251778,14.824172274847019
COM_full,-4.0,1.3970666478649615e-05,0.7835962631207709,1.4256848425504918,3.8627755747677535,14.780692170752019
COM_full,-3.5,2.7210468676764003e-05,1.0411371974492991,3.6667558708653085,16.800667880301646,91.12609559932565
COM_full,-3.0,0.00013313945484894228,2.327974066715307,9.556039334233414,44.305809683819454,221.0141115370275
COM_full,-2.5,0.0014248843008758112,2.4165740229584154,8.56969840958298,34.02953746360176,143.92553211597232
COM_full,-2.0,0.011975159487800221,1.9859427291304277,5.762782699166762,18.67749076400598,64.55698241263822
COM_full,-1.5,0.06391447004536109,1.495950494984647,3.3992383426314947,8.56083227021637,23.177819011076064
COM_full,-1.0,0.21176767919507783,0.9982087012174771,1.694429703372336,3.085117166334083,6.247648923270577
COM_full,-0.5,0.4345168111196016,0.4990399757976778,0.6702113928217165,0.7548840232865911,1.2152454849824474
COM_full,0.0,0.5521270141182916,-0.00044773992420530474,0.3291450594007715,-0.00043464994607852434,0.39346617566619096
COM_full,0.5,0.4345207200363149,-0.4999220142788838,0.6714260606358303,-0.7571397789536908,1.218905213372596
COM_full,1.0,0.21178047482182696,-0.9990502928815296,1.6967704975996067,-3.0913542821495668,6.263518009377703
COM_full,1.5,0.06392705749519907,-1.496724718291443,3.402537985218281,-8.57315364042633,23.221383265011916
COM_full,2.0,0.01198066467339574,-1.986627518194483,5.766823102903118,-18.697339246973396,64.64806907147525
COM_full,2.5,0.0014261165032433975,-2.417212849793569,8.574403112039935,-34.05823626620516,144.08727663800585
COM_full,3.0,0.00013328915917456646,-2.329261103293842,9.56361068050568,-44.353055419076334,221.30273543618205
COM_full,3.5,2.722098895834127e-05,-1.0426748296561354,3.6739754494717833,-16.841989802515528,91.37792913231607
COM_full,4.0,1.3973069960879627e-05,-0.7842153138097416,1.4277374386444306,-3.8713777451744025,14.825600028566559
