physics_orbit_id,frequency_i,frequency_j,mu,branch,log_low,log_high,relative_low_high
0,0,0,-1.0,back_uv64_96,146.3282384600833,146.32823846008333,-2.8421709430403604e-14
1,0,0,-0.816496580927726,GL16_20,146.36472112989387,146.3647211298937,1.7053025658243858e-13
2,0,0,-0.7071067811865475,GL16_20,146.38765430459375,146.38765430459358,1.7053025658243858e-13
3,0,0,-0.5773502691896258,GL16_20,146.4161321624213,146.4161321624211,1.9895196601284784e-13
4,0,0,-0.5,GL16_20,146.4338227713941,146.43382277139392,1.7053025658243858e-13
5,0,0,-0.3333333333333333,GL16_20,146.4739483250795,146.47394832507933,1.7053025658243858e-13
6,0,0,0.0,GL16_20,146.5639570482748,146.56395704827463,1.7053025658243858e-13
7,0,0,0.3333333333333333,GL16_20,146.67105888993717,146.67105888993703,1.4210854715203013e-13
8,0,0,0.5,GL16_20,146.73343140020356,146.7334314002034,1.7053025658243858e-13
9,0,0,0.5773502691896258,GL16_20,146.76507461938633,146.76507461938616,1.7053025658243858e-13
10,0,0,0.7071067811865475,GL16_20,146.8234583170709,146.82345831707065,2.557953848736688e-13
11,0,0,0.816496580927726,GL16_20,146.88080688866282,146.8808068886624,4.26325641456151e-13
12,0,1,-1.0,back_uv64_96,145.5682678927437,145.56826789274373,-2.8421709430403604e-14
13,0,1,-0.816496580927726,GL16_20,145.56811875973688,145.56811875973625,6.252776074690836e-13
14,0,1,-0.7071067811865475,GL16_20,145.56634834791734,145.5663483479167,6.536993168995058e-13
15,0,1,-0.5773502691896258,GL16_20,145.5621940524467,145.562194052446,7.105427357603526e-13
16,0,1,-0.5,GL16_20,145.55844706037246,145.55844706037166,7.958078640516289e-13
17,0,1,-0.3333333333333333,GL16_20,145.54633501627882,145.54633501627794,8.810729923429124e-13
18,0,1,0.0,GL16_20,145.49769807379744,145.49769807379622,1.2221335055081191e-12
19,0,1,0.3333333333333333,GL16_20,145.3875522685009,145.38755226849904,1.875832822408424e-12
20,0,1,0.5,GL16_20,145.28489091045086,145.2848909104484,2.444267011017732e-12
21,0,1,0.5773502691896258,GL16_20,145.21740111760744,145.21740111760462,2.8137492336139553e-12
22,0,1,0.7071067811865475,GL16_20,145.05560909686187,145.055609096858,3.8653524825424155e-12
23,0,1,0.816496580927726,GL16_20,144.83129686683316,144.83129686682776,5.400124791791342e-12
25,0,2,-1.0,back_uv64_96,144.48475444967153,144.48475444967164,-1.1368683772160957e-13
26,0,2,-0.816496580927726,GL16_20,144.40106024907948,144.40106024907809,1.3926637620907661e-12
27,0,2,-0.7071067811865475,GL16_20,144.34222447452052,144.34222447451907,1.449507180951655e-12
28,0,2,-0.5773502691896258,GL16_20,144.2616992100713,144.26169921006976,1.5347723092429942e-12
29,0,2,-0.5,GL16_20,144.20711468664726,144.20711468664567,1.591615728103891e-12
30,0,2,-0.3333333333333333,GL16_20,144.06866854516608,144.06866854516437,1.7053025658256945e-12
31,0,2,0.0,GL16_20,143.664130703429,143.66413070342708,1.93267624126934e-12
32,0,2,0.3333333333333333,GL16_20,142.91245384979732,142.9124538497954,1.9042545318388816e-12
33,0,2,0.5,GL16_20,142.225362578392,142.22536257839056,1.449507180951655e-12
34,0,2,0.5773502691896258,GL16_20,141.75344676281483,141.75344676281392,9.094947017733418e-13
35,0,2,0.7071067811865475,GL16_20,140.50328280110793,140.50328280110884,-9.094947017725146e-13
36,0,2,0.816496580927726,GL16_20,138.32634924756275,138.3263492475676,-4.860112312587275e-12
38,0,3,-1.0,back_uv64_96,143.13226006070872,143.1322600607086,1.136868377216225e-13
39,0,3,-0.816496580927726,GL16_20,142.94356581968245,142.943565819682,4.547473508865675e-13
40,0,3,-0.7071067811865475,GL16_20,142.81221893700047,142.81221893700007,3.9790393202573527e-13
