small_domain,large_domain,state,inner_cross_sum,outer_action_sum,boundary_identity_residual
10.25,12.75,BE_equilibrium,3.2479151430110557e-21,-1.0299920638612292e-18,-1.0267441487182182e-18
10.25,12.75,smooth_L8,-2.8960180708984127e-05,2.8960180708983117e-05,-1.009663273127126e-18
10.25,12.75,smooth_L2,0.00010210642518898516,-0.00010210642518898542,-2.574980159653073e-19
10.25,12.75,narrow_core,-2.480373478857268e-16,2.470625700551343e-16,-9.747778305924969e-19
10.25,12.75,angular_dipole,5.718505580289528e-20,-5.149960319306146e-19,-4.578109761277193e-19
10.25,12.75,angular_quadrupole,-6.830028490217404e-20,-1.5449880957918438e-18,-1.6132883806940179e-18
10.25,12.75,red_blue_crossing,2.8817912734134236e-20,-6.776263578034403e-19,-6.48808445069306e-19
10.25,12.75,tapered_L8,-1.5575747257371533e-06,1.5575747257362798e-06,-8.735027268559972e-19
10.25,12.75,tapered_red_blue,1.325986475746843e-21,-2.710505431213761e-19,-2.6972455664562927e-19
10.25,12.75,compact_gaussian,-1.7464369426724815e-08,1.7464369426968204e-08,2.4338962343760286e-19
10.25,12.75,wing_localized,-0.00018513480538661915,0.00018513480538661788,-1.2739375526704677e-18
12.75,16.25,BE_equilibrium,-3.7743583604938936e-20,8.402566836762659e-19,8.02513100071327e-19
12.75,16.25,smooth_L8,-2.5452312667364973e-05,2.5452312667365143e-05,1.6940658945086007e-19
12.75,16.25,smooth_L2,-1.8508650961626345e-05,1.850865096162589e-05,-4.54009659728305e-19
12.75,16.25,narrow_core,-3.7961290643983246e-20,8.402566836762659e-19,8.022953930322826e-19
12.75,16.25,angular_dipole,-2.541098422569005e-20,3.5236570605778894e-19,3.269547218320989e-19
12.75,16.25,angular_quadrupole,-8.046933984516062e-21,2.981555974335137e-19,2.9010866344899764e-19
12.75,16.25,red_blue_crossing,-6.437453266582896e-20,6.776263578034403e-19,6.132518251376113e-19
12.75,16.25,tapered_L8,-3.0385765497004496e-09,3.038576549662525e-09,-3.792457672433121e-20
12.75,16.25,tapered_red_blue,-3.774668190074364e-20,7.860465750519907e-19,7.482998931512471e-19
12.75,16.25,compact_gaussian,-8.68556875239387e-11,8.685568686798636e-11,-6.559523387487786e-19
12.75,16.25,wing_localized,-2.6836151550666632e-06,2.683615155067606e-06,9.427476702940363e-19
16.25,21.25,BE_equilibrium,3.036086954330631e-20,-1.0164395367051604e-18,-9.860786671618541e-19
16.25,21.25,smooth_L8,-1.9046792223614167e-05,1.9046792223614205e-05,3.7269449679189215e-20
16.25,21.25,smooth_L2,-6.494122478194685e-05,6.494122478194746e-05,6.098637220230962e-19
16.25,21.25,narrow_core,3.036086954329853e-20,-1.0164395367051604e-18,-9.860786671618618e-19
16.25,21.25,angular_dipole,1.863472483953606e-20,1.3552527156068805e-20,3.2187251995604865e-20
16.25,21.25,angular_quadrupole,3.824793190441258e-20,-1.3552527156068805e-19,-9.727733965627548e-20
16.25,21.25,red_blue_crossing,-8.320017359752859e-32,5.421010862427522e-19,5.42101086242669e-19
16.25,21.25,tapered_L8,-7.065979554179126e-15,7.066043713685466e-15,6.415950633980445e-20
16.25,21.25,tapered_red_blue,3.036086953853018e-20,-6.505213034913027e-19,-6.201604339527725e-19
16.25,21.25,compact_gaussian,-1.4652709344784026e-14,1.4651610003371673e-14,-1.0993414123521876e-18
16.25,21.25,wing_localized,-4.1102873015556083e-10,4.110287292002999e-10,-9.552609484080088e-19
