small_domain,large_domain,window,quantity,max_abs,rms_rel
10.25,12.75,4.25,opacity,8.138214397084703e-11,5.429757329138433e-12
10.25,12.75,8.25,opacity,9.610201655759756e-07,6.351778279043565e-08
10.25,12.75,4.25,M1,1.380523203087236e-06,2.9430281803348733e-07
10.25,12.75,8.25,M1,0.03297482117204141,0.006990206480278894
10.25,12.75,4.25,M2,9.649854077586895e-06,5.968003773165271e-07
10.25,12.75,8.25,M2,0.1121352430410405,0.006840737671522024
10.25,12.75,4.25,M3,7.47410262222914e-05,1.136878738851196e-06
10.25,12.75,8.25,M3,0.48502839029900224,0.00740643052865823
10.25,12.75,4.25,M4,0.0005550751229570494,1.8096185892572138e-06
10.25,12.75,8.25,M4,1.8067645514208106,0.005961865503866744
12.75,16.25,4.25,opacity,2.858227977214911e-15,1.7589588468576516e-16
12.75,16.25,8.25,opacity,2.1795938740377767e-09,1.434783964659315e-10
12.75,16.25,4.25,M1,6.704908850352354e-11,1.3267266545637117e-11
12.75,16.25,8.25,M1,0.000130112483845507,2.7494062830623494e-05
12.75,16.25,4.25,M2,6.730380697206328e-10,3.863294448037429e-11
12.75,16.25,8.25,M2,0.0008534109684859015,5.1668950577113735e-05
12.75,16.25,4.25,M3,7.17734627286859e-09,1.0117464182090723e-10
12.75,16.25,8.25,M3,0.00606432170411958,9.161780354247136e-05
12.75,16.25,4.25,M4,7.512505639795108e-08,2.268863394517708e-10
12.75,16.25,8.25,M4,0.04150954724530198,0.000134249653408579
16.25,21.25,4.25,opacity,0.0,0.0
16.25,21.25,8.25,opacity,5.613456748043699e-15,3.486846933814314e-16
16.25,21.25,4.25,M1,0.0,0.0
16.25,21.25,8.25,M1,5.395569546706724e-10,1.0759592181609456e-10
16.25,21.25,4.25,M2,2.220446049250313e-16,1.9227177252240764e-18
16.25,21.25,8.25,M2,5.875393283005792e-09,3.355330236697707e-10
16.25,21.25,4.25,M3,4.440892098500626e-16,2.6705645729449563e-18
16.25,21.25,8.25,M3,6.617625930571691e-08,9.431879784244753e-10
16.25,21.25,4.25,M4,3.552713678800501e-15,6.053729985117149e-18
16.25,21.25,8.25,M4,7.356740852060284e-07,2.244109362478802e-09
