domain,state,matrix_relative,action_relative
12.75,BE_equilibrium,6.18653549743099e-09,0.014459811691709151
12.75,smooth_L8,6.18653549743099e-09,2.1007661889025524e-07
12.75,smooth_L2,6.18653549743099e-09,4.7657678990254776e-08
12.75,narrow_core,6.18653549743099e-09,1.4176981836924311e-16
12.75,angular_dipole,6.18653549743099e-09,4.333704997652387e-09
12.75,angular_quadrupole,6.18653549743099e-09,4.388751487642348e-09
12.75,red_blue_crossing,6.18653549743099e-09,1.5449666989056877e-07
12.75,tapered_L8,6.18653549743099e-09,1.6411538420241364e-08
12.75,tapered_red_blue,6.18653549743099e-09,1.2274477216808396e-09
12.75,compact_gaussian,6.18653549743099e-09,5.591313230667569e-12
12.75,wing_localized,6.18653549743099e-09,0.00019800088408115557
16.25,BE_equilibrium,3.342246781676919e-08,0.05480541674376401
16.25,smooth_L8,3.342246781676919e-08,7.306674743662714e-07
16.25,smooth_L2,3.342246781676919e-08,7.701933688783144e-08
16.25,narrow_core,3.342246781676919e-08,4.848922961545176e-16
16.25,angular_dipole,3.342246781676919e-08,2.2316781370236053e-08
16.25,angular_quadrupole,3.342246781676919e-08,2.272132734801675e-08
16.25,red_blue_crossing,3.342246781676919e-08,1.0010401045839018e-06
16.25,tapered_L8,3.342246781676919e-08,1.647677042883691e-08
16.25,tapered_red_blue,3.342246781676919e-08,1.2348004259836808e-09
16.25,compact_gaussian,3.342246781676919e-08,5.6033976475848245e-12
16.25,wing_localized,3.342246781676919e-08,0.0002052650871908531
21.25,BE_equilibrium,1.509518855221427e-07,0.02033171028520234
21.25,smooth_L8,1.509518855221427e-07,2.1373196555075914e-06
21.25,smooth_L2,1.509518855221427e-07,5.277087791727377e-07
21.25,narrow_core,1.509518855221427e-07,1.8738286587541938e-16
21.25,angular_dipole,1.509518855221427e-07,9.469568430412676e-08
21.25,angular_quadrupole,1.509518855221427e-07,9.613080171838645e-08
21.25,red_blue_crossing,1.509518855221427e-07,5.519464057714669e-06
21.25,tapered_L8,1.509518855221427e-07,1.647677098532905e-08
21.25,tapered_red_blue,1.509518855221427e-07,1.2348004882089848e-09
21.25,compact_gaussian,1.509518855221427e-07,5.603361092133979e-12
21.25,wing_localized,1.509518855221427e-07,0.00020526344809554178
