angle_index,node_class,nx,ny,nz,R_H_over_H,a_red_over_H,a_blue_over_H,red_boundary_class,blue_boundary_class,net_red_outward_flux,net_blue_outward_flux
0,axis,-1.0,0.0,0.0,0.6000000000000001,25555.256098952286,25577.80609895229,inflow,outflow,-912.6877178197244,1217.9907666167755
1,axis,1.0,0.0,0.0,0.6000000000000001,25555.256098952286,25577.80609895229,inflow,outflow,-912.6877178197244,1217.9907666167755
2,axis,0.0,-1.0,0.0,-1.8,-76686.26829685686,-76712.91829685685,outflow,inflow,3651.727061755088,-3105.046692968015
3,axis,0.0,1.0,0.0,-1.8,-76686.26829685686,-76712.91829685685,outflow,inflow,3651.727061755088,-3105.046692968015
4,axis,0.0,0.0,-1.0,-1.9000000000000001,-80946.33181334891,-80975.0318133489,outflow,inflow,3469.1285062863817,-3277.5608114926936
5,axis,0.0,0.0,1.0,-1.7,-72426.2047803648,-72450.80478036481,outflow,inflow,3793.7535837333944,-2932.532574443337
6,edge_midpoint,0.0,-0.7071067811865475,-0.7071067811865475,-1.8707106781186547,-79698.58809765379,-79726.68766655521,outflow,inflow,2821.449405263594,-2581.626076821788
7,edge_midpoint,0.0,-0.7071067811865475,0.7071067811865475,-1.729289321881345,-73673.94849605991,-73699.14892715847,outflow,inflow,3005.085080148387,-2386.448631927037
8,edge_midpoint,0.0,0.7071067811865475,-0.7071067811865475,-1.8707106781186547,-79698.58809765379,-79726.68766655521,outflow,inflow,2821.449405263594,-2581.626076821788
9,edge_midpoint,0.0,0.7071067811865475,0.7071067811865475,-1.729289321881345,-73673.94849605991,-73699.14892715847,outflow,inflow,3005.085080148387,-2386.448631927037
10,edge_midpoint,-0.7071067811865475,0.0,-0.7071067811865475,-0.6707106781186548,-28577.825899749223,-28581.325468650655,outflow,inflow,1011.697845760804,-925.4905389848785
11,edge_midpoint,-0.7071067811865475,0.0,0.7071067811865475,-0.5292893218813454,-22553.186298155353,-22553.78672925392,outflow,inflow,919.9214245727342,-730.313094090127
12,edge_midpoint,0.7071067811865475,0.0,-0.7071067811865475,-0.6707106781186548,-28577.825899749223,-28581.325468650655,outflow,inflow,1011.697845760804,-925.4905389848785
13,edge_midpoint,0.7071067811865475,0.0,0.7071067811865475,-0.5292893218813454,-22553.186298155353,-22553.78672925392,outflow,inflow,919.9214245727342,-730.313094090127
14,edge_midpoint,-0.7071067811865475,-0.7071067811865475,0.0,-0.6000000000000001,-25565.506098952286,-25567.55609895229,outflow,inflow,973.9240418648491,-827.9018165375028
15,edge_midpoint,-0.7071067811865475,0.7071067811865475,0.0,-0.6000000000000001,-25565.506098952286,-25567.55609895229,outflow,inflow,973.9240418648491,-827.9018165375028
16,edge_midpoint,0.7071067811865475,-0.7071067811865475,0.0,-0.6000000000000001,-25565.506098952286,-25567.55609895229,outflow,inflow,973.9240418648491,-827.9018165375028
17,edge_midpoint,0.7071067811865475,0.7071067811865475,0.0,-0.6000000000000001,-25565.506098952286,-25567.55609895229,outflow,inflow,973.9240418648491,-827.9018165375028
18,cube_corner,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,-1.0577350269189625,-45065.30898293206,-45076.742550983894,outflow,inflow,1364.8969978614998,-1231.5610018393813
19,cube_corner,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,-0.9422649730810374,-40146.21134690889,-40155.277778857046,outflow,inflow,1364.9160194909043,-1097.0995536009157
20,cube_corner,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,-1.0577350269189625,-45065.30898293206,-45076.742550983894,outflow,inflow,1364.8969978614998,-1231.5610018393813
21,cube_corner,-0.5773502691896258,0.5773502691896258,0.5773502691896258,-0.9422649730810374,-40146.21134690889,-40155.277778857046,outflow,inflow,1364.9160194909043,-1097.0995536009157
22,cube_corner,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,-1.0577350269189625,-45065.30898293206,-45076.742550983894,outflow,inflow,1364.8969978614998,-1231.5610018393813
23,cube_corner,0.5773502691896258,-0.5773502691896258,0.5773502691896258,-0.9422649730810374,-40146.21134690889,-40155.277778857046,outflow,inflow,1364.9160194909043,-1097.0995536009157
24,cube_corner,0.5773502691896258,0.5773502691896258,-0.5773502691896258,-1.0577350269189625,-45065.30898293206,-45076.742550983894,outflow,inflow,1364.8969978614998,-1231.5610018393813
25,cube_corner,0.5773502691896258,0.5773502691896258,0.5773502691896258,-0.9422649730810374,-40146.21134690889,-40155.277778857046,outflow,inflow,1364.9160194909043,-1097.0995536009157
