angle_index,node_class,nx_at_test,ny_at_test,nz_at_test,R_H_over_H,a_red_over_H,a_blue_over_H,red_branch,blue_branch
0,axis,-0.9565109241183156,-0.2916965067365838,0.0,0.5747967561242282,24481.581901628015,24503.61523512856,inflow,outflow
1,axis,0.9565109241183156,0.2916965067365838,0.0,0.18722844203756578,7970.925551738799,7985.013734800569,inflow,outflow
2,axis,0.2916965067365838,-0.9565109241183156,0.0,-1.6931819969926747,-72135.7535216964,-72160.21375263477,outflow,inflow
3,axis,-0.2916965067365838,0.9565109241183156,0.0,-1.4179485836921375,-60410.635296484455,-60429.453242450145,outflow,inflow
4,axis,0.0,0.0,-1.0,-1.7159559605087142,-73105.93883270242,-73130.86592989285,outflow,inflow
5,axis,0.0,0.0,1.0,-1.8518719383135893,-78896.04581625132,-78923.75919098676,outflow,inflow
6,edge_midpoint,0.20626057796186584,-0.6763553607230721,-0.7071067811865475,-1.7186999191632149,-73222.83321425042,-73247.81656259327,outflow,inflow
7,edge_midpoint,0.20626057796186584,-0.6763553607230721,0.7071067811865475,-1.8131121968403427,-77244.85621066291,-77271.77501069814,outflow,inflow
8,edge_midpoint,-0.20626057796186584,0.6763553607230721,-0.7071067811865475,-1.525925706524075,-65010.529312405626,-65031.56078938937,outflow,inflow
9,edge_midpoint,-0.20626057796186584,0.6763553607230721,0.7071067811865475,-1.621625475903579,-69087.40027310891,-69110.39359536493,outflow,inflow
10,edge_midpoint,-0.6763553607230721,-0.20626057796186584,-0.7071067811865475,-0.5281586324709988,-22505.01821110034,-22505.595463065994,outflow,inflow
11,edge_midpoint,-0.6763553607230721,-0.20626057796186584,0.7071067811865475,-0.6033529144735666,-25708.34238517988,-25710.461119926586,outflow,inflow
12,edge_midpoint,0.6763553607230721,0.20626057796186584,-0.7071067811865475,-0.7737538722161008,-32967.53141772261,-32973.14337210303,outflow,inflow
13,edge_midpoint,0.6763553607230721,0.20626057796186584,0.7071067811865475,-0.9002564258820058,-38356.6205538746,-38364.82581060518,outflow,inflow
14,edge_midpoint,-0.4700947827612063,-0.8826159386849379,0.0,-1.2188608599528896,-51929.37181165428,-51944.108459283314,outflow,inflow
15,edge_midpoint,-0.8826159386849379,0.4700947827612063,0.0,0.31178813721264353,13277.247682145991,13293.88933895885,inflow,outflow
16,edge_midpoint,0.8826159386849379,-0.4700947827612063,0.0,-0.14415071367129365,-6146.036961873695,-6138.742051503956,outflow,inflow
17,edge_midpoint,0.4700947827612063,0.8826159386849379,0.0,-1.2972966054798332,-55270.784390736146,-55287.12897114848,outflow,inflow
18,cube_corner,-0.3838307828364871,-0.7206528962085674,-0.5773502691896258,-1.3692429263146821,-58335.74335607986,-58353.56283606931,outflow,inflow
19,cube_corner,-0.3838307828364871,-0.7206528962085674,0.5773502691896258,-1.4334500200015219,-61071.00632923279,-61090.14205464282,outflow,inflow
20,cube_corner,-0.7206528962085674,0.3838307828364871,-0.5773502691896258,-0.3208790290641388,-13674.775449235289,-13671.103469331105,outflow,inflow
21,cube_corner,-0.7206528962085674,0.3838307828364871,0.5773502691896258,-0.3838161458019946,-16355.936597716694,-16353.554828705635,outflow,inflow
22,cube_corner,0.7206528962085674,-0.3838307828364871,-0.5773502691896258,-0.6777358926253151,-28877.104499902765,-28880.748085701583,outflow,inflow
23,cube_corner,0.7206528962085674,-0.3838307828364871,0.5773502691896258,-0.7726660386346766,-32921.18901620021,-32926.778669992214,outflow,inflow
24,cube_corner,0.3838307828364871,0.7206528962085674,-0.5773502691896258,-1.4155743905837892,-60309.49316206464,-60328.26243707161,outflow,inflow
25,cube_corner,0.3838307828364871,0.7206528962085674,0.5773502691896258,-1.5154878767179,-64565.87113291924,-64586.688634391954,outflow,inflow
