small_domain,large_domain,state,inner_cross_sum,outer_action_sum,boundary_number_identity_residual
10.25,12.75,BE_equilibrium,2.6192425787487123e-20,-4.336808689942018e-19,-4.0748844320671465e-19
10.25,12.75,smooth_L8,-2.8960054113588526e-05,2.896005411358931e-05,7.826584432629735e-19
10.25,12.75,smooth_L2,0.0001021059788933951,-0.00010210597889339412,9.75781955236954e-19
10.25,12.75,narrow_core,-2.4799750540459753e-16,2.475504610327528e-16,-4.47044371844731e-19
10.25,12.75,angular_dipole,-1.9481929245470835e-20,-5.421010862427522e-20,-7.369203786974606e-20
10.25,12.75,angular_quadrupole,7.666043034768716e-20,8.131516293641283e-20,1.579755932841e-19
10.25,12.75,red_blue_crossing,5.930826024238391e-20,7.318364664277155e-19,7.911447266700994e-19
10.25,12.75,tapered_L8,-1.5575673164055157e-06,1.5575673164052372e-06,-2.7846208140985124e-19
10.25,12.75,tapered_red_blue,2.5255841772506852e-20,3.5236570605778894e-19,3.776215478302958e-19
10.25,12.75,compact_gaussian,-1.7464280252634627e-08,1.746428025329108e-08,6.56453842844533e-19
10.25,12.75,wing_localized,-0.00018513400067594985,0.0001851340006759505,6.505213034913027e-19
12.75,16.25,BE_equilibrium,5.891723089936586e-20,0.0,5.891723089936586e-20
12.75,16.25,smooth_L8,-2.545180446240886e-05,2.5451804462407778e-05,-1.0808140406964872e-18
12.75,16.25,smooth_L2,-1.850828308661793e-05,1.8508283086618877e-05,9.486769009248164e-19
12.75,16.25,narrow_core,5.869956088376268e-20,0.0,5.869956088376268e-20
12.75,16.25,angular_dipole,8.533856574986285e-20,-3.2526065174565133e-19,-2.3992208599578847e-19
12.75,16.25,angular_quadrupole,3.2610737550128413e-20,4.87890977618477e-19,5.205017151686054e-19
12.75,16.25,red_blue_crossing,6.098636473164911e-20,2.710505431213761e-19,3.3203690785302524e-19
12.75,16.25,tapered_L8,-3.0385105235090577e-09,3.0385105225904773e-09,-9.185803479273807e-19
12.75,16.25,tapered_red_blue,5.891641825192005e-20,-1.8973538018496328e-19,-1.3081896193304322e-19
12.75,16.25,compact_gaussian,-8.68538458085959e-11,8.685384543191156e-11,-3.766843378530563e-19
12.75,16.25,wing_localized,-2.6835589111070452e-06,2.683558911106322e-06,-7.233661369551725e-19
16.25,21.25,BE_equilibrium,-2.7124877550408286e-20,-8.673617379884035e-19,-8.944866155388119e-19
16.25,21.25,smooth_L8,-1.904523446745537e-05,1.9045234467455046e-05,-3.2526065174565133e-19
16.25,21.25,smooth_L2,-6.493591182169268e-05,6.493591182169176e-05,-9.215718466126788e-19
16.25,21.25,narrow_core,-2.712487755041606e-20,-8.673617379884035e-19,-8.944866155388196e-19
16.25,21.25,angular_dipole,-2.9222636680236384e-20,-1.2468324983583301e-18,-1.2760551350385665e-18
16.25,21.25,angular_quadrupole,7.119260072314927e-21,-1.9244588561617704e-18,-1.9173395960894553e-18
16.25,21.25,red_blue_crossing,-2.3716922523151224e-20,-1.1384122811097797e-18,-1.1621292036329309e-18
16.25,21.25,tapered_L8,-7.065704019194929e-15,7.0649866165672925e-15,-7.174026276367223e-19
16.25,21.25,tapered_red_blue,-2.712487755359092e-20,-9.75781955236954e-19,-1.002906832790545e-18
16.25,21.25,compact_gaussian,-1.465189627593468e-14,1.4651474478100113e-14,-4.217978345671381e-19
16.25,21.25,wing_localized,-4.1100480566082304e-10,4.110048049783214e-10,-6.825016569362512e-19
