small_domain,large_domain,fixed_window,quantity,max_abs,max_rel,rms_rel
10.25,12.75,4.25,opacity,8.148333917323836e-11,1.7638127580471726e-07,5.4297075470991035e-12
10.25,12.75,4.25,M1,1.3822398298724003e-06,4.1057791338229714e-06,2.9430027370472465e-07
10.25,12.75,4.25,M2,9.66185329076552e-06,6.564720952007148e-06,5.967950733664016e-07
10.25,12.75,4.25,M3,7.48339637350881e-05,3.123039886982305e-05,1.1368687065004688e-06
10.25,12.75,4.25,M4,0.0005557653369461235,4.2328103608928266e-05,1.8096025143228606e-06
10.25,12.75,8.25,opacity,9.604718112865232e-07,0.008217134978269374,6.351771382434421e-08
10.25,12.75,8.25,M1,0.03295988566979356,0.320875530302521,0.0069902024348498714
10.25,12.75,8.25,M2,0.11207178488126646,0.07527122958546026,0.006840732120563821
10.25,12.75,8.25,M3,0.4847539091613086,1.507418198289083,0.007406425306561041
10.25,12.75,8.25,M4,1.805742090056607,0.2400777237636375,0.0059618607255051415
10.25,12.75,10.25,opacity,1.1751004015312296e-05,0.14807385720435345,7.742555244510143e-07
10.25,12.75,10.25,M1,0.4105845578888858,3.657713993050004,0.08701920921056058
10.25,12.75,10.25,M2,0.5915020586234223,0.3590344083368909,0.03645753518027665
10.25,12.75,10.25,M3,2.047918814323471,5.2602963468422015,0.031801524330802446
10.25,12.75,10.25,M4,2.856271942457682,0.31377853095716723,0.011037524529211671
12.75,16.25,4.25,opacity,2.869612100026009e-15,6.2116482755818564e-12,1.758946882580976e-16
12.75,16.25,4.25,M1,6.7312044826906e-11,1.999424290834084e-10,1.326701344282763e-11
12.75,16.25,4.25,M2,6.756777359839816e-10,4.5908747056032084e-10,3.863218828793524e-11
12.75,16.25,4.25,M3,7.205509078289651e-09,3.0038238026506598e-09,1.011726926033534e-10
12.75,16.25,4.25,M4,7.541982327552432e-08,5.743448290897992e-09,2.2688193915169558e-10
12.75,16.25,8.25,opacity,2.185588075890319e-09,1.869453048980707e-05,1.4347865227344686e-10
12.75,16.25,8.25,M1,0.00013046926240346812,0.0012630638390133337,2.7494167321464618e-05
12.75,16.25,8.25,M2,0.0008557521883421071,0.0005739671142440444,5.166911722673531e-05
12.75,16.25,8.25,M3,0.006080961657838391,0.01917945934843383,9.161811024939126e-05
12.75,16.25,8.25,M4,0.04162346169516873,0.005494019842924203,0.00013425009357065834
12.75,16.25,10.25,opacity,1.5661834794981878e-07,0.0019800799826975766,1.0295138110762913e-08
12.75,16.25,10.25,M1,0.010620357566001534,0.10406396330952862,0.002238867620762072
12.75,16.25,10.25,M2,0.0512871444751013,0.02995332861190433,0.0030833124679160184
12.75,16.25,10.25,M3,0.28731631502341504,2.769653578101024,0.004331273899108126
12.75,16.25,10.25,M4,1.486009040406726,0.13890382188136288,0.004793492420248442
16.25,21.25,4.25,opacity,0.0,0.0,0.0
16.25,21.25,4.25,M1,0.0,0.0,0.0
16.25,21.25,4.25,M2,0.0,0.0,0.0
16.25,21.25,4.25,M3,4.440892098500626e-16,1.908962135865481e-16,2.4980844153018636e-18
16.25,21.25,4.25,M4,3.552713678800501e-15,2.761535533761731e-16,5.426693453557601e-18
16.25,21.25,8.25,opacity,5.667450016233477e-15,4.851256046759709e-11,3.487248569260712e-16
16.25,21.25,8.25,M1,5.447436807193284e-10,5.244137162116125e-09,1.0760924112324819e-10
16.25,21.25,8.25,M2,5.931880764364905e-09,3.9786103000360405e-09,3.3557419668984436e-10
16.25,21.25,8.25,M3,6.681251124573961e-08,2.0684811570882972e-07,9.43303794461428e-10
16.25,21.25,8.25,M4,7.427473285304131e-07,9.803769304558699e-08,2.2443848114270423e-09
16.25,21.25,10.25,opacity,7.468471926509214e-12,9.442169809780913e-08,4.839611519537373e-13
16.25,21.25,10.25,M1,9.067296724840634e-07,8.804993904735546e-06,1.8848325270028697e-07
16.25,21.25,10.25,M2,8.359886102038416e-06,4.8824163549529585e-06,4.951761078030436e-07
16.25,21.25,10.25,M3,8.096546813331218e-05,0.0007600286648849487,1.2032099566615347e-06
16.25,21.25,10.25,M4,0.0007680604987836404,7.178884980676211e-05,2.441434107437985e-06
