small_domain,large_domain,state,small_action_norm,large_restricted_action_norm,domain_relative,small_entropy,large_entropy,small_number_residual,large_number_residual,fourforce_relative
10.25,12.75,BE_equilibrium,2.5009536873510944e-14,2.407901257146634e-14,0.49586645579491045,-0.0,-0.0,4.8428546329387645e-14,1.993736664478163e-14,1.4076580831083645
10.25,12.75,smooth_L8,0.0103640952188258,0.01036409428591491,0.00035912611412862027,-5.670822275639322e-05,-5.7122458454536256e-05,1.5885442917681902e-13,1.1987242795608033e-13,0.003324765478572656
10.25,12.75,smooth_L2,0.16099127887743556,0.1609912781671515,8.12816905435488e-05,-0.012628630931632644,-0.012633797910185988,1.5703584266280046e-14,4.526240493518685e-14,0.0007887214745166635
10.25,12.75,narrow_core,2.5371783001770774,2.537178300177072,5.355219240433671e-15,-1.0215339332354725,-1.0215339332354727,6.68076705068188e-14,1.0258460747536446e-13,8.772253373463595e-08
10.25,12.75,angular_dipole,4.366304823908456,4.366304824232207,3.580223693130764e-06,-2.3030994070964983,-2.303125859854773,1.116168789339067e-13,8.049631924564316e-14,1.1485560457558453e-05
10.25,12.75,angular_quadrupole,2.440559630903356,2.4405596310573885,3.0922478562976658e-06,-0.6995667297888142,-0.6995746637400989,7.704947790898586e-14,4.39648317751562e-14,0.7518198162525601
10.25,12.75,red_blue_crossing,0.6824419537967666,0.6824419988933542,0.00011070880292904345,-0.18645965688686014,-0.18726521268051188,5.6135732997772414e-14,3.199635109814303e-14,0.0027803525744196124
10.25,12.75,tapered_L8,0.010364099169631786,0.010364099060640338,1.7464877319814033e-05,-5.927140730714428e-05,-5.929693218710703e-05,2.5539179061492834e-13,2.358000947277894e-13,0.00023263923285424278
10.25,12.75,tapered_red_blue,0.6824417850411567,0.6824417853342554,1.596389118288334e-06,-0.1855451388445834,-0.18554590111778757,4.219075176031817e-14,2.2191856642247987e-14,9.053968805950727e-06
10.25,12.75,compact_gaussian,0.30345411232445035,0.3034541123244264,4.332670783031259e-09,-0.04013508726325916,-0.04013508727200668,1.5040919898456906e-13,1.0733081090563701e-13,2.9582963043671833e-07
10.25,12.75,wing_localized,4.32887760385565e-05,6.626335314146414e-05,0.3884519099241293,-2.209831913659129e-05,-3.9322127129545735e-05,9.860032712180611e-14,3.952274705426584e-14,10.440223662807504
12.75,16.25,BE_equilibrium,2.4079012573785207e-14,2.2231107100841487e-14,0.48893641981994324,-0.0,-0.0,1.993736664478163e-14,3.0338795711792876e-14,0.3565555255477225
12.75,16.25,smooth_L8,0.010364095080371059,0.010364094296512142,0.00033281730026513573,-5.7122458454536256e-05,-5.7607745895306667e-05,1.1987242795608033e-13,1.2789769243681803e-13,0.004177384328310945
12.75,16.25,smooth_L2,0.16099127880292638,0.16099127906503857,1.6885978179374e-05,-0.012633797910185988,-0.012634111271904568,4.526240493518685e-14,3.895495037653518e-14,0.0002014668422521693
12.75,16.25,narrow_core,2.537178300177072,2.5371783001770734,4.323201705980636e-15,-1.0215339332354727,-1.0215339332354725,1.0258460747536446e-13,8.970602038971265e-14,3.117277168659638e-08
12.75,16.25,angular_dipole,4.366304824694151,4.366304824868436,2.443745707903776e-06,-2.303125859854773,-2.3031487546657763,8.049631924564316e-14,9.298207277914916e-14,9.94061981953622e-06
12.75,16.25,angular_quadrupole,2.4405596313293683,2.440559631411237,2.063060709685028e-06,-0.6995746637400989,-0.6995815473264475,4.39648317751562e-14,5.3790305543088834e-14,0.19207944696493587
12.75,16.25,red_blue_crossing,0.6824420943913383,0.6824421325829545,9.454199856482137e-05,-0.18726521268051188,-0.18839526832535547,3.199635109814303e-14,4.169189678823043e-14,0.003495527717364597
12.75,16.25,tapered_L8,0.010364099062939598,0.010364099062668384,3.8857246458619876e-08,-5.929693218710703e-05,-5.929697378220223e-05,2.358000947277894e-13,2.4471917547952415e-13,2.6607870851860106e-06
12.75,16.25,tapered_red_blue,0.6824417853347385,0.6824417853352879,3.5857727666407826e-09,-0.18554590111778757,-0.18554590255600772,2.2191856642247987e-14,3.2513136063658243e-14,9.907280177555558e-09
