frequency_index,region,x_left,x_center,x_right,width,nu_center_Hz
0,red_wing,-10.25,-9.25,-8.25,2.0,2465532223563786.0
1,red_wing,-8.25,-7.625,-7.0,1.25,2465626269011244.0
2,red_wing,-7.0,-6.5,-6.0,1.0,2465691377397945.5
3,red_wing,-6.0,-5.625,-5.25,0.75,2465742017254269.0
4,red_wing,-5.25,-5.0,-4.75,0.5,2465778188580214.0
5,red_wing,-4.75,-4.5,-4.25,0.5,2465807125640970.5
6,core_v0_17,-4.25,-4.0,-3.75,0.5,2465836062701727.0
7,core_v0_17,-3.75,-3.5,-3.25,0.5,2465864999762483.0
8,core_v0_17,-3.25,-3.0,-2.75,0.5,2465893936823239.5
9,core_v0_17,-2.75,-2.5,-2.25,0.5,2465922873883995.5
10,core_v0_17,-2.25,-2.0,-1.75,0.5,2465951810944752.0
11,core_v0_17,-1.75,-1.5,-1.25,0.5,2465980748005508.0
12,core_v0_17,-1.25,-1.0,-0.75,0.5,2466009685066264.5
13,core_v0_17,-0.75,-0.5,-0.25,0.5,2466038622127020.5
14,core_v0_17,-0.25,0.0,0.25,0.5,2466067559187777.0
15,core_v0_17,0.25,0.5,0.75,0.5,2466096496248533.5
16,core_v0_17,0.75,1.0,1.25,0.5,2466125433309289.5
17,core_v0_17,1.25,1.5,1.75,0.5,2466154370370046.0
18,core_v0_17,1.75,2.0,2.25,0.5,2466183307430802.0
19,core_v0_17,2.25,2.5,2.75,0.5,2466212244491558.5
20,core_v0_17,2.75,3.0,3.25,0.5,2466241181552314.5
21,core_v0_17,3.25,3.5,3.75,0.5,2466270118613071.0
22,core_v0_17,3.75,4.0,4.25,0.5,2466299055673827.0
23,blue_wing,4.25,4.5,4.75,0.5,2466327992734583.5
24,blue_wing,4.75,5.0,5.25,0.5,2466356929795340.0
25,blue_wing,5.25,5.625,6.0,0.75,2466393101121285.0
26,blue_wing,6.0,6.5,7.0,1.0,2466443740977608.5
27,blue_wing,7.0,7.625,8.25,1.25,2466508849364310.0
28,blue_wing,8.25,9.25,10.25,2.0,2466602894811768.0
