old_state,old_frequency,angle_index,new_state,new_frequency
0,0,0,156,6
1,0,1,157,6
2,0,2,158,6
3,0,3,159,6
4,0,4,160,6
5,0,5,161,6
6,0,6,162,6
7,0,7,163,6
8,0,8,164,6
9,0,9,165,6
10,0,10,166,6
11,0,11,167,6
12,0,12,168,6
13,0,13,169,6
14,0,14,170,6
15,0,15,171,6
16,0,16,172,6
17,0,17,173,6
18,0,18,174,6
19,0,19,175,6
20,0,20,176,6
21,0,21,177,6
22,0,22,178,6
23,0,23,179,6
24,0,24,180,6
25,0,25,181,6
26,1,0,182,7
27,1,1,183,7
28,1,2,184,7
29,1,3,185,7
30,1,4,186,7
31,1,5,187,7
32,1,6,188,7
33,1,7,189,7
34,1,8,190,7
35,1,9,191,7
36,1,10,192,7
37,1,11,193,7
38,1,12,194,7
39,1,13,195,7
40,1,14,196,7
41,1,15,197,7
42,1,16,198,7
43,1,17,199,7
44,1,18,200,7
45,1,19,201,7
46,1,20,202,7
47,1,21,203,7
48,1,22,204,7
49,1,23,205,7
50,1,24,206,7
51,1,25,207,7
52,2,0,208,8
53,2,1,209,8
54,2,2,210,8
55,2,3,211,8
56,2,4,212,8
57,2,5,213,8
58,2,6,214,8
59,2,7,215,8
60,2,8,216,8
61,2,9,217,8
62,2,10,218,8
63,2,11,219,8
64,2,12,220,8
65,2,13,221,8
66,2,14,222,8
67,2,15,223,8
68,2,16,224,8
69,2,17,225,8
70,2,18,226,8
71,2,19,227,8
72,2,20,228,8
73,2,21,229,8
74,2,22,230,8
75,2,23,231,8
76,2,24,232,8
77,2,25,233,8
78,3,0,234,9
79,3,1,235,9
80,3,2,236,9
81,3,3,237,9
82,3,4,238,9
83,3,5,239,9
84,3,6,240,9
85,3,7,241,9
86,3,8,242,9
87,3,9,243,9
88,3,10,244,9
89,3,11,245,9
90,3,12,246,9
91,3,13,247,9
92,3,14,248,9
93,3,15,249,9
94,3,16,250,9
95,3,17,251,9
96,3,18,252,9
97,3,19,253,9
98,3,20,254,9
99,3,21,255,9
100,3,22,256,9
101,3,23,257,9
102,3,24,258,9
103,3,25,259,9
104,4,0,260,10
105,4,1,261,10
106,4,2,262,10
107,4,3,263,10
108,4,4,264,10
109,4,5,265,10
110,4,6,266,10
111,4,7,267,10
112,4,8,268,10
113,4,9,269,10
114,4,10,270,10
115,4,11,271,10
116,4,12,272,10
117,4,13,273,10
118,4,14,274,10
119,4,15,275,10
120,4,16,276,10
121,4,17,277,10
122,4,18,278,10
123,4,19,279,10
124,4,20,280,10
125,4,21,281,10
126,4,22,282,10
127,4,23,283,10
128,4,24,284,10
129,4,25,285,10
130,5,0,286,11
131,5,1,287,11
132,5,2,288,11
133,5,3,289,11
134,5,4,290,11
135,5,5,291,11
136,5,6,292,11
137,5,7,293,11
138,5,8,294,11
139,5,9,295,11
140,5,10,296,11
141,5,11,297,11
142,5,12,298,11
143,5,13,299,11
144,5,14,300,11
145,5,15,301,11
146,5,16,302,11
147,5,17,303,11
148,5,18,304,11
149,5,19,305,11
150,5,20,306,11
151,5,21,307,11
152,5,22,308,11
153,5,23,309,11
154,5,24,310,11
155,5,25,311,11
156,6,0,312,12
157,6,1,313,12
158,6,2,314,12
159,6,3,315,12
160,6,4,316,12
161,6,5,317,12
162,6,6,318,12
163,6,7,319,12
164,6,8,320,12
165,6,9,321,12
166,6,10,322,12
167,6,11,323,12
168,6,12,324,12
169,6,13,325,12
170,6,14,326,12
171,6,15,327,12
172,6,16,328,12
173,6,17,329,12
174,6,18,330,12
175,6,19,331,12
176,6,20,332,12
177,6,21,333,12
178,6,22,334,12
179,6,23,335,12
180,6,24,336,12
181,6,25,337,12
182,7,0,338,13
183,7,1,339,13
184,7,2,340,13
185,7,3,341,13
186,7,4,342,13
187,7,5,343,13
188,7,6,344,13
189,7,7,345,13
190,7,8,346,13
191,7,9,347,13
192,7,10,348,13
193,7,11,349,13
194,7,12,350,13
195,7,13,351,13
196,7,14,352,13
197,7,15,353,13
198,7,16,354,13
199,7,17,355,13
200,7,18,356,13
201,7,19,357,13
202,7,20,358,13
203,7,21,359,13
204,7,22,360,13
205,7,23,361,13
206,7,24,362,13
207,7,25,363,13
208,8,0,364,14
209,8,1,365,14
210,8,2,366,14
211,8,3,367,14
212,8,4,368,14
213,8,5,369,14
214,8,6,370,14
215,8,7,371,14
216,8,8,372,14
217,8,9,373,14
218,8,10,374,14
219,8,11,375,14
220,8,12,376,14
221,8,13,377,14
222,8,14,378,14
223,8,15,379,14
224,8,16,380,14
225,8,17,381,14
226,8,18,382,14
227,8,19,383,14
228,8,20,384,14
229,8,21,385,14
230,8,22,386,14
231,8,23,387,14
232,8,24,388,14
233,8,25,389,14
234,9,0,390,15
235,9,1,391,15
236,9,2,392,15
237,9,3,393,15
238,9,4,394,15
239,9,5,395,15
240,9,6,396,15
241,9,7,397,15
242,9,8,398,15
243,9,9,399,15
244,9,10,400,15
245,9,11,401,15
246,9,12,402,15
247,9,13,403,15
248,9,14,404,15
249,9,15,405,15
250,9,16,406,15
251,9,17,407,15
252,9,18,408,15
253,9,19,409,15
254,9,20,410,15
255,9,21,411,15
256,9,22,412,15
257,9,23,413,15
258,9,24,414,15
259,9,25,415,15
260,10,0,416,16
261,10,1,417,16
262,10,2,418,16
263,10,3,419,16
264,10,4,420,16
265,10,5,421,16
266,10,6,422,16
