physics_orbit_id,frequency_i,frequency_j,x_i,x_j,width_i,width_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI,DeltaE_SI,p_parallel_over_sigma,required_speed_over_c,active,background_lane,max_fractional_detuning
0,0,0,-9.25,-9.25,2.0,2.0,0,-1,-1.0,13,1.0898732796286108e-26,0.0,-0.0006545255754502963,1.0861531532838213e-08,True,series_v0_8,0.00021707524976815896
1,0,0,-9.25,-9.25,2.0,2.0,1,-sqrt(2/3),-0.816496580927726,24,1.038671701993719e-26,0.0,-0.0006237763657101874,1.0351263449009286e-08,True,series_v0_8,0.00021707524976815896
2,0,0,-9.25,-9.25,2.0,2.0,2,-1/sqrt(2),-0.7071067811865475,24,1.0069116160798238e-26,0.0,-0.0006047027826637007,1.0034746674915168e-08,True,series_v0_8,0.00021707524976815896
3,0,0,-9.25,-9.25,2.0,2.0,3,-1/sqrt(3),-0.5773502691896258,24,9.67887941988993e-27,0.0,-0.0005812670372262223,9.645841951230965e-09,True,series_v0_8,0.00021707524976815896
4,0,0,-9.25,-9.25,2.0,2.0,4,-1/2,-0.5,24,9.438579470642381e-27,0.0,-0.0005668357757665849,9.406362231443626e-09,True,series_v0_8,0.00021707524976815896
5,0,0,-9.25,-9.25,2.0,2.0,5,-1/3,-0.3333333333333333,12,8.898778064612481e-27,0.0,-0.0005344178944849192,8.868403360201082e-09,True,series_v0_8,0.00021707524976815896
6,0,0,-9.25,-9.25,2.0,2.0,6,0,0.0,96,7.70656786659413e-27,0.0,-0.00046281947286093173,7.680262600941415e-09,True,series_v0_8,0.00021707524976815896
7,0,0,-9.25,-9.25,2.0,2.0,7,1/3,0.3333333333333333,12,6.2923863137615874e-27,0.0,-0.0003778905171777233,6.270908154295751e-09,True,series_v0_8,0.00021707524976815896
8,0,0,-9.25,-9.25,2.0,2.0,8,1/2,0.5,24,5.449366398143054e-27,0.0,-0.00032726278772514817,5.4307657664191064e-09,True,series_v0_8,0.00021707524976815896
9,0,0,-9.25,-9.25,2.0,2.0,9,1/sqrt(3),0.5773502691896258,24,5.010156658236703e-27,0.0,-0.0003008859590489244,4.993055206054867e-09,True,series_v0_8,0.00021707524976815896
10,0,0,-9.25,-9.25,2.0,2.0,10,1/sqrt(2),0.7071067811865475,24,4.1707644749127415e-27,0.0,-0.000250476093784055,4.1565281677281834e-09,True,series_v0_8,0.00021707524976815896
11,0,0,-9.25,-9.25,2.0,2.0,11,sqrt(2/3),0.816496580927726,24,3.3012855242449825e-27,0.0,-0.00019825936169556282,3.2900170589289036e-09,True,series_v0_8,0.00021707524976815896
12,0,1,-9.25,-7.625,2.0,1.25,0,-1,-1.0,26,1.0898940657329813e-26,6.231517321448471e-23,1.1486215464849805,1.9060812311055982e-05,True,series_v0_8,0.00021707524976815896
13,0,1,-9.25,-7.625,2.0,1.25,1,-sqrt(2/3),-0.816496580927726,48,1.0386915115987491e-26,6.231517321448471e-23,1.2053061442012651,2.000146546291808e-05,True,series_v0_8,0.00021707524976815896
14,0,1,-9.25,-7.625,2.0,1.25,2,-1/sqrt(2),-0.7071067811865475,48,1.0069308199676316e-26,6.231517321448471e-23,1.243362755538127,2.0632996299255405e-05,True,series_v0_8,0.00021707524976815896
15,0,1,-9.25,-7.625,2.0,1.25,3,-1/sqrt(3),-0.5773502691896258,48,9.679064016315613e-27,6.231517321448471e-23,1.2935409451841664,2.1465678794093347e-05,True,series_v0_8,0.00021707524976815896
16,0,1,-9.25,-7.625,2.0,1.25,4,-1/2,-0.5,48,9.438759484158876e-27,6.231517321448471e-23,1.3265028669018926,2.2012665750063278e-05,True,series_v0_8,0.00021707524976815896
17,0,1,-9.25,-7.625,2.0,1.25,5,-1/3,-0.3333333333333333,24,8.898947783253175e-27,6.231517321448471e-23,1.4070355621427755,2.3349066406648046e-05,True,series_v0_8,0.00021707524976815896
18,0,1,-9.25,-7.625,2.0,1.25,6,0,0.0,192,7.706714847949254e-27,6.231517321448471e-23,1.6248589970771175,2.69637396843161e-05,True,series_v0_8,0.00021707524976815896
19,0,1,-9.25,-7.625,2.0,1.25,7,1/3,0.3333333333333333,24,6.29250632467989e-27,6.231517321448471e-23,1.9902266719047856,3.302683739977253e-05,True,series_v0_8,0.00021707524976815896
20,0,1,-9.25,-7.625,2.0,1.25,8,1/2,0.5,48,5.449470331638099e-27,6.231517321448471e-23,2.298224898803589,3.8137917209324826e-05,True,series_v0_8,0.00021707524976815896
21,0,1,-9.25,-7.625,2.0,1.25,9,1/sqrt(3),0.5773502691896258,48,5.0102522155343945e-27,6.231517321448471e-23,2.499751262461645,4.1482148566616414e-05,True,series_v0_8,0.00021707524976815896
22,0,1,-9.25,-7.625,2.0,1.25,10,1/sqrt(2),0.7071067811865475,48,4.170844024311426e-27,6.231517321448471e-23,3.0029526529110293,4.9832529322897586e-05,True,series_v0_8,0.00021707524976815896
23,0,1,-9.25,-7.625,2.0,1.25,11,sqrt(2/3),0.816496580927726,48,3.301348492430566e-27,6.231517321448471e-23,3.7939761092528825,6.29591763731077e-05,True,series_v0_8,0.00021707524976815896
24,0,1,-9.25,-7.625,2.0,1.25,12,1,1.0,26,2.0786105619543603e-31,6.231517321448471e-23,60260.88808357136,0.9999999399049434,False,series_v0_8,0.00021707524976815896
25,0,2,-9.25,-6.5,2.0,1.0,0,-1,-1.0,26,1.0899084561129297e-26,1.0545644697823132e-22,1.9442485322922962,3.2263852679307295e-05,True,series_v0_8,0.00021707524976815896
26,0,2,-9.25,-6.5,2.0,1.0,1,-sqrt(2/3),-0.816496580927726,48,1.0387052259630496e-26,1.0545644697823132e-22,2.040153759183029,3.385535297373208e-05,True,series_v0_8,0.00021707524976815896
27,0,2,-9.25,-6.5,2.0,1.0,2,-1/sqrt(2),-0.7071067811865475,48,1.0069441150036925e-26,1.0545644697823132e-22,2.10454320053867,3.4923864234250784e-05,True,series_v0_8,0.00021707524976815896
28,0,2,-9.25,-6.5,2.0,1.0,3,-1/sqrt(3),-0.5773502691896258,48,9.679191814393667e-27,1.0545644697823132e-22,2.1894427913798276,3.633273138571678e-05,True,series_v0_8,0.00021707524976815896
29,0,2,-9.25,-6.5,2.0,1.0,4,-1/2,-0.5,48,9.438884109571423e-27,1.0545644697823132e-22,2.2452137779479364,3.725822360778963e-05,True,series_v0_8,0.00021707524976815896
30,0,2,-9.25,-6.5,2.0,1.0,5,-1/3,-0.3333333333333333,24,8.899065281721682e-27,1.0545644697823132e-22,2.3814756355867783,3.951942243481665e-05,True,series_v0_8,0.00021707524976815896
31,0,2,-9.25,-6.5,2.0,1.0,6,0,0.0,192,7.706816605914064e-27,1.0545644697823132e-22,2.750045475969674,4.5635658520194753e-05,True,series_v0_8,0.00021707524976815896
32,0,2,-9.25,-6.5,2.0,1.0,7,1/3,0.3333333333333333,24,6.292589411843216e-27,1.0545644697823132e-22,3.368293042389842,5.5895174251346e-05,True,series_v0_8,0.00021707524976815896
33,0,2,-9.25,-6.5,2.0,1.0,8,1/2,0.5,48,5.4495422890794824e-27,1.0545644697823132e-22,3.889478878557451,6.4543998080894e-05,True,series_v0_8,0.00021707524976815896
34,0,2,-9.25,-6.5,2.0,1.0,9,1/sqrt(3),0.5773502691896258,48,5.0103183745706405e-27,1.0545644697823132e-22,4.230500729377985,7.020308876428831e-05,True,series_v0_8,0.00021707524976815896
35,0,2,-9.25,-6.5,2.0,1.0,10,1/sqrt(2),0.7071067811865475,48,4.170899102151549e-27,1.0545644697823132e-22,5.082026166966048,8.43337365774217e-05,True,series_v0_8,0.00021707524976815896
36,0,2,-9.25,-6.5,2.0,1.0,11,sqrt(2/3),0.816496580927726,48,3.301392092752776e-27,1.0545644697823132e-22,6.4206274118908375,0.00010654716898859137,True,series_v0_8,0.00021707524976815896
37,0,2,-9.25,-6.5,2.0,1.0,12,1,1.0,26,3.517648535060062e-31,1.0545644697823132e-22,60260.88993787626,0.9999999706762255,False,series_v0_8,0.00021707524976815896
38,0,3,-9.25,-5.625,2.0,0.75,0,-1,-1.0,26,1.0899196486306679e-26,1.3901077101677454e-22,2.563054996116061,4.253264303928968e-05,True,series_v0_8,0.00021707524976815896
39,0,3,-9.25,-5.625,2.0,0.75,1,-sqrt(2/3),-0.816496580927726,48,1.0387158927034848e-26,1.3901077101677454e-22,2.6894644407166264,4.463034589472512e-05,True,series_v0_8,0.00021707524976815896
40,0,3,-9.25,-5.625,2.0,0.75,2,-1/sqrt(2),-0.7071067811865475,48,1.0069544556081164e-26,1.3901077101677454e-22,2.774334491294717,4.6038722839985535e-05,True,series_v0_8,0.00021707524976815896
41,0,3,-9.25,-5.625,2.0,0.75,3,-1/sqrt(3),-0.5773502691896258,48,9.679291213211381e-27,1.3901077101677454e-22,2.886238982438276,4.7895723093009685e-05,True,series_v0_8,0.00021707524976815896
42,0,3,-9.25,-5.625,2.0,0.75,4,-1/2,-0.5,48,9.438981040827024e-27,1.3901077101677454e-22,2.9597499363149953,4.911560138881454e-05,True,series_v0_8,0.00021707524976815896
43,0,3,-9.25,-5.625,2.0,0.75,5,-1/3,-0.3333333333333333,24,8.899156669955645e-27,1.3901077101677454e-22,3.139355680482464,5.209607079585297e-05,True,series_v0_8,0.00021707524976815896
44,0,3,-9.25,-5.625,2.0,0.75,6,0,0.0,192,7.706895751926592e-27,1.3901077101677454e-22,3.6251699724975888,6.015792116464189e-05,True,series_v0_8,0.00021707524976815896
45,0,3,-9.25,-5.625,2.0,0.75,7,1/3,0.3333333333333333,24,6.292654036709172e-27,1.3901077101677454e-22,4.440097281017845,7.368124094076254e-05,True,series_v0_8,0.00021707524976815896
