lane,event_id,beta_norm,response_relative,thermal_log_residual,conductance_log_residual,rest_frequency_in_relative,rest_frequency_out_relative,response_forward_m2,response_reverse_m2
physical,0,2.2239256216430242e-05,0.0,0.0,0.0,0.0,0.0,2.783404721392803105811944008709381371671e-22,2.783404721392803105811944008709381371671e-22
physical,1,2.1088867056414295e-05,8.652097147212421650442193907099169412964e-92,0.0,0.0,0.0,2.240845658272622771727225031880357795103e-91,7.509313629957728827712542755128474768306e-23,7.509313629957728827712542755128474768306e-23
physical,2,4.205945038453743e-05,1.139192919681689245535983559345541703002e-91,0.0,0.0,0.0,0.0,2.28131021226623351860853509337406769901e-22,2.28131021226623351860853509337406769901e-22
physical,3,1.6270656414542484e-05,1.460661129050669097798804222676283676926e-87,-7.85454954447636248495323512797804102876e-90,2.906183331456254119432696997351875180641e-87,2.241623913575841529581604895969438461486e-91,2.241623954656625169020441848098319901379e-91,1.351592246725388803788535135479812760478e-22,1.351592246725388803788535135479812760478e-22
physical,4,2.641157547099656e-05,9.505967270557045626595303706386310635482e-92,0.0,0.0,0.0,2.240997066741100466855727365412513004473e-91,1.366958441704656300744226686451302446123e-22,1.366958441704656300744226686451302446123e-22
physical,5,4.496391881825574e-05,2.424604277354454440262585570988459490447e-91,7.85454954447636248495323512797804102876e-90,1.570909908895272496990647025595608205752e-89,0.0,2.241025799880932222844832455284320682746e-91,2.143733281083622302397856789028795197463e-22,2.143733281083622302397856789028795197463e-22
physical,6,1.894379843520302e-05,6.136690533495741619443130677335389282584e-87,-1.570909908895272496990647025595608205752e-89,-1.228451548756103092646685974015765616898e-86,2.241198141885317691120519278127998083894e-91,4.482396362059981418732550850243111242032e-91,2.217449163706297675153125471181050735484e-21,2.217449163706297675153125471181050735484e-21
physical,7,2.1668572210892262e-05,1.331646104837671361728345080705664153584e-87,0.0,-2.654837746033010519914193473256577867721e-87,2.240902757869443074828627070904346538722e-91,2.240902776359373368856017247401073900184e-91,8.064048134785936121833801863819971440274e-23,8.064048134785936121833801863819971440274e-23
physical,8,2.665366562464996e-05,2.238241545168175577791778831130688394839e-87,7.85454954447636248495323512797804102876e-90,-4.461384141262573891453437552691527304336e-87,4.483457770917579865898918424259907442675e-91,2.241728905882612964967110242666461433343e-91,5.529802973651344820290274482880019043125e-23,5.529802973651344820290274482880019043125e-23
physical,9,1.5151885050109084e-05,1.468323024489371797099729400748722412089e-87,-7.85454954447636248495323512797804102876e-90,2.937601529634159569372509937863787344756e-87,2.24162207685364586187988070597886911549e-91,0.0,1.305246666403806813411276849062286765165e-22,1.305246666403806813411276849062286765165e-22
physical,10,2.0553581587015947e-05,1.344730085472722482264348549479516536318e-87,0.0,-2.701965043299868694823912884024446113894e-87,2.241653592581876736223069420243424373547e-91,2.241653605835491535519553428923661153824e-91,9.395915948879333270379779093985058955174e-23,9.395915948879333270379779093985058955174e-23
physical,11,4.302730445259348e-05,3.201301883303948447439062792822816391264e-87,-7.85454954447636248495323512797804102876e-90,6.377894230114806337782026923918169315353e-87,2.241436913968890160336378654541703551668e-91,0.0,5.251768445100817329238852361590700243077e-22,5.251768445100817329238852361590700243077e-22
physical,12,1.3411296940968537e-05,0.0,0.0,0.0,0.0,2.241113367066923061791889438802860448266e-91,4.29817109016655387586942578229314592638e-22,4.29817109016655387586942578229314592638e-22
