detuning_Doppler_proxy,mu_rest,nu_out_over_nu_in,amplitude_abs2,response_area_m2
-8.0,-1.0,0.9999999782763,1228796.5534584667,1.2261777226906307e-22
-8.0,-0.5,0.9999999837072249,1228796.5534578406,7.663610808433032e-23
-8.0,0.0,0.9999999891381501,1228796.553457214,6.130888680039697e-23
-8.0,0.5,0.999999994569075,1228796.553456588,7.663610891666212e-23
-8.0,1.0,1.0,1228796.5534559614,1.226177749325248e-22
-7.75,-1.0,0.9999999782761726,1309344.7312097806,1.306554234886552e-22
-7.75,-0.5,0.9999999837071295,1309344.7312091338,8.165964012385916e-23
-7.75,0.0,0.9999999891380863,1309344.7312084876,6.532771245384706e-23
-7.75,0.5,0.999999994569043,1309344.7312078408,8.165964101075847e-23
-7.75,1.0,1.0,1309344.7312071945,1.3065542632673311e-22
-7.5,-1.0,0.9999999782760451,1398081.0029048168,1.3951013904242428e-22
-7.5,-0.5,0.9999999837070337,1398081.002904149,8.719383737502226e-23
-7.5,0.0,0.9999999891380225,1398081.0029034805,6.975507027882347e-23
-7.5,0.5,0.9999999945690113,1398081.0029028128,8.719383832203646e-23
-7.5,1.0,1.0,1398081.0029021443,1.3951014207286961e-22
-7.25,-1.0,0.9999999782759178,1496154.0053357156,1.4929653781115686e-22
-7.25,-0.5,0.9999999837069382,1496154.005335024,9.331033663870027e-23
-7.25,0.0,0.9999999891379587,1496154.0053343333,7.464826971634203e-23
-7.25,0.5,0.9999999945689794,1496154.0053336413,9.331033765215478e-23
-7.25,1.0,1.0,1496154.0053329505,1.4929654105421127e-22
-7.0,-1.0,0.9999999782757903,1604921.0896661805,1.6015006563009172e-22
-7.0,-0.5,0.9999999837068426,1604921.0896654644,1.0009379156237729e-22
-7.0,0.0,0.9999999891378949,1604921.0896647489,8.007503368475783e-23
-7.0,0.5,0.9999999945689475,1604921.0896640322,1.0009379264951726e-22
-7.0,1.0,1.0,1604921.0896633167,1.6015006910893963e-22
-6.75,-1.0,0.9999999782756627,1725995.541876571,1.7223170727162979e-22
-6.75,-0.5,0.999999983706747,1725995.5418758285,1.0764481762935048e-22
-6.75,0.0,0.9999999891378313,1725995.5418750858,8.611585457114577e-23
-6.75,0.5,0.9999999945689155,1725995.5418743433,1.0764481879851397e-22
-6.75,1.0,1.0,1725995.5418736013,1.722317110129533e-22
-6.5,-1.0,0.9999999782755353,1861306.7539304257,1.8573399073571665e-22
-6.5,-0.5,0.9999999837066513,1861306.7539296546,1.1608374484023913e-22
-6.5,0.0,0.9999999891377674,1861306.753928884,9.286699637652427e-23
-6.5,0.5,0.9999999945688838,1861306.7539281128,1.1608374610107162e-22
-6.5,1.0,1.0,1861306.7539273417,1.8573399477038051e-22
-6.25,-1.0,0.9999999782754077,2013177.5698415756,2.0088870537684445e-22
-6.25,-0.5,0.9999999837065557,2013177.5698407737,1.25555441542388e-22
-6.25,0.0,0.9999999891377036,2013177.5698399723,1.0044435377939855e-22
-6.25,0.5,0.9999999945688519,2013177.5698391702,1.255554429061084e-22
-6.25,1.0,1.0,2013177.5698383683,2.0088870974074975e-22
-6.0,-1.0,0.9999999782752803,2184424.6466663876,2.179769166097745e-22
-6.0,-0.5,0.9999999837064601,2184424.646665552,1.362355736209769e-22
-6.0,0.0,0.99999998913764,2184424.646664717,1.0898845948867575e-22
-6.0,0.5,0.9999999945688202,2184424.646663881,1.3623557510071253e-22
-6.0,1.0,1.0,2184424.6466630464,2.179769213449286e-22
-5.75,-1.0,0.9999999782751529,2378490.003036733,2.3734209272920476e-22
-5.75,-0.5,0.9999999837063646,2378490.003035861,1.4833880876135812e-22
-5.75,0.0,0.9999999891375763,2378490.0030349903,1.1867104765357063e-22
-5.75,0.5,0.9999999945687881,2378490.0030341186,1.4833881037256842e-22
-5.75,1.0,1.0,2378490.003033247,2.3734209788507773e-22
-5.5,-1.0,0.9999999782750252,2599615.3439524737,2.594075002362009e-22
-5.5,-0.5,0.999999983706269,2599615.3439515624,1.6212968852813463e-22
-5.5,0.0,0.9999999891375126,2599615.343950652,1.2970375152691495e-22
-5.5,0.5,0.9999999945687563,2599615.3439497408,1.6212969028915276e-22
-5.5,1.0,1.0,2599615.343948829,2.5940750587145877e-22
-5.25,-1.0,0.9999999782748978,2853075.8299784856,2.846995309366352e-22
-5.25,-0.5,0.9999999837061733,2853075.829977531,1.7793720780176352e-22
-5.25,0.0,0.9999999891374488,2853075.8299765764,1.4234976701450397e-22
-5.25,0.5,0.9999999945687243,2853075.8299756213,1.7793720973449645e-22
-5.25,1.0,1.0,2853075.8299746676,2.8469953712138075e-22
-5.0,-1.0,0.9999999782747704,3145497.6379257143,3.138793903302541e-22
-5.0,-0.5,0.9999999837060777,3145497.6379247117,1.9617462002183097e-22
-5.0,0.0,0.999999989137385,3145497.63792371,1.5693969686980252e-22
-5.0,0.5,0.9999999945686925,3145497.6379227065,1.9617462215267525e-22
-5.0,1.0,1.0,3145497.637921705,3.13879397148956e-22
-4.75,-1.0,0.999999978274643,3485295.48151514,3.477867564319747e-22
-4.75,-0.5,0.9999999837059821,3485295.4815140855,2.1736672395051086e-22
-4.75,0.0,0.9999999891373214,3485295.4815130304,1.7389338010482998e-22
-4.75,0.5,0.9999999945686607,3485295.481511975,2.1736672631156415e-22
-4.75,1.0,1.0,3485295.48151092,3.477867639873452e-22
-4.5,-1.0,0.9999999782745156,3883284.8205346093,3.8750087021257806e-22
-4.5,-0.5,0.9999999837058865,3883284.8205334963,2.42188045198205e-22
-4.5,0.0,0.9999999891372576,3883284.8205323825,1.9375043721083891e-22
-4.5,0.5,0.9999999945686286,3883284.820531268,2.421880478288923e-22
-4.5,1.0,1.0,3883284.820530155,3.8750087863077783e-22
-4.25,-1.0,0.999999978274388,4353553.266733865,4.344274904728003e-22
-4.25,-0.5,0.9999999837057909,4353553.266732684,2.7151718302014582e-22
-4.25,0.0,0.999999989137194,4353553.266731506,2.172137475958333e-22
-4.25,0.5,0.9999999945685969,4353553.266730328,2.715171859694374e-22
-4.25,1.0,1.0,4353553.266729147,4.344274999105328e-22
-4.0,-1.0,0.9999999782742606,4914724.630116661,4.904250290769877e-22
-4.0,-0.5,0.9999999837056953,4914724.630115407,3.0651564483785892e-22
-4.0,0.0,0.9999999891371302,4914724.630114157,2.4521251720208056e-22
-4.0,0.5,0.9999999945685649,4914724.630112902,3.065156481673423e-22
-4.0,1.0,1.0,4914724.630111649,4.904250397313342e-22
-3.75,-1.0,0.999999978274133,5591831.623185699,5.579914222638798e-22
-3.75,-0.5,0.9999999837055998,5591831.6231843615,3.4874464080903643e-22
-3.75,0.0,0.9999999891370663,5591831.623183026,2.789957141625184e-22
-3.75,0.5,0.9999999945685333,5591831.62318169,3.4874464459725976e-22
-3.75,1.0,1.0,5591831.623180352,5.57991434386194e-22
-3.5,-1.0,0.9999999782740056,6419156.75206565,6.4054761430367445e-22
-3.5,-0.5,0.999999983705504,6419156.752064219,4.0034226111416565e-22
-3.5,0.0,0.9999999891370028,6419156.752062785,3.202738106308278e-22
-3.5,0.5,0.9999999945685013,6419156.752061355,4.0034226546290404e-22
-3.5,1.0,1.0,6419156.7520599235,6.405476282196372e-22
-3.25,-1.0,0.999999978273878,7444658.753281892,7.428792578066498e-22
-3.25,-0.5,0.9999999837054084,7444658.753280354,4.642995386509174e-22
-3.25,0.0,0.999999989136939,7444658.7532788105,3.7143963293814256e-22
-3.25,0.5,0.9999999945684694,7444658.753277269,4.642995436944393e-22
-3.25,1.0,1.0,7444658.753275726,7.428792739459202e-22
-3.0,-1.0,0.9999999782737505,8737082.86185449,8.7184622518091e-22
-3.0,-0.5,0.9999999837053128,8737082.86185282,5.4490389369764405e-22
-3.0,0.0,0.9999999891368752,8737082.861851148,4.359231173257754e-22
-3.0,0.5,0.9999999945684375,8737082.861849478,5.449038996167946e-22
-3.0,1.0,1.0,8737082.861847807,8.71846244122192e-22
-2.75,-1.0,0.9999999782736232,10397789.50904691,1.0375629574563643e-21
-2.75,-0.5,0.9999999837052173,10397789.509045089,6.484768519323772e-22
-2.75,0.0,0.9999999891368113,10397789.509043265,5.187814843636212e-22
-2.75,0.5,0.9999999945684057,10397789.509041443,6.484768589766762e-22
-2.75,1.0,1.0,10397789.509039624,1.0375629799981215e-21
-2.5,-1.0,0.9999999782734957,12581251.22931322,1.2554437866546933e-21
-2.5,-0.5,0.9999999837051217,12581251.229311215,7.846523709209966e-22
-2.5,0.0,0.9999999891367476,12581251.229309214,6.277219001462479e-22
-2.5,0.5,0.9999999945683737,12581251.229307208,7.8465237944462315e-22
-2.5,1.0,1.0,12581251.2293052,1.2554438139302983e-21
-2.25,-1.0,0.9999999782733682,15532317.360935243,1.5499214638973689e-21
-2.25,-0.5,0.9999999837050261,15532317.360933013,9.687009201973686e-22
-2.25,0.0,0.9999999891366838,15532317.360930787,7.749607403671054e-22
-2.25,0.5,0.9999999945683421,15532317.360928558,9.687009307203952e-22
-2.25,1.0,1.0,15532317.360926328,1.549921497571053e-21
-2.0,-1.0,0.9999999782732407,19657973.057191845,1.9616077672146767e-21
-2.0,-0.5,0.9999999837049303,19657973.057189334,1.2260048611682942e-21
-2.0,0.0,0.9999999891366201,19657973.057186827,9.808038942619328e-22
-2.0,0.5,0.9999999945683101,19657973.05718432,1.2260048744865382e-21
-2.0,1.0,1.0,19657973.05718181,1.9616078098330557e-21
-1.75,-1.0,0.9999999782731134,25675567.80970902,2.5620847630951355e-21
-1.75,-0.5,0.9999999837048349,25675567.809706155,1.601302985632113e-21
-1.75,0.0,0.9999999891365564,25675567.809703305,1.2810423954638137e-21
-1.75,0.5,0.9999999945682783,25675567.80970044,1.601303003027421e-21
-1.75,1.0,1.0,25675567.809697572,2.562084818760119e-21
-1.5,-1.0,0.9999999782729856,34947092.531112686,3.487261273130259e-21
-1.5,-0.5,0.9999999837047391,34947092.53110934,2.1795383075449184e-21
-1.5,0.0,0.9999999891364928,34947092.531105995,1.74363065550674e-21
-1.5,0.5,0.9999999945682463,34947092.53110266,2.179538331221932e-21
-1.5,1.0,1.0,34947092.53109932,3.4872613488967024e-21
-1.25,-1.0,0.9999999782728581,50323510.687074766,5.0216260419463555e-21
-1.25,-0.5,0.9999999837046437,50323510.68707077,3.1385162932639707e-21
-1.25,0.0,0.999999989136429,50323510.687066756,2.5108130482491734e-21
-1.25,0.5,0.9999999945682145,50323510.68706274,3.1385163273589643e-21
-1.25,1.0,1.0,50323510.68705874,5.021626151050339e-21
-1.0,-1.0,0.9999999782727308,78630003.10778214,7.846242559368652e-21
-1.0,-0.5,0.9999999837045479,78630003.1077771,4.903901626242191e-21
-1.0,0.0,0.9999999891363652,78630003.10777214,3.923121322303184e-21
-1.0,0.5,0.9999999945681824,78630003.1077671,4.903901679515763e-21
-1.0,1.0,1.0,78630003.1077621,7.84624272984408e-21
-0.75,-1.0,0.9999999782726032,139785771.3689313,1.394878577081467e-20
-0.75,-0.5,0.9999999837044525,139785771.36892462,8.717991154113568e-21
-0.75,0.0,0.9999999891363016,139785771.3689179,6.97439296117437e-21
-0.75,0.5,0.9999999945681509,139785771.36891127,8.717991248822363e-21
-0.75,1.0,1.0,139785771.3689046,1.3948786073882815e-20
-0.5,-1.0,0.9999999782724758,314515621.61704224,3.1384532090750706e-20
-0.5,-0.5,0.9999999837043567,314515621.61703235,1.9615332663266718e-20
-0.5,0.0,0.9999999891362378,314515621.6170223,1.5692266215851398e-20
-0.5,0.5,0.9999999945681189,314515621.6170123,1.961533287636178e-20
-0.5,1.0,1.0,314515621.61700225,3.138453277265489e-20
-0.25,-1.0,0.9999999782723484,1258043902.5194867,1.2553627393309755e-19
-0.25,-0.5,0.9999999837042611,1258043902.5194664,7.846017163437352e-20
-0.25,0.0,0.999999989136174,1258043902.5194464,6.276813764844887e-20
-0.25,0.5,0.9999999945680869,1258043902.5194263,7.846017248674865e-20
-0.25,1.0,1.0,1258043902.5194066,1.2553627666069803e-19
0.0,-1.0,0.9999999782722209,105955821723338.0,1.0573000698963824e-14
0.0,-0.5,0.9999999837041655,105955821723338.0,6.608125472747363e-15
0.0,0.0,0.9999999891361104,105955821723338.0,5.286500406913869e-15
0.0,0.5,0.9999999945680551,105955821723338.0,6.6081255445373106e-15
0.0,1.0,1.0,105955821723338.0,1.0573000928691652e-14
0.25,-1.0,0.9999999782720935,1258029140.6044223,1.2553480088764195e-19
0.25,-0.5,0.99999998370407,1258029140.6044426,7.845925098096629e-20
0.25,0.0,0.9999999891360466,1258029140.6044621,6.276740112572507e-20
0.25,0.5,0.9999999945680231,1258029140.6044822,7.845925183334641e-20
0.25,1.0,1.0,1258029140.604503,1.2553480361525846e-19
0.5,-1.0,0.9999999782719659,314508240.5937827,3.138379556254873e-20
0.5,-0.5,0.9999999837039744,314508240.5937927,1.961487233314173e-20
0.5,0.0,0.9999999891359829,314508240.59380275,1.569189795175241e-20
0.5,0.5,0.9999999945679913,314508240.59381276,1.9614872546239292e-20
0.5,1.0,1.0,314508240.59382284,3.138379624446093e-20
0.75,-1.0,0.9999999782718383,139780850.67864323,1.3948294750480537e-20
0.75,-0.5,0.9999999837038788,139780850.67864987,8.717684266405568e-21
0.75,0.0,0.999999989135919,139780850.6786566,6.97414745100864e-21
0.75,0.5,0.9999999945679595,139780850.67866325,8.717684361116029e-21
0.75,1.0,1.0,139780850.67866996,1.394829505355402e-20
1.0,-1.0,0.9999999782717109,78626312.58793552,7.845874293905452e-21
1.0,-0.5,0.999999983703783,78626312.58794053,4.903671460328317e-21
1.0,0.0,0.9999999891358554,78626312.58794555,3.922937189572583e-21
1.0,0.5,0.9999999945679278,78626312.58795056,4.90367151360314e-21
1.0,1.0,1.0,78626312.58795558,7.845874464384881e-21
1.25,-1.0,0.9999999782715834,50320558.26971268,5.0213314294970445e-21
1.25,-0.5,0.9999999837036876,50320558.26971668,3.1383321604836503e-21
1.25,0.0,0.9999999891357917,50320558.269720696,2.5106657420253183e-21
1.25,0.5,0.9999999945678958,50320558.269724704,3.1383321945796453e-21
1.25,1.0,1.0,50320558.26972872,5.021331538604229e-21
1.5,-1.0,0.999999978271456,34944632.18353312,3.487015762720161e-21
1.5,-0.5,0.9999999837035919,34944632.18353646,2.1793848635390242e-21
1.5,0.0,0.9999999891357279,34944632.1835398,1.743507900302358e-21
1.5,0.5,0.9999999945678639,34944632.18354314,2.1793848872168707e-21
1.5,1.0,1.0,34944632.183546476,3.4870158384892705e-21
1.75,-1.0,0.9999999782713284,25673458.940170098,2.561874325582303e-21
1.75,-0.5,0.9999999837034963,25673458.940172963,1.6011714621869504e-21
1.75,0.0,0.9999999891356641,25673458.94017583,1.280937176707969e-21
1.75,0.5,0.999999994567832,25673458.940178696,1.6011714795829724e-21
1.75,1.0,1.0,25673458.94018156,2.5618743812495735e-21
2.0,-1.0,0.999999978271201,19656127.79624001,1.961423634380443e-21
2.0,-0.5,0.9999999837034007,19656127.79624251,1.225889778147211e-21
2.0,0.0,0.9999999891356003,19656127.796245016,9.807118278453165e-22
2.0,0.5,0.9999999945678002,19656127.796247523,1.2258897914660802e-21
2.0,1.0,1.0,19656127.79625003,1.961423677000824e-21
2.25,-1.0,0.9999999782710737,15530677.128913723,1.5497577902605198e-21
2.25,-0.5,0.9999999837033051,15530677.128915953,9.685986241746162e-22
2.25,0.0,0.9999999891355366,15530677.128918175,7.748789035491252e-22
2.25,0.5,0.9999999945677681,15530677.128920404,9.685986346981977e-22
2.25,1.0,1.0,15530677.12892263,1.5497578239359823e-21
2.5,-1.0,0.9999999782709461,12579775.020539207,1.2552964803773783e-21
2.5,-0.5,0.9999999837032095,12579775.020541213,7.845603044979249e-22
2.5,0.0,0.9999999891354727,12579775.020543218,6.276482470079903e-22
2.5,0.5,0.9999999945677366,12579775.02054522,7.845603130220516e-22
2.5,1.0,1.0,12579775.020547226,1.2552965076545838e-21
2.75,-1.0,0.9999999782708188,10396447.500963345,1.0374290426559969e-21
2.75,-0.5,0.9999999837031137,10396447.500965167,6.483931551823747e-22
2.75,0.0,0.9999999891354092,10396447.50096699,5.1871452696380135e-22
2.75,0.5,0.9999999945677046,10396447.500968814,6.483931622271287e-22
2.75,1.0,1.0,10396447.500970632,1.0374290651992083e-21
3.0,-1.0,0.999999978270691,8735852.687758122,8.717234699452671e-22
3.0,-0.5,0.9999999837030183,8735852.687759787,5.448271716755755e-22
3.0,0.0,0.9999999891353454,8735852.68776146,4.358617397082874e-22
3.0,0.5,0.9999999945676727,8735852.687763132,5.448271775951431e-22
3.0,1.0,1.0,8735852.687764803,8.71723488887883e-22
3.25,-1.0,0.9999999782705636,7443523.207947829,7.427659452800104e-22
3.25,-0.5,0.9999999837029226,7443523.207949373,4.6422871832196e-22
3.25,0.0,0.9999999891352817,7443523.207950916,3.7138297667513064e-22
3.25,0.5,0.9999999945676408,7443523.207952457,4.642287233658665e-22
3.25,1.0,1.0,7443523.207953998,7.427659614205118e-22
3.5,-1.0,0.9999999782704361,6418102.317101895,6.404423955278705e-22
3.5,-0.5,0.999999983702827,6418102.317103325,4.002764993794668e-22
3.5,0.0,0.999999989135218,6418102.317104757,3.2022120124321156e-22
3.5,0.5,0.999999994567609,6418102.31710619,4.002765037285624e-22
3.5,1.0,1.0,6418102.3171076225,6.404424094449762e-22
3.75,-1.0,0.9999999782703087,5590847.483878017,5.578932180723136e-22
3.75,-0.5,0.9999999837027315,5590847.483879355,3.4868326318947434e-22
3.75,0.0,0.9999999891351542,5590847.48388069,2.78946612067002e-22
3.75,0.5,0.999999994567577,5590847.483882026,3.486832669780308e-22
3.75,1.0,1.0,5590847.483883363,5.578932301956946e-22
4.0,-1.0,0.9999999782701812,4913801.9995093215,4.9033296264675685e-22
4.0,-0.5,0.9999999837026359,4913801.999510575,3.0645810331912104e-22
4.0,0.0,0.9999999891350905,4913801.999511828,2.451664839872151e-22
4.0,0.5,0.9999999945675452,4913801.999513079,3.064581066489168e-22
4.0,1.0,1.0,4913801.999514333,4.903329733021036e-22
4.25,-1.0,0.9999999782700537,4352684.908510103,4.343408397144281e-22
4.25,-0.5,0.9999999837025401,4352684.908511281,2.714630262963103e-22
4.25,0.0,0.9999999891350266,4352684.908512462,2.1717042221688254e-22
4.25,0.5,0.9999999945675134,4352684.908513642,2.714630292458961e-22
4.25,1.0,1.0,4352684.908514822,4.343408491531024e-22
4.5,-1.0,0.9999999782699261,3882464.704430255,3.8741903338481383e-22
4.5,-0.5,0.9999999837024446,3882464.704431368,2.4213689718099125e-22
4.5,0.0,0.9999999891349631,3882464.7044324814,1.9370951879717909e-22
4.5,0.5,0.9999999945674815,3882464.7044335953,2.421368998119565e-22
4.5,1.0,1.0,3882464.70443471,3.874190418039028e-22
4.75,-1.0,0.9999999782697988,3484518.5294128647,3.477092268053314e-22
4.75,-0.5,0.999999983702349,3484518.52941392,2.1731826793399033e-22
4.75,0.0,0.9999999891348993,3484518.529414975,1.7385461529171882e-22
4.75,0.5,0.9999999945674497,3484518.5294160303,2.1731827029530683e-22
4.75,1.0,1.0,3484518.5294170855,3.477092343615441e-22
5.0,-1.0,0.9999999782696712,3144759.533425691,3.138057371846573e-22
5.0,-0.5,0.9999999837022534,3144759.5334266936,1.9612858680595804e-22
5.0,0.0,0.9999999891348356,3144759.5334276957,1.5690287029720415e-22
5.0,0.5,0.9999999945674176,3144759.5334286983,1.961285889370524e-22
5.0,1.0,1.0,3144759.5334297004,3.1380574400415936e-22
5.25,-1.0,0.9999999782695438,2852372.873309361,2.846293850834428e-22
5.25,-0.5,0.9999999837021578,2852372.8733103154,1.7789336664363733e-22
5.25,0.0,0.9999999891347717,2852372.87331127,1.4231469408809827e-22
5.25,0.5,0.9999999945673859,2852372.8733122246,1.7789336857660848e-22
5.25,1.0,1.0,2852372.8733131792,2.846293912689504e-22
5.5,-1.0,0.9999999782694162,2598944.3398571163,2.593405428306712e-22
5.5,-0.5,0.9999999837020621,2598944.3398580276,1.620878401497922e-22
5.5,0.0,0.9999999891347082,2598944.339858939,1.296702728243319e-22
5.5,0.5,0.9999999945673539,2598944.3398598502,1.6208784191103754e-22
5.5,1.0,1.0,2598944.3398607615,2.5934054846665643e-22
5.75,-1.0,0.9999999782692889,2377848.173030641,2.3727804651503645e-22
5.75,-0.5,0.9999999837019665,2377848.173031512,1.482987798776116e-22
5.75,0.0,0.9999999891346444,2377848.173032384,1.1863902454666038e-22
5.75,0.5,0.9999999945673221,2377848.1730332556,1.4829878148903936e-22
5.75,1.0,1.0,2377848.1730341273,2.3727805167160516e-22
6.0,-1.0,0.9999999782691613,2183809.5595755917,2.179155389877011e-22
6.0,-0.5,0.9999999837018709,2183809.559576428,1.3619721260728527e-22
6.0,0.0,0.9999999891345807,2183809.559577263,1.0895777067780583e-22
6.0,0.5,0.9999999945672902,2183809.5595780984,1.361972140872293e-22
6.0,1.0,1.0,2183809.5595789338,2.179155437235221e-22
6.25,-1.0,0.999999978269034,2012587.0862329598,2.0082978285950917e-22
6.25,-0.5,0.9999999837017752,2012587.0862337616,1.2551861496915342e-22
6.25,0.0,0.9999999891345168,2012587.0862345642,1.0041489252089097e-22
6.25,0.5,0.9999999945672585,2012587.0862353654,1.2551861633307388e-22
6.25,1.0,1.0,2012587.086236168,2.008297872240546e-22
6.5,-1.0,0.9999999782689064,1860738.981228522,1.8567733446891717e-22
6.5,-0.5,0.9999999837016799,1860738.9812292925,1.1604833467358562e-22
6.5,0.0,0.9999999891344529,1860738.9812300643,9.283866824327842e-23
6.5,0.5,0.9999999945672265,1860738.9812308352,1.1604833593461045e-22
6.5,1.0,1.0,1860738.9812316063,1.8567733850419657e-22
6.75,-1.0,0.9999999782687791,1725448.7977920587,1.7217714938408106e-22
6.75,-0.5,0.999999983701584,1725448.7977928012,1.076107189497251e-22
6.75,0.0,0.9999999891343894,1725448.7977935444,8.608857562751959e-23
6.75,0.5,0.9999999945671948,1725448.7977942862,1.0761072011907385e-22
6.75,1.0,1.0,1725448.7977950294,1.721771531259973e-22
7.0,-1.0,0.9999999782686515,1604393.8721550135,1.6009745623926705e-22
7.0,-0.5,0.9999999837014886,1604393.8721557294,1.000609106932012e-22
7.0,0.0,0.9999999891343255,1604393.8721564459,8.004872898948839e-23
7.0,0.5,0.9999999945671628,1604393.8721571614,1.0006091178051977e-22
7.0,1.0,1.0,1604393.872157878,1.6009745971868658e-22
7.25,-1.0,0.9999999782685239,1495644.967737705,1.4924574253715523e-22
7.25,-0.5,0.999999983701393,1495644.9677383956,9.327858959253545e-23
7.25,0.0,0.9999999891342618,1495644.9677390875,7.462287207947915e-23
7.25,0.5,0.999999994567131,1495644.9677397788,9.327859060616244e-23
7.25,1.0,1.0,1495644.96774047,1.4924574578076149e-22
7.5,-1.0,0.9999999782683965,1397588.9332257851,1.3946103694412742e-22
7.5,-0.5,0.9999999837012973,1397588.9332264534,8.716314856367007e-23
7.5,0.0,0.999999989134198,1397588.9332271216,6.97305192298084e-23
