target_cell,x_center,rate_from_center_s^-1,fraction_of_total
0,-4.0,7.402408194104094e-08,9.37252681236569e-08
1,-3.5,5.997941314568902e-07,7.594267205443767e-07
2,-3.0,9.950056759695425e-06,1.2598220919387258e-05
3,-2.5,0.00015559209824210398,0.00019700225579668288
4,-2.0,0.0016446250381707231,0.002082334810828225
5,-1.5,0.011469504121932133,0.014522062562419677
6,-1.0,0.05345158810429485,0.06767749488201023
7,-0.5,0.1729448010552707,0.218973304693035
8,0.0,0.31093956562236713,0.3936947732958261
9,0.5,0.17262816315949717,0.2185723950039
10,1.0,0.053319850546574205,0.067510695948534
11,1.5,0.01143154331237396,0.014473998649153389
12,2.0,0.0016377576465769431,0.0020736396929482105
13,2.5,0.00015428951494503878,0.00019535299564283089
14,3.0,9.946133555949555e-06,1.2593253572095084e-05
15,3.5,5.9826888702944e-07,7.574955389725371e-07
16,4.0,7.374186894219168e-08,9.336794536744635e-08
