i,j,x_i,x_j,K_i_from_j_sInv,K_j_from_i_sInv,conductance_mean,conductance_difference,relative_difference,combined_standard_error,significance
0,1,-4.0,-3.5,5.2921306837269475e-06,5.2903114073736935e-06,6.411197866253437e-06,-6.13042050908507e-10,-9.562051643038047e-05,8.783698645144845e-10,0.6979315612647566
0,2,-4.0,-3.0,3.331253863607453e-06,3.327719559029927e-06,4.03334231468919e-06,7.365558429591314e-10,0.00018261674449913148,1.1577501145336627e-09,0.6361958713826716
0,3,-4.0,-2.5,2.0524982106338444e-06,2.0483221861848604e-06,2.483321719006358e-06,1.7838401522786964e-09,0.0007183282530917732,1.1159062759317722e-09,1.5985573257836596
0,4,-4.0,-2.0,1.2051412058454716e-06,1.2027086958855804e-06,1.4577941480786963e-06,3.829380981465258e-10,0.0002626832455399962,6.752741811232233e-10,0.5670853541439453
0,5,-4.0,-1.5,6.624628634978278e-07,6.614234091128356e-07,8.013498326047735e-07,-5.024009165211565e-10,-0.0006269433099999675,5.786669604496084e-10,0.8682039080489489
0,6,-4.0,-1.0,3.37990154308222e-07,3.378605009979117e-07,4.090036326370602e-07,-9.214962415401912e-10,-0.0022530270345004597,5.31847430764588e-10,1.7326326841805764
0,7,-4.0,-0.5,1.6236862429145814e-07,1.615586787615776e-07,1.959869396937965e-07,3.772046666762363e-10,0.001924641852490622,7.430295220962876e-10,0.5076577113814263
0,8,-4.0,0.0,7.396358233273818e-08,7.389719762749159e-08,8.944140815821309e-08,-2.341279662490872e-10,-0.0026176686064125665,3.303842296324965e-10,0.7086535774105195
0,9,-4.0,0.5,3.448754234437322e-08,3.4254747839811396e-08,4.157304342206278e-08,1.17149925981988e-10,0.0028179299935452077,2.7796685214808864e-10,0.4214528641694861
0,10,-4.0,1.0,1.807858085252018e-08,1.807610893488247e-08,2.1860499354986306e-08,-9.307680149702906e-11,-0.0042577619104477845,5.0835325528863495e-12,18.30947289679133
0,11,-4.0,1.5,1.2284608606011712e-08,1.2288188213359856e-08,1.4854397480203332e-08,-7.613321295303753e-11,-0.005125297949950603,4.5581888755287814e-12,16.702513878213427
0,12,-4.0,2.0,1.0760989808796165e-08,1.0765603611666103e-08,1.3010100967578588e-08,-7.418437703484114e-11,-0.005702060054699805,5.1438292111572955e-12,14.422014026813034
0,13,-4.0,2.5,1.0944740699219568e-08,1.0946676476613066e-08,1.3227687806035597e-08,-7.790715767395153e-11,-0.0058897033870427195,6.615323730613607e-12,11.776771756977224
0,14,-4.0,3.0,1.2007558592723339e-08,1.185947468328439e-08,1.4417997834668938e-08,9.0211874183775e-11,0.006256893309198255,1.2062505378744894e-10,0.7478701260746013
