category,i,j,x_i,x_j,K_i_from_j_sInv,K_j_from_i_sInv,conductance_mean,conductance_difference,relative_difference,combined_standard_error,significance
highest_conductance,7,8,-0.5,0.0,0.17292283772031572,0.1728270840954345,0.20882351583882608,2.3897314806148318e-05,0.00011443785298870609,3.968090336151619e-05,0.6022371665390234
highest_conductance,8,9,0.0,0.5,0.17272639060537415,0.1726193828264994,0.20848777927756867,3.758241655582584e-05,0.00018026196396763746,3.3103729271628225e-05,1.1352925299578287
highest_conductance,7,9,-0.5,0.5,0.15267423587262985,0.1525986563760489,0.18433599142578433,-7.073770566559667e-05,-0.000383743321737993,3.694158142112592e-05,1.914853207262633
highest_conductance,6,7,-1.0,-0.5,0.05768683946142242,0.057678550855514016,0.06970817672848667,-2.0616767564332616e-05,-0.0002957582385870587,1.5989636919616016e-05,1.289383096563003
highest_conductance,6,9,-1.0,0.5,0.057706161510888386,0.05760624308559839,0.0696455229149688,2.8878477718652373e-05,0.00041464944923897713,1.8388453614802253e-05,1.5704679862479523
highest_conductance,9,10,0.5,1.0,0.057635794554274825,0.05760474522133227,0.06954099403809455,6.9130084507790235e-06,9.94091117965912e-05,1.7028670098741666e-05,0.40596290906415883
highest_conductance,7,10,-0.5,1.0,0.05754953755391108,0.05746429095269172,0.0694346770041996,1.1388387977068204e-05,0.00016401585588681291,2.0298837571908952e-05,0.5610364601778136
highest_conductance,6,8,-1.0,0.0,0.05346471522688259,0.05340108213311298,0.06455820004654886,2.014179760816137e-05,0.00031199441114588677,1.6956717685687926e-05,1.187835876111906
worst_relative,5,15,-1.5,3.5,4.100158991942042e-07,2.9329555620869403e-07,4.2416081243834843e-07,1.3897267313970373e-07,0.327641472442491,1.4123913901835154e-07,0.9839529899828027
worst_relative,1,13,-3.5,2.5,4.947467266087331e-07,4.837162666378002e-07,5.910793097542419e-07,1.021007452267919e-08,0.017273611771192465,1.3771718869102737e-08,0.7413798248224336
worst_relative,2,16,-3.0,4.0,1.1844878316645063e-08,1.1856474268535948e-08,1.4305626698057543e-08,-1.0201062166734922e-10,-0.007130804110888795,4.780444337606363e-12,21.33915060256248
worst_relative,0,14,-4.0,3.0,1.2007558592723339e-08,1.185947468328439e-08,1.4417997834668938e-08,9.0211874183775e-11,0.006256893309198255,1.2062505378744894e-10,0.7478701260746013
worst_relative,0,13,-4.0,2.5,1.0944740699219568e-08,1.0946676476613066e-08,1.3227687806035597e-08,-7.790715767395153e-11,-0.0058897033870427195,6.615323730613607e-12,11.776771756977224
worst_relative,3,15,-2.5,3.5,4.830311125825899e-07,4.833192629048514e-07,5.83267153896226e-07,-3.42364756064471e-09,-0.00586977603277458,2.3563867556029277e-10,14.529225953694104
worst_relative,0,12,-4.0,2.0,1.0760989808796165e-08,1.0765603611666103e-08,1.3010100967578588e-08,-7.418437703484114e-11,-0.005702060054699805,5.1438292111572955e-12,14.422014026813034
worst_relative,3,16,-2.5,4.0,1.0945957369191887e-08,1.0944740500912395e-08,1.3209821008363593e-08,-7.399728363425176e-11,-0.005601687077167929,4.964690458978192e-12,14.904712437899203
worst_significance,6,16,-1.0,4.0,1.807565268231218e-08,1.8078580875963448e-08,2.180266749460909e-08,-9.934388904153626e-11,-0.0045565015870695615,3.4447200792070833e-12,28.839466417371003
worst_significance,5,16,-1.5,4.0,1.2276504098793045e-08,1.2284608608014796e-08,1.481475334365064e-08,-8.139091795957645e-11,-0.005493909758170848,3.049824195569553e-12,26.68708513684565
worst_significance,1,12,-3.5,2.0,4.371006168884439e-07,4.3716285640503206e-07,5.282650218686288e-07,-2.6288244290320743e-09,-0.004976336346732079,1.0120616818757939e-10,25.974942793602366
worst_significance,2,16,-3.0,4.0,1.1844878316645063e-08,1.1856474268535948e-08,1.4305626698057543e-08,-1.0201062166734922e-10,-0.007130804110888795,4.780444337606363e-12,21.33915060256248
worst_significance,1,11,-3.5,1.5,4.100921631253258e-07,4.102181902886664e-07,4.957731381941117e-07,-2.3310115870738867e-09,-0.004701770643655199,1.2267109413400765e-10,19.00212599821973
worst_significance,0,10,-4.0,1.0,1.807858085252018e-08,1.807610893488247e-08,2.1860499354986306e-08,-9.307680149702906e-11,-0.0042577619104477845,5.0835325528863495e-12,18.30947289679133
worst_significance,0,11,-4.0,1.5,1.2284608606011712e-08,1.2288188213359856e-08,1.4854397480203332e-08,-7.613321295303753e-11,-0.005125297949950603,4.5581888755287814e-12,16.702513878213427
worst_significance,4,15,-2.0,3.5,4.368940602640337e-07,4.3710061440639076e-07,5.27407045342857e-07,-2.798753271668058e-09,-0.005306628526072577,1.772199486416536e-10,15.792540812249406
