source_cell,x_source,total_rate_sInv,independent_total_rate_sInv,partition_minus_independent_sInv,total_rate_standard_error_sInv,inside_rate_sInv,red_exterior_rate_sInv,blue_exterior_rate_sInv,capture_fraction,recoil_increment_M1_x,recoil_increment_standard_error_x,minimum_scalar_target_rate_sInv,Qgamma_0,Qgamma_x,Qgamma_y,Qgamma_z
0,-4.0,2.7591319705754733e-05,2.7591319705754716e-05,1.6940658945086007e-20,9.631678860145645e-18,1.998241110307324e-05,7.6087168018572735e-06,1.9180082421894996e-10,0.7242281745191587,-0.0004628634633423653,1.4877193463193246e-08,6.3373764436366096e-09,1.0713391042437507e-36,-9.183642786613807e-37,2.300906608196389e-36,-1.503805727407064e-31
1,-3.5,4.343668564411247e-05,4.34366856441125e-05,-2.710505431213761e-20,5.894155560570449e-17,3.8926191812844335e-05,4.510298616444476e-06,1.952148236550872e-10,0.8961593463133046,-0.00046282393947533635,5.782947934662161e-08,1.3010805790977187e-08,4.2328772646533636e-36,-2.532317811026197e-35,1.0153675847249474e-35,-2.36712126690039e-31
2,-3.0,0.00019313282787561587,0.00019313282787561595,-8.131516293641283e-20,8.81282076175315e-17,0.00019055621144197307,2.576443187322259e-06,1.7324632061182584e-10,0.9866588375369193,-0.00046284079181787863,1.944595672782924e-08,1.1856474268535948e-08,5.409949049912634e-35,-3.061723913201563e-35,-5.617905715319096e-36,-1.0524205802429326e-30
3,-2.5,0.0020405173785215136,0.0020405173785215144,-8.673617379884035e-19,1.8302741089208733e-16,0.002039126770257545,1.3905508205741454e-06,5.7443395607590034e-11,0.9993185021217628,-0.00046288306446371044,3.822376784553789e-09,1.0944740500912395e-08,6.062545639459494e-34,4.1849257664588793e-35,-1.4366983922738796e-34,-1.1119985789512816e-29
4,-2.0,0.017134683840938306,0.01713468384093831,-3.469446951953614e-18,1.3243890309287997e-15,0.017133984781439095,6.989181594740855e-07,1.4133974530090466e-10,0.9999592020777447,-0.00046292568123380075,3.294204948861197e-09,1.0760990178168705e-08,4.1840647269763577e-33,1.162531857907845e-33,-9.505930352129544e-34,-9.3387095893586e-29
5,-1.5,0.09143675331225914,0.09143675331225913,1.3877787807814457e-17,5.875863739373434e-15,0.09143642827784604,3.2443440753168893e-07,6.000055784036703e-10,0.9999964452542185,-0.0004629471868341264,2.738588250816192e-09,1.2284608608014796e-08,1.6803944402468047e-32,7.951256718042325e-34,-2.7809642573551913e-33,-4.983796589553051e-28
6,-1.0,0.3029355977829928,0.30293559778299295,-1.6653345369377348e-16,2.7700320723536836e-14,0.3029354567612256,1.390751388446946e-07,1.94662836506527e-09,0.9999995344826813,-0.00046294853135456286,3.896870560231586e-09,1.8078580875963448e-08,3.712115463666231e-32,-1.2921978982021248e-32,-3.4996189974925267e-32,-1.6512006172165753e-27
7,-0.5,0.6215640639503982,0.6215640639503978,4.440892098500626e-16,6.569417164289618e-14,0.6215640028450041,5.39025069825809e-08,7.202887212021247e-09,0.9999999016909155,-0.0004629375219831454,4.504149604770779e-09,3.425734459392708e-08,3.805729554953814e-32,3.593423659315323e-32,-3.262880729169255e-32,-3.387925766586377e-27
8,0.0,0.7897985615081973,0.7897985615081984,-1.1102230246251565e-15,1.3078634234012505e-13,0.7897985220552534,1.9797342961264074e-08,1.965560085496282e-08,0.9999999500468273,-0.0004629238813195271,7.056145573343862e-09,7.389076029455981e-08,-4.296287064155657e-35,1.2117956323395466e-31,-6.294625196243895e-32,-4.304872698138443e-27
9,0.5,0.6215640639506184,0.6215640639506188,-4.440892098500626e-16,8.12043687019861e-14,0.6215640029788478,7.202887183680361e-09,5.376888340219596e-08,0.999999901905895,-0.00046290364939910325,5.566640035760764e-09,3.448754234437322e-08,-3.812188125597667e-32,-9.735988370571273e-32,9.84249624566142e-34,-3.387814899619177e-27
10,1.0,0.30293559778311707,0.30293559778311696,1.1102230246251565e-16,3.2497092393904516e-14,0.3029354575359811,1.94662837793492e-09,1.383005076348864e-07,0.9999995370397636,-0.0004628936186478129,4.570634371563926e-09,1.807858085252018e-08,-3.715411361986208e-32,5.003634050891644e-32,-1.457257101413852e-32,-1.651138342648938e-27
11,1.5,0.09143675331225232,0.09143675331225239,-6.938893903907228e-17,7.969399377117839e-15,0.09143642884308538,6.000056020627361e-10,3.238691613318207e-07,0.9999964514360453,-0.00046289415641611177,3.7129220600921422e-09,1.2284608606011712e-08,-1.6813696221771213e-32,-7.412788336070154e-33,-1.3201848283728123e-33,-4.983829922037408e-28
12,2.0,0.01713468384091089,0.017134683840910908,-1.734723475976807e-17,2.1447674864332916e-15,0.01713398620482495,1.4133974706400187e-10,6.974947462013811e-07,0.9999592851497922,-0.00046291930018327955,5.332099093423233e-09,1.0760989808796165e-08,-4.186525415074331e-33,-2.4673421432860388e-33,-5.011885047267043e-34,-9.34008149150769e-29
13,2.5,0.0020405173785128096,0.0020405173785128096,0.0,2.8412918770239823e-16,0.002039129904873902,5.744339478711497e-11,1.3874161955133763e-06,0.9993200383130681,-0.0004629749025644308,5.9309003903604706e-09,1.0944740699219568e-08,-6.066989372265239e-34,-2.3895932530037228e-34,-8.576098451004372e-35,-1.1124330591306341e-29
