physics_orbit_id,x_i,x_j,mu,float64_total,mp90_total,relative_residual
1971,4.0,4.0,0.816496580927726,5411831.573607491,5411831.573607481304457726303645836307140606719760990191,1.7915454577300134e-15
1958,3.5,4.0,0.816496580927726,6281637.868982551,6281637.868982542001287729737412776341227648261124335363,1.4325423492965759e-15
1946,3.5,3.5,0.816496580927726,7556639.6019739285,7556639.601973909902824395306433384395298310073333618698,2.461037787197857e-15
1933,3.0,4.0,0.816496580927726,7557066.942509824,7557066.942509822182292197519223955712394872081157052478,2.405308589045112e-16
1920,3.0,3.5,0.816496580927726,10238309.856669448,10238309.85666943198530191042167053433360957466336249933,1.564193535239222e-15
1895,2.5,4.0,0.816496580927726,10240524.627918405,10240524.62791839189769927497364610590031371507971352338,1.2794560045591804e-15
0,-4.0,-4.0,-1.0,4915862.229417995,4915862.229417995171828197895656330554417519694702286083,-3.495382699445579e-17
1,-4.0,-4.0,-0.816496580927726,4958658.796143514,4958658.79614351459703401462875850375979347767723736872,-1.204023182827357e-16
2,-4.0,-4.0,-0.7071067811865475,4984777.298787786,4984777.298787786783695585940109241143010327211674272302,-1.5721777302482315e-16
3,-4.0,-4.0,-0.5773502691896258,5016375.624649693,5016375.624649695614356409347683260572482079718354518442,-5.211644033395624e-16
4,-4.0,-4.0,-0.5,5035542.744576708,5035542.744576709002111274332631221148627759656476519966,-1.9900759961017257e-16
1960,4.0,4.0,-1.0,4912664.688344983,4912664.688344982933430717246785469535869612475606489198,1.3550544760595275e-17
1961,4.0,4.0,-0.816496580927726,4955647.324227466,4955647.32422746618467470521757390544219286372413107214,-3.726550602475788e-17
1962,4.0,4.0,-0.7071067811865475,4981879.950859298,4981879.950859298044213985000440725184851659944162152595,-8.874959942142823e-18
1963,4.0,4.0,-0.5773502691896258,5013616.918157902,5013616.918157903172266645884995658768849621965298181524,-2.3381655699289216e-16
1964,4.0,4.0,-0.5,5032868.4418258285,5032868.441825730325852519691148691841425701796720744578,1.9506599191910342e-14
