physics_orbit_id,x_i,x_j,mu,analytic_total,direct_total,relative_residual,pole_location_z,pole_width_z
0,-4.0,-4.0,-1.0,4915862.229417995,4915862.229417994,2.220446049250313e-16,,inf
1,-4.0,-4.0,-0.816496580927726,4958658.796143514,4958658.796143514,0.0,-18.675103902357204,0.004022309483056293
2,-4.0,-4.0,-0.7071067811865475,4984777.298787786,4984777.2987877885,-5.551115123125783e-16,-14.781999981436847,0.003183778933171438
3,-4.0,-4.0,-0.5773502691896258,5016375.624649693,5016375.624649693,0.0,-12.305544010367836,0.0026503746242378867
4,-4.0,-4.0,-0.5,5035542.744576708,5035542.74457671,-3.3306690738754696e-16,-11.313788553624327,0.002436758900075422
5,-4.0,-4.0,-0.3333333333333333,5077721.6386934295,5077721.638693386,8.659739592076221e-15,-9.798122784755876,0.002110295110363143
6,-4.0,-4.0,0.0,5165968.500596662,5165968.500596653,1.7763568394002505e-15,-8.000288045432649,0.0017230487423600042
7,-4.0,-4.0,0.3333333333333333,5260063.375306346,5260063.375306321,4.884981308350689e-15,-6.9285863058759585,0.0014922039828425924
8,-4.0,-4.0,0.5,5309697.632585068,5309697.632585046,4.218847493575595e-15,-6.532396804075919,0.0014068634069087618
9,-4.0,-4.0,0.5773502691896258,5333495.525738574,5333495.525738562,1.9984014443252818e-15,-6.3702438699033666,0.0013719348588184033
12,-4.0,-3.5,-1.0,5593207.891270431,5593207.891270433,-3.3306690738754696e-16,,inf
25,-4.0,-3.0,-1.0,6420833.381310403,6420833.381310398,8.881784197001252e-16,,inf
38,-4.0,-2.5,-1.0,7446719.246817286,7446719.246817287,-1.1102230246251565e-16,,inf
51,-4.0,-2.0,-1.0,8739642.81892411,8739642.818924114,-4.440892098500626e-16,,inf
61,-4.0,-2.0,0.7071067811865475,15074446.404409267,15074446.404408902,2.4202861936828413e-14,-4.592666028028281,0.0013187334653786912
64,-4.0,-1.5,-1.0,10401013.23211418,10401013.23211418,0.0,,inf
77,-4.0,-1.0,-1.0,12585379.64261117,12585379.642611174,-3.3306690738754696e-16,,inf
90,-4.0,-0.5,-1.0,15537717.25034296,15537717.250342961,-1.1102230246251565e-16,,inf
179,-4.0,2.5,0.816496580927726,90951238863.37915,90951238863.37868,5.10702591327572e-15,-1.1169114803360347,0.0012783422993143377
199,-4.0,3.5,-0.3333333333333333,231925159187.7665,231925159187.76642,4.440892098500626e-16,-0.6128326737101399,0.00211010941174333
437,-3.0,-3.0,0.7071067811865475,15081031.481943863,15081031.481943868,-3.3306690738754696e-16,-4.592420682327816,0.0013187334625353985
443,-3.0,-2.5,-0.5,10964632.433312058,10964632.433312003,5.10702591327572e-15,-7.777700077010279,0.002436687412683949
466,-3.0,-1.5,-0.816496580927726,15980898.016236052,15980898.016235948,6.439293542825908e-15,-10.50352351468602,0.004022144282135177
663,-2.5,-1.0,-0.5,31352911.720554516,31352911.720554437,2.4424906541753444e-15,-4.94901850695819,0.0024366302264953077
752,-2.5,2.5,-0.7071067811865475,421681376265.8664,421681376265.8666,-4.440892098500626e-16,0.0008251542124900205,0.0031834800750600335
866,-2.0,0.5,-1.0,139944792.20716745,139944792.2071675,-4.440892098500626e-16,,inf
1070,-1.5,2.0,0.7071067811865475,162627137208.37466,162627137208.3745,8.881784197001252e-16,0.38203373089507053,0.0013186328899325282
1242,-1.0,3.5,-0.816496580927726,55585939.54669821,55585939.54669794,4.884981308350689e-15,5.837216628361607,0.004021813928852142
1272,-0.5,-0.5,-0.3333333333333333,132453055610.21709,132453055610.21715,-4.440892098500626e-16,-1.2240032866217778,0.0021101217715675056
1430,0.0,1.0,0.5773502691896258,132573005231.71101,132573005231.71158,-4.218847493575595e-15,0.7963274367471044,0.0013717899753854725
1436,0.0,1.5,-0.7071067811865475,9272761842.642138,9272761842.642193,-5.995204332975845e-15,2.7729928425193675,0.003183424032352363
1568,0.5,2.5,-0.3333333333333333,376214864.5447272,376214864.54472893,-4.551914400963142e-15,3.674774970186594,0.002110022735064196
1579,0.5,3.0,-0.5773502691896258,29128191.376173,29128191.376172967,1.1102230246251565e-15,5.384420516722838,0.0026500169945405023
1635,1.0,1.5,0.5,23313162082.37878,23313162082.37896,-7.66053886991358e-15,2.041360952247881,0.001406690075352868
1686,1.0,3.5,0.3333333333333333,120504651.05553216,120504651.05553415,-1.6542323066914832e-14,3.896985253482205,0.0014919851262531279
1841,2.0,4.0,0.5,11324702.12540143,11324702.12540142,8.881784197001252e-16,4.898670253983147,0.0014066323094334952
1844,2.0,4.0,0.816496580927726,19105671.28497952,19105671.284978017,7.860379014346108e-14,4.4511527720979425,0.0012782297657957422
1869,2.5,3.0,0.816496580927726,54495477.87339463,54495477.87339136,5.995204332975845e-14,4.080576712967691,0.0012782372608177851
1882,2.5,3.5,0.816496580927726,19093222.771155547,19093222.771155365,9.547918011776346e-15,4.45143738947291,0.0012782297626548888
1895,2.5,4.0,0.816496580927726,10240524.627918405,10240524.627918513,-1.0547118733938987e-14,4.822246280361716,0.0012782222651034176
1908,3.0,3.0,0.816496580927726,19089076.235306364,19089076.235307056,-3.630429290524262e-14,4.451532261922894,0.0012782297616079378
1920,3.0,3.5,0.816496580927726,10238309.856669448,10238309.856669161,2.7977620220553945e-14,4.82243602244042,0.0012782222630095526
1933,3.0,4.0,0.816496580927726,7557066.942509824,7557066.942509855,-4.107825191113079e-15,5.19328799670951,0.0012782147650226006
1946,3.5,3.5,0.816496580927726,7556639.6019739285,7556639.601973907,2.886579864025407e-15,5.193382866338417,0.0012782147639756865
1947,3.5,4.0,-1.0,5589471.601146579,5589471.601146577,4.440892098500626e-16,,inf
1958,3.5,4.0,0.816496580927726,6281637.868982551,6281637.868982542,1.3322676295501878e-15,5.564277923356055,0.00127820726555326
1960,4.0,4.0,-1.0,4912664.688344983,4912664.688344984,-2.220446049250313e-16,,inf
1961,4.0,4.0,-0.816496580927726,4955647.324227466,4955647.324227467,-2.220446049250313e-16,18.675523680049604,0.0040215543836217855
1962,4.0,4.0,-0.7071067811865475,4981879.950859298,4981879.950859299,-2.220446049250313e-16,14.782145111790127,0.003183181249258218
1963,4.0,4.0,-0.5773502691896258,5013616.918157902,5013616.9181579035,-3.3306690738754696e-16,12.305480037427985,0.002649877075158574
1964,4.0,4.0,-0.5,5032868.4418258285,5032868.441825731,1.9539925233402755e-14,11.313628459351253,0.002436301452612657
1965,4.0,4.0,-0.3333333333333333,5075233.886069393,5075233.886069365,5.551115123125783e-15,9.797795152764532,0.0021098989492394924
1966,4.0,4.0,0.0,5163874.664515352,5163874.664515331,3.9968028886505635e-15,7.999711921722686,0.001722725278157047
1967,4.0,4.0,0.3333333333333333,5258394.978418954,5258394.978418926,5.329070518200751e-15,6.92782010114167,0.0014919238546256162
1968,4.0,4.0,0.5,5308255.99967321,5308255.999673184,4.884981308350689e-15,6.5315484284688266,0.001406599299492995
1969,4.0,4.0,0.5773502691896258,5332163.310190262,5332163.310190246,2.886579864025407e-15,6.369359536281782,0.001371677308463206
1971,4.0,4.0,0.816496580927726,5411831.573607491,5411831.573607482,1.7763568394002505e-15,5.935216062490438,0.001278199766695369
