source_cell,x_source,offdiagonal_rate_s^-1,M1_exact,M1_Hummer,M1_difference,M2_exact,M2_Hummer,M2_relative_difference
0,-4.0,1.3221847145020117e-05,1.1841440554772669,1.1845162557382918,-0.0003722002610249131,2.1542877588362352,2.1558666608930483,-0.0007323746340411885
1,-3.5,2.9568984655357916e-05,1.3700763671795086,1.3711828944207123,-0.0011065272412036364,4.825023650378524,4.830263289708896,-0.0010847523242750734
2,-3.0,0.0001691605362792993,2.6201695262933415,2.6208956171808957,-0.0007260908875541539,10.755965319352264,10.759830702003363,-0.00035924195818248794
3,-2.5,0.0018698221730553929,2.633781016410734,2.6341123334584,-0.0003313170476659799,9.340296423971964,9.342546707434154,-0.00024086403126033495
4,-2.0,0.015452418323542307,2.201365647576611,2.2017113177033667,-0.00034567012675568165,6.388047802436443,6.390085876954975,-0.00031894321262293523
5,-1.5,0.07990230147882882,1.7116778361414247,1.7120680527854386,-0.00039021664401395206,3.8894945924099655,3.891228017035533,-0.0004454698151787895
6,-1.0,0.25172407891870524,1.2012508795286052,1.2016849146049549,-0.0004340350763496481,2.0391039003287594,2.0403807365365543,-0.0006257833084437614
7,-0.5,0.46851545004287326,0.662066973596595,0.6625540767514491,-0.00048710315485400724,0.8891494483403048,0.8898258855252665,-0.0007601905001475284
8,0.0,0.4788453093524939,-0.0007269159221971979,5.696460129472406e-17,-0.0007269159221972548,0.542874204453637,0.5428741071671188,1.7920640704716106e-07
9,0.5,0.4686437071176249,-0.6630410684888628,-0.662554076751449,-0.0004869917374138444,0.8905028906580014,0.8898258855252666,0.0007608287685798576
10,1.0,0.2517693147885093,-1.2021188321940575,-1.2016849146049555,-0.0004339175891019398,2.041657753232974,2.040380736536554,0.000625871766750663
11,1.5,0.07992748768632804,-1.712458130521248,-1.7120680527854393,-0.00039007773580879146,3.8929612104880156,3.891228017035534,0.00044541040640488916
12,2.0,0.015462602539829732,-2.202056836367736,-2.2017113177033676,-0.0003455186643686048,6.392123328522191,6.390085876954976,0.0003188457254639232
13,2.5,0.0018721256580396038,-2.6344434811766626,-2.6341123334583996,-0.00033114771826303624,9.344796072994352,9.342546707434154,0.00024076578160525663
14,3.0,0.00016945455629552333,-2.6216213546846294,-2.6208956171808957,-0.0007257375037337255,10.763694940711977,10.759830702003365,0.0003591356421521752
15,3.5,2.9596695332403173e-05,-1.3722901216417822,-1.371182894420712,-0.0011072272210701506,4.835508055132951,4.830263289708898,0.0010858135694644666
16,4.0,1.3231183452840165e-05,-1.1848887568075923,-1.1845162557382913,-0.0003725010693009789,2.1574475164161195,2.1558666608930475,0.0007332807504973893
