target_i,source_j,x_i,x_j,conductance_m^-3_s^-1,K_i_from_j_s^-1,K_j_from_i_s^-1,pair_balance_relative,relative_to_Hummer_i_from_j,relative_to_v033_i_from_j
0,1,-4.0,-3.5,6.4124462650938184e-06,5.293415332272239e-06,5.291089653464611e-06,0.0,0.0004266581768748168,0.0002068637124421624
0,2,-4.0,-3.0,4.03238239695225e-06,3.330157646091755e-06,3.3272320573612983e-06,0.0,0.0006259247616484664,0.00018629645168943831
0,3,-4.0,-2.5,2.484008877190453e-06,2.052329450469211e-06,2.0496255447412095e-06,0.0,0.0008165532718500401,0.00015705741358473801
0,4,-4.0,-2.0,1.4576106071019094e-06,1.2048314753221347e-06,1.2027154822332606e-06,0.0,0.0009959213828281133,0.00011653232503516797
0,5,-4.0,-1.5,8.008953461126126e-07,6.622948922795849e-07,6.608412615310085e-07,0.0,0.0011657198815326897,6.641750090397025e-05
0,6,-4.0,-1.0,4.093871971862903e-07,3.386887285029722e-07,3.377968833960382e-07,0.0,0.0013285761230759086,9.343175049858488e-06
0,7,-4.0,-0.5,1.9561372426503706e-07,1.6190365748264516e-07,1.6140638217406942e-07,0.0,0.0014860660035707074,-5.311258051321488e-05
0,8,-4.0,0.0,8.938265721447532e-08,7.401188255985992e-08,7.375214282279293e-08,-7.403499858530207e-17,0.0016391905612633817,-0.000119946970551843
0,9,-4.0,0.5,4.1428046061505623e-08,3.431891045489089e-08,3.4183445259027164e-08,0.0,0.001797144838365572,-0.00018198020448678687
0,10,-4.0,1.0,2.1857619344715116e-08,1.8114766950626184e-08,1.8035336092207868e-08,0.0,0.002001588210629235,-0.00019764752923445705
0,11,-4.0,1.5,1.485063887289909e-08,1.231305677303485e-08,1.2253679553693088e-08,0.0,0.0023157509106337404,-0.00010390191105580371
0,12,-4.0,2.0,1.300838788073827e-08,1.0790338638864115e-08,1.0733586478329996e-08,0.0,0.002727295920842421,8.687999890311104e-05
0,13,-4.0,2.5,1.3230522447962113e-08,1.097942110819247e-08,1.0916875953473492e-08,0.0,0.003168663917657799,0.00030726758981614033
0,14,-4.0,3.0,1.433262920636219e-08,1.1899238414535986e-08,1.1826255217690804e-08,-5.771311045888538e-17,0.0036067959947345685,0.0005242839639085783
0,15,-4.0,3.5,1.5876492427236044e-08,1.3186778564147504e-08,1.3100140155923606e-08,0.0,0.004034673553015677,0.0007309357670175487
0,16,-4.0,4.0,7.68173878105868e-09,6.38314250249878e-09,6.338418585482334e-09,0.0,0.00352119484591773,-6.042738268652315e-07
1,2,-3.5,-3.0,9.414209617249478e-06,7.774759200042487e-06,7.771343332799696e-06,0.0,0.00030680999312204804,8.70417377463184e-05
1,3,-3.5,-2.5,6.197956686470098e-06,5.120854904014043e-06,5.116356160598571e-06,6.833162847873244e-17,0.000502543434738767,6.296905736857816e-05
1,4,-3.5,-2.0,4.061652775306809e-06,3.357280114233559e-06,3.3528569576029957e-06,0.0,0.0006909042129101817,3.149076287445318e-05
1,5,-3.5,-1.5,2.6084960061193696e-06,2.157077812687953e-06,2.1532894284239514e-06,1.6236040715937722e-16,0.0008703183353810928,-8.960929136270224e-06
1,6,-3.5,-1.0,1.6493302758261807e-06,1.3645018159833467e-06,1.3615069521227982e-06,1.2839043817800615e-16,0.001049330242721469,-4.984502739180385e-05
1,7,-3.5,-0.5,1.0575082599640696e-06,8.752681119363196e-07,8.729633287954644e-07,0.0,0.001250765943858534,-6.836530140630348e-05
1,8,-3.5,0.0,7.24827741299936e-07,6.00182041315858e-07,5.98338624674183e-07,7.303743522350535e-17,0.0015131339831782054,-2.608716472440875e-05
1,9,-3.5,0.5,5.607674045085634e-07,4.645385957324472e-07,4.6290832767246727e-07,0.0,0.0018677904049595462,0.00010825030650862821
1,10,-3.5,1.0,4.986882446919168e-07,4.132939269891315e-07,4.11662553001916e-07,0.0,0.0023007756003301516,0.0003206543665661421
1,11,-3.5,1.5,4.959752518542911e-07,4.112261759490191e-07,4.094230024015146e-07,0.0,0.0027652425335651376,0.000564329321908863
1,12,-3.5,2.0,5.286512838893154e-07,4.3851139951649885e-07,4.363967658954198e-07,0.0,0.0032275739205651632,0.0008057183936691636
1,13,-3.5,2.5,5.845556844449061e-07,4.850967182854423e-07,4.825453336664003e-07,0.0,0.0036775835467968143,0.001034663641571898
1,14,-3.5,3.0,6.57389160253964e-07,5.457777659887539e-07,5.426686971398726e-07,0.0,0.004112701485443182,0.0012486106472830993
1,15,-3.5,3.5,3.515833861950785e-07,2.9201993335972543e-07,2.902288471699172e-07,0.0,0.0030796379145010544,-1.2569119898220293e-06
1,16,-3.5,4.0,1.5846344115858704e-08,1.3167523072324382e-08,1.3081011120507409e-08,0.0,0.002568570110640822,-0.000730345558270451
2,3,-3.0,-2.5,2.9754164944069427e-05,2.4583385973201694e-05,2.45725851711036e-05,0.0,-0.00016022165078433126,-0.00037988745257544476
2,4,-3.0,-2.0,2.3202131065590593e-05,1.917841271610518e-05,1.916156419889622e-05,0.0,0.00012514941329588858,-0.00031425942209273305
2,5,-3.0,-1.5,1.8565977715205207e-05,1.5353007444281072e-05,1.5332780118321672e-05,9.124571409569186e-17,0.0004416584915867272,-0.0002175911449658896
2,6,-3.0,-1.0,1.5308797266828402e-05,1.2665068953908951e-05,1.2642825816601456e-05,0.0,0.0007941511996927275,-8.50617171129775e-05
2,7,-3.0,-0.5,1.3183853085994023e-05,1.0911882805545062e-05,1.0887932948139312e-05,0.0,0.0011907570196825201,9.142577045762046e-05
2,8,-3.0,0.0,1.2034087087590157e-05,9.964633722005842e-06,9.938394522990222e-06,-7.038614072585375e-17,0.0016314774381269714,0.0003118437699878296
2,9,-3.0,0.5,1.1724000773721019e-05,9.712138779826884e-06,9.682308614605093e-06,0.0,0.002102858727965895,0.0005627302697535086
2,10,-3.0,1.0,1.2134266141195854e-05,1.0056420134234975e-05,1.0021127758210025e-05,0.0,0.0025846216966622926,0.000823821546650727
2,11,-3.0,1.5,1.317058447565563e-05,1.0920079315829521e-05,1.0876975018106482e-05,0.0,0.003060676541803753,0.0010790528163855395
2,12,-3.0,2.0,1.476561611982554e-05,1.2247943373544766e-05,1.219423769379057e-05,0.0,0.003523563729483259,0.0013209847346855597
2,13,-3.0,2.5,1.6862164013609855e-05,1.3993158639729149e-05,1.3925679385471498e-05,0.0,0.003968912511741696,0.001545265813781116
2,14,-3.0,3.0,1.000913218115418e-05,8.309783810864916e-06,8.266078159900356e-06,0.0,0.0026383257329294363,-1.8592144189755189e-06
