exterior_index,side,exterior_left,exterior_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
0,red,-10.25,-8.25,0,-4.25,-3.75,3.071197463895159e-09,-2.411121577182372e-09,1.4661801320027192e-09,-1.785249039484595e-39,-2.9877408388666086e-35
0,red,-10.25,-8.25,1,-3.75,-3.25,8.687309040611867e-10,-7.04469851918619e-10,4.588461357908901e-10,-5.575149524560197e-40,-8.573641098057731e-36
0,red,-10.25,-8.25,2,-3.25,-2.75,2.2084082043327994e-10,-1.838708282022433e-10,1.2659014226765286e-10,-1.5514778633330153e-40,-2.205613362851804e-36
0,red,-10.25,-8.25,3,-2.75,-2.25,5.039881902841086e-11,-4.288693489157877e-11,3.09007190319944e-11,-3.848351146701652e-41,-5.083952981169211e-37
0,red,-10.25,-8.25,4,-2.25,-1.75,1.0316944537388643e-11,-8.940889838484106e-12,6.690341004311578e-12,-8.51014294362593e-42,-1.0495331533058643e-37
0,red,-10.25,-8.25,5,-1.75,-1.25,1.893246049217008e-12,-1.6662295727387405e-12,1.2870869995306952e-12,-1.678130388841903e-42,-1.939890646822781e-38
0,red,-10.25,-8.25,6,-1.25,-0.75,3.1131935169116976e-13,-2.776155470517378e-13,2.203087250594659e-13,-2.95154302231771e-43,-3.209674750310926e-39
0,red,-10.25,-8.25,7,-0.75,-0.25,4.586108020302051e-14,-4.136050849206228e-14,3.358896058955646e-14,-4.6317115891315385e-44,-4.753573751900633e-40
0,red,-10.25,-8.25,8,-0.25,0.25,6.051960184189681e-15,-5.51159559066225e-15,4.565890997816114e-15,-6.487477488696897e-45,-6.302170528749242e-41
0,red,-10.25,-8.25,9,0.25,0.75,7.155154128984305e-16,-6.571848801609878e-16,5.538953946362059e-16,-8.114780454997738e-46,-7.481298527702487e-42
0,red,-10.25,-8.25,10,0.75,1.25,7.581629987893214e-17,-7.01544694257708e-17,6.002496368699052e-17,-9.070593979422165e-47,-7.955539991563931e-43
0,red,-10.25,-8.25,11,1.25,1.75,7.204150883457409e-18,-6.709786455149929e-18,5.817254334548067e-18,-9.068393655441188e-48,-7.583266492577887e-44
0,red,-10.25,-8.25,12,1.75,2.25,6.1441799275527e-19,-5.755599091376795e-19,5.048379643343395e-19,-8.118018759218917e-49,-6.485562988659715e-45
0,red,-10.25,-8.25,13,2.25,2.75,4.70924277349618e-20,-4.433982768699639e-20,3.929407222754516e-20,-6.51675306229003e-50,-4.9832276706458945e-46
0,red,-10.25,-8.25,14,2.75,3.25,3.2493667264223678e-21,-3.0733576555494438e-21,2.7486484117960446e-21,-4.700114089351791e-51,-3.446022114642637e-47
0,red,-10.25,-8.25,15,3.25,3.75,2.0232260637723379e-22,-1.92140097603261e-22,1.7324712460816294e-22,-3.053439572333353e-52,-2.149919862832647e-48
0,red,-10.25,-8.25,16,3.75,4.25,1.1405756503927503e-23,-1.0871050293660835e-23,9.873828939262357e-24,-1.7929668506905132e-53,-1.2141484242298011e-49
1,red,-8.25,-7.0,0,-4.25,-3.75,6.525114236169968e-08,-4.4938499197386045e-08,2.051316356963869e-08,-2.775335911240283e-38,-6.005180043011867e-34
1,red,-8.25,-7.0,1,-3.75,-3.25,2.4575186367182304e-08,-1.8007969070015685e-08,9.42906980496407e-09,-1.1949421671656327e-38,-2.3207353008477322e-34
1,red,-8.25,-7.0,2,-3.25,-2.75,8.351931855371345e-09,-6.41563495307087e-09,3.7216051594643024e-09,-4.570652522035364e-39,-8.0482084725346e-35
1,red,-8.25,-7.0,3,-2.75,-2.25,2.556942278429599e-09,-2.038178399793672e-09,1.279788256203894e-09,-1.5556583001608715e-39,-2.504319282208201e-35
1,red,-8.25,-7.0,4,-2.25,-1.75,7.044166518814965e-10,-5.78432667933249e-10,3.8677767980901484e-10,-4.717443808746578e-40,-6.991509078247534e-36
1,red,-8.25,-7.0,5,-1.75,-1.25,1.745114322424153e-10,-1.4682319227630272e-10,1.033058798175049e-10,-1.275900891392237e-40,-1.751278850258713e-36
1,red,-8.25,-7.0,6,-1.25,-0.75,3.886435741097512e-11,-3.336331662065534e-11,2.447961938791019e-11,-3.0807802051715657e-41,-3.936442469233705e-37
1,red,-8.25,-7.0,7,-0.75,-0.25,7.780005796754188e-12,-6.7926043425334235e-12,5.161183299059071e-12,-6.647317736524999e-42,-7.942187333291669e-38
1,red,-8.25,-7.0,8,-0.25,0.25,1.4002177080955502e-12,-1.2401358244417397e-12,9.70450340280541e-13,-1.2829501155979258e-42,-1.4390217657789043e-38
1,red,-8.25,-7.0,9,0.25,0.75,2.2668109749202383e-13,-2.0323572297851036e-13,1.6307351834365398e-13,-2.2174260455637755e-43,-2.343107540956716e-39
1,red,-8.25,-7.0,10,0.75,1.25,3.3037724310242135e-14,-2.993397045578068e-14,2.4539986486406603e-14,-3.4368925617045143e-44,-3.4320663119157374e-40
1,red,-8.25,-7.0,11,1.25,1.75,4.3405375398150135e-15,-3.968748851580726e-15,3.314467600032667e-15,-4.785361577997999e-45,-4.528730973372112e-41
1,red,-8.25,-7.0,12,1.75,2.25,5.150283485972553e-16,-4.746618428957791e-16,4.028410039048018e-16,-5.998897878886799e-46,-5.394045045137682e-42
