exterior_index,side,x_left,x_right,equilibrium_weight_m^-3,reverse_total_rate_s^-1
0,red,-10.25,-8.25,4.870152785819908,8.672709903261229e-10
1,red,-8.25,-7.0,3.039501126104616,3.344708093385915e-08
2,red,-7.0,-6.0,2.4291977809552994,3.371226654943435e-07
3,red,-6.0,-5.25,1.8204977455603606,1.5969841322487737e-06
4,red,-5.25,-4.75,1.2129986548918907,4.391392643080866e-06
5,red,-4.75,-4.25,1.2124657207552734,9.761291559941307e-06
6,blue,4.25,4.75,1.2029127891059372,9.76763842479221e-06
7,blue,4.75,5.25,1.2023842799297852,4.396345453775434e-06
8,blue,5.25,6.0,1.8025859723854862,1.5999265091647272e-06
9,blue,6.0,7.0,2.4016003443676484,3.381433219303338e-07
10,blue,7.0,8.25,2.999033647949522,3.361130408865318e-08
11,blue,8.25,10.25,4.79160579189044,8.744506320456283e-10
