state,comparison,common_mode_relative,reference_tail_relative,release
finite_tilt_beta0p3,L12_vs_L24,2.169774211087047e-14,6.1101175879015265e-09,12
finite_tilt_beta0p3,L20_vs_L24,5.441968934493874e-15,3.5935826711933144e-15,12
nonlinear_even_shear,L12_vs_L24,4.862277094818139e-07,0.00043441893207592306,20
nonlinear_even_shear,L20_vs_L24,2.938777462502725e-09,3.4099882234302834e-07,20
mixed_tilt_shear,L12_vs_L24,5.809506630785747e-11,3.4538060774113156e-06,12
mixed_tilt_shear,L20_vs_L24,2.7905782881945287e-14,2.1664704679823172e-11,12
red_blue_crossing,L12_vs_L24,4.272873665467841e-06,0.0024351679429682424,24
red_blue_crossing,L20_vs_L24,1.4740042059747425e-07,4.350083619532238e-05,24
high_occupation_stress,L12_vs_L24,8.67868023484039e-15,1.5362529590086735e-14,12
high_occupation_stress,L20_vs_L24,2.4174038450713218e-14,1.0715532548593447e-14,12
