far_index,side,far_left,far_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
0,red,-21.25,-16.25,0,-4.25,-3.75,5.433655668541067e-25,-5.180685193183271e-25,4.708676312650811e-25,-8.54337906535577e-55,-5.784026174979952e-51
0,red,-21.25,-16.25,1,-3.75,-3.25,2.3053343380958203e-26,-2.2052311866667433e-26,2.0175783200462269e-26,-3.7695573729956e-56,-2.457936898073249e-52
0,red,-21.25,-16.25,2,-3.25,-2.75,8.681797937865115e-28,-8.329461561055262e-28,7.666175691155319e-28,-1.4742055647839688e-57,-9.269978293546737e-54
0,red,-21.25,-16.25,3,-2.75,-2.25,2.901621397580273e-29,-2.7913470321943374e-29,2.582953103769773e-29,-5.1097314731215395e-59,-3.1022981852729082e-55
0,red,-21.25,-16.25,4,-2.25,-1.75,8.605163460752864e-31,-8.29834029000383e-31,7.7164825389367614e-31,-1.569574685395761e-60,-9.211365486964831e-57
0,red,-21.25,-16.25,5,-1.75,-1.25,2.2641585918578056e-32,-2.1882833264491742e-32,2.0439339746040563e-32,-4.272553300378456e-62,-2.426319904318796e-58
0,red,-21.25,-16.25,6,-1.25,-0.75,5.2848848411736614e-34,-5.11815054845581e-34,4.800018207713626e-34,-1.0306199077637966e-63,-5.669077485622372e-60
0,red,-21.25,-16.25,7,-0.75,-0.25,1.0942236022049193e-35,-1.0616708206924233e-35,9.993928798310282e-36,-2.2029535802698454e-65,-1.1748497429503952e-61
0,red,-21.25,-16.25,8,-0.25,0.25,2.009502113653654e-37,-1.9530439353991552e-37,1.8447654290450886e-37,-4.172579803620497e-67,-2.1593929563651204e-63
0,red,-21.25,-16.25,9,0.25,0.75,3.2731180465166773e-39,-3.186144058049789e-39,3.018961995183164e-39,-7.003253265623649e-69,-3.520001009090253e-65
0,red,-21.25,-16.25,10,0.75,1.25,4.728394470707301e-41,-4.609397796349615e-41,4.3801822255280673e-41,-1.0416007042371592e-70,-5.08869722569059e-67
0,red,-21.25,-16.25,11,1.25,1.75,6.058174883260466e-43,-5.913586527950234e-43,5.6345358046522745e-43,-1.3728614632448158e-72,-6.524135617647028e-69
0,red,-21.25,-16.25,12,1.75,2.25,6.884188735013994e-45,-6.728173789622142e-45,6.426529788685352e-45,-1.6036214179000144e-74,-7.418241345561303e-71
0,red,-21.25,-16.25,13,2.25,2.75,6.938464763152791e-47,-6.788969866176411e-47,6.499450623136336e-47,-1.6602017898887356e-76,-7.480994953070785e-73
0,red,-21.25,-16.25,14,2.75,3.25,6.202990688603064e-49,-6.075781408924112e-49,5.829040297756355e-49,-1.523517194083603e-78,-6.691561019256331e-75
0,red,-21.25,-16.25,15,3.25,3.75,4.919319008164871e-51,-4.823188483128406e-51,4.6364605205862966e-51,-1.2394105349098643e-80,-5.309404084415334e-77
0,red,-21.25,-16.25,16,3.75,4.25,3.46119906936134e-53,-3.396680365777359e-53,3.2711881603631996e-53,-8.939840813231577e-83,-3.737381271027721e-79
1,red,-16.25,-12.75,0,-4.25,-3.75,1.586891561485644e-16,-1.457950268006745e-16,1.2295391845153858e-16,-1.800320537260699e-46,-1.659281536445556e-42
1,red,-16.25,-12.75,1,-3.75,-3.25,1.567161537266232e-17,-1.450531619946366e-17,1.2417944217839432e-17,-1.8754953365787585e-47,-1.6444964062709008e-43
1,red,-16.25,-12.75,2,-3.25,-2.75,1.3780215051285995e-18,-1.2838038921028597e-18,1.1136415034217793e-18,-1.7350804105473335e-48,-1.4505741131476946e-44
1,red,-16.25,-12.75,3,-2.75,-2.25,1.0785087068082953e-19,-1.010567626196474e-19,8.868706073383943e-20,-1.425328206204265e-49,-1.1384584256702808e-45
1,red,-16.25,-12.75,4,-2.25,-1.75,7.510870904095734e-21,-7.073736977666535e-21,6.27214448330671e-21,-1.0396000035585289e-50,-7.948041627219742e-47
1,red,-16.25,-12.75,5,-1.75,-1.25,4.653200185963209e-22,-4.402353107308828e-22,3.9394073087700573e-22,-6.732078577262913e-52,-4.934951361183386e-48
