state_index,label,x_left,x_right,mode_measure_m^-3,equilibrium_weight_m^-3,activity,momentum_scale_kg_m_s^-1
0,I00,-4.25,-3.75,1.641196441664348e+17,1.2119330204308552,7.384448257771177e-18,5.450037949332419e-27
1,I01,-3.75,-3.25,1.6412349614025606e+17,1.2114005538162114,7.381030640372035e-18,5.450101906576636e-27
2,I02,-3.25,-2.75,1.6412734815928074e+17,1.210868320808962,7.377614604690073e-18,5.45016586382085e-27
3,I03,-2.75,-2.25,1.6413120022350877e+17,1.210336321306771,7.374200149993253e-18,5.450229821065065e-27
4,I04,-2.25,-1.75,1.641350523329402e+17,1.2098045552073498,7.370787275549883e-18,5.45029377830928e-27
5,I05,-1.75,-1.25,1.64138904487575e+17,1.2092730224084498,7.367375980628586e-18,5.450357735553496e-27
6,I06,-1.25,-0.75,1.6414275668741322e+17,1.2087417228078725,7.363966264498355e-18,5.45042169279771e-27
7,I07,-0.75,-0.25,1.6414660893245482e+17,1.208210656303459,7.360558126428486e-18,5.450485650041925e-27
8,I08,-0.25,0.25,1.6415046122269978e+17,1.207679822793099,7.357151565688646e-18,5.450549607286141e-27
9,I09,0.25,0.75,1.641543135581482e+17,1.2071492221747264,7.353746581548827e-18,5.4506135645303554e-27
10,I10,0.75,1.25,1.6415816593879994e+17,1.2066188543463174,7.350343173279354e-18,5.450677521774571e-27
11,I11,1.25,1.75,1.6416201836465507e+17,1.2060887192058964,7.346941340150905e-18,5.4507414790187855e-27
12,I12,1.75,2.25,1.641658708357136e+17,1.205558816651526,7.34354108143446e-18,5.450805436263002e-27
13,I13,2.25,2.75,1.6416972335197555e+17,1.2050291465813214,7.34014239640138e-18,5.4508693935072156e-27
14,I14,2.75,3.25,1.641735759134409e+17,1.2044997088934366,7.336745284323335e-18,5.450933350751431e-27
15,I15,3.25,3.75,1.6417742852010957e+17,1.2039705034860748,7.333349744472362e-18,5.4509973079956464e-27
16,I16,3.75,4.25,1.641812811719817e+17,1.2034415302574781,7.329955776120787e-18,5.45106126523986e-27
17,NR00,-10.25,-8.25,6.563168047948731e+17,4.870152785819908,7.420429814138368e-18,5.44936640014477e-27
18,NR01,-8.25,-7.0,4.1022929679495686e+17,3.039501126104616,7.409273666828912e-18,5.4495742599686474e-27
19,NR02,-7.0,-6.0,3.282007699620595e+17,2.4291977809552994,7.401560274328784e-18,5.449718163486641e-27
20,NR03,-6.0,-5.25,2.461606883490839e+17,1.8204977455603606,7.395566521079465e-18,5.449830088445092e-27
21,NR04,-5.25,-4.75,1.6411194035440246e+17,1.2129986548918907,7.391288240650863e-18,5.449910034843989e-27
22,NR05,-4.75,-4.25,1.6411579223781693e+17,1.2124657207552734,7.387867457619883e-18,5.449973992088205e-27
23,NB00,4.25,4.75,1.6418513386905715e+17,1.2029127891059372,7.326563378541314e-18,5.4511252224840765e-27
24,NB01,4.75,5.25,1.6418898661133603e+17,1.2023842799297852,7.32317255100696e-18,5.45118917972829e-27
25,NB02,5.25,6.0,2.4629070390765933e+17,1.8025859723854862,7.318936296764662e-18,5.451269126439889e-27
26,NB03,6.0,7.0,3.284010902300868e+17,2.4016003443676484,7.31300965744365e-18,5.451381051836119e-27
27,NB04,7.0,8.25,4.105230356495161e+17,2.999033647949522,7.305396743947752e-18,5.451524955916973e-27
28,NB05,8.25,10.25,6.568869470961815e+17,4.79160579189044,7.29441468287975e-18,5.4517328181799124e-27
29,FR00,-21.25,-16.25,1.6400603146104614e+18,12.277473414068892,7.485988963146744e-18,5.4481512230164475e-27
30,FR01,-16.25,-12.75,1.1482713427400454e+18,8.562186052694065,7.456587771547687e-18,5.4486948532097875e-27
31,FR02,-12.75,-10.25,8.203093501436298e+17,6.099741787569284,7.435904255511981e-18,5.449078593671923e-27
32,FB00,10.25,12.75,8.211953820983657e+17,5.977674773899291,7.27923573878946e-18,5.452020626904198e-27
33,FB01,12.75,16.25,1.149835381755797e+18,8.346709041431708,7.259046967824468e-18,5.4524043733701766e-27
34,FB02,16.25,21.25,1.6429495492454702e+18,11.879417375049684,7.230543007547215e-18,5.452948016321682e-27
