physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,q_dimensionless,delta_dimensionless,log_S_MJ_over_S_MB,S_MJ_over_S_MB,delta_even_residual,full_mean_amp2,amplitude_quad_change
0,0,0,-4.0,-4.0,-1.0,2.1725740100960016e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,4916235.237362107,4.925392250553718e-15
1,0,0,-4.0,-4.0,-0.816496580927726,2.07050781678279e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,4959032.882027599,5.0706881992556165e-15
2,0,0,-4.0,-4.0,-0.7071067811865475,2.0071966607936654e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,4985152.036337355,5.044120887653558e-15
3,0,0,-4.0,-4.0,-0.5773502691896258,1.9294061307449918e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5016751.144304142,5.012349385352221e-15
4,0,0,-4.0,-4.0,-0.5,1.8815042843449667e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5035918.735288154,4.993271503452704e-15
5,0,0,-4.0,-4.0,-0.3333333333333333,1.7738992510558243e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5078098.657057363,5.135196035034187e-15
6,0,0,-4.0,-4.0,0.0,1.5362418151685336e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5166347.628982175,5.4080134061688705e-15
7,0,0,-4.0,-4.0,0.3333333333333333,1.2543361895633113e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5260444.69284176,5.134234126746159e-15
8,0,0,-4.0,-4.0,0.5,1.0862870050480008e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5310080.07708406,5.086242443010399e-15
9,0,0,-4.0,-4.0,0.5773502691896258,9.987341047487364e-09,0.0,-5.16330089794792e-10,0.9999999994836699,0.0,5333878.501101108,5.063548908786235e-15
10,0,0,-4.0,-4.0,0.7071067811865475,8.314080792507254e-09,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5375441.77715217,5.0243972092945815e-15
11,0,0,-4.0,-4.0,0.816496580927726,6.580845006425754e-09,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,5413177.976191413,4.989371268160544e-15
12,0,1,-4.0,-3.5,-1.0,2.172586757883066e-08,1.2747787064597572e-13,-5.179465745186462e-10,0.9999999994820534,0.0,5593605.839879848,4.994931362390115e-15
13,0,1,-4.0,-3.5,-0.816496580927726,2.0705199656902442e-08,1.2747787064597572e-13,-5.182911877454899e-10,0.9999999994817088,0.0,5649131.930988661,4.945835498229301e-15
