event_id,beta_norm,nu_in_Hframe_Hz,nu_in_initial_rest_Hz,nu_out_initial_rest_Hz,mu_initial_rest,four_momentum_relative,initial_mass_shell_relative,final_mass_shell_relative,incoming_null_absolute,outgoing_null_absolute,reverse_photon_relative,reverse_atom_relative,reverse_four_momentum_relative,same_event_transfer_absolute
0,0.04341208325953502,2605737679236859.5,2713782342101453.5,2713782313634105.0,0.122561636228797,1.5930495595743094e-17,1.659093532133914e-16,1.659093532133914e-16,4.636507688359277e-69,4.636507688359277e-69,5.002469497743659e-16,0.0,4.3092615635057205e-17,0.0
1,0.24468127671943304,1487034348184717.0,1685814381931010.0,1685814377019419.5,0.6076964374844482,2.269472087492506e-17,3.318187064267828e-16,1.659093532133914e-16,2.3182538441796384e-69,0.0,2.782729314084523e-16,0.0,3.572083636397716e-17,0.0
2,0.4995292091737055,4795897357553351.0,5619728854756496.0,5619728616913529.0,-0.7095398287187571,1.8735244344743086e-17,1.659093532133914e-16,1.659093532133914e-16,1.8546030753437107e-68,0.0,5.176942411280307e-16,0.0,2.764812034583185e-17,0.0
3,0.2554555771700617,3283988925161972.0,3851825206498379.5,3851825091278384.5,-0.7628458568378039,3.909660433994021e-17,1.659093532133914e-16,3.318187064267828e-16,9.273015376718553e-69,5.563809226031132e-68,4.3789343016306965e-16,0.0,2.948554756466664e-17,0.0
4,0.4208873182467855,4210839635239549.0,5389259776951827.0,5389259525448223.0,-0.9656473851637709,1.9218849926463063e-17,1.659093532133914e-16,3.318187064267828e-16,1.8546030753437107e-68,0.0,1.9320555897964044e-16,0.0,3.894862952422494e-17,0.0
5,0.5670472911990869,3609934021763837.0,6032340005949974.0,6032339974577678.0,0.8042984343529789,2.7230764931722266e-17,0.0,0.0,9.273015376718553e-69,2.781904613015566e-68,1.430650451896596e-16,0.0,1.956033115772401e-17,0.0
6,0.22478238251479765,1439177961771839.8,1288476571457019.0,1288476567552604.8,0.4661460547918314,1.3356889921803325e-17,0.0,0.0,1.1591269220898192e-69,0.0,0.0,0.0,2.4679093177263913e-17,0.0
7,0.22147415806881393,1419723178013069.5,1213366170507969.5,1213366170007090.2,0.9227730450192008,3.4420686548013765e-17,1.659093532133914e-16,3.318187064267828e-16,1.1591269220898192e-69,0.0,1.906565045331439e-16,0.0,1.2662022084758902e-17,0.0
8,0.44080577168000035,3340596706015009.5,3980848500480928.0,3980848378944468.0,-0.7409043568499771,1.8247066021009274e-17,0.0,0.0,0.0,3.7092061506874214e-68,2.833026877971368e-16,0.0,7.294516519839724e-18,0.0
9,0.257749184972724,1541752552185358.0,1784654889764391.5,1784654888516142.8,0.911036421313137,5.483627645475507e-18,0.0,1.659093532133914e-16,4.636507688359277e-69,2.3182538441796384e-69,1.8609967714385343e-16,0.0,5.150969533748646e-18,0.0
10,0.11072005615109795,4489919436873220.5,4491546752479322.0,4491546602299823.5,-0.689812161963766,3.944463781680448e-17,0.0,3.318187064267828e-16,0.0,5.563809226031132e-68,6.390307359216628e-18,0.0,4.142804011897008e-17,0.0
11,0.5254816859650484,2506119546758371.0,3966734437600071.5,3966734396930965.0,0.4132974283693434,2.6337221639758992e-17,3.318187064267828e-16,1.659093532133914e-16,0.0,1.8546030753437107e-68,5.019251010996849e-16,0.0,3.678837492772482e-17,0.0
12,0.589170120943664,1582951234183849.2,807510721371431.9,807510717648526.2,-0.29600013827023897,3.1993531617717e-17,0.0,0.0,2.3182538441796384e-69,0.0,5.437684610897181e-16,0.0,3.094922437359813e-17,0.0
13,0.20208332299850323,3902300929524914.5,4288143533062346.5,4288143425019256.0,-0.3337609492783797,6.909400720988529e-18,1.659093532133914e-16,1.659093532133914e-16,9.273015376718553e-69,0.0,6.891054773242829e-16,0.0,2.3935485272288128e-18,0.0
14,0.022695408708383668,3018015135637658.5,2980923920981562.0,2980923911655010.0,0.7617466758256272,3.102279302423952e-18,0.0,1.659093532133914e-16,1.8546030753437107e-68,1.8546030753437107e-68,1.6049492798790233e-16,0.0,4.3025512124044676e-17,0.0
15,0.3725394992316984,3721169320798999.0,3774284230979465.5,3774284138879261.5,-0.4676111834665639,3.165253714393797e-17,3.318187064267828e-16,4.977280596401743e-16,0.0,0.0,1.8505128520352344e-16,0.0,1.3950511802439228e-17,0.0
16,0.048183965308773426,3980504951594482.5,4073103819803497.0,4073103695942450.0,-0.6947413130753106,4.0009685298370284e-17,0.0,1.659093532133914e-16,9.273015376718553e-69,2.781904613015566e-68,4.0425397347419913e-16,0.0,4.765319636201641e-17,0.0
17,0.2696479437745743,3354759603458967.0,3631696104662405.5,3631696000051867.0,-0.8004292731229934,2.0590719762507023e-17,1.659093532133914e-16,3.318187064267828e-16,9.273015376718553e-69,1.8546030753437107e-68,1.4105332982496215e-16,0.0,9.24277140225051e-18,0.0
18,0.4137566842517239,3573823599045532.5,5422221479603300.0,5422221249954887.0,-0.7730809966824571,2.4287802784280492e-17,3.318187064267828e-16,3.318187064267828e-16,0.0,0.0,2.0310338913190043e-16,0.0,2.9904768563027856e-17,0.0
19,0.2989441571084835,3610788914277603.0,3594731573043215.5,3594731496011950.0,-0.35317425661424784,4.155216895672064e-17,1.659093532133914e-16,0.0,1.8546030753437107e-68,0.0,6.674788074506995e-16,0.0,7.511111103812655e-18,0.0
20,0.5394152704477294,3444462093815566.5,2284130246122149.5,2284130203240362.0,-0.8657385084335638,1.6645274072628044e-17,1.659093532133914e-16,0.0,9.273015376718553e-69,4.636507688359277e-69,1.7631038468025792e-16,0.0,1.657884885288168e-17,0.0
