epsilon,mu,exact_ratio,first_order_ratio,second_order_ratio,first_order_absolute_error,second_order_absolute_error
1e-10,-1.0,0.9999999998,0.9999999998,0.9999999998,0.0,0.0
1e-10,-0.3,0.99999999987,0.99999999987,0.99999999987,0.0,0.0
1e-10,0.0,0.9999999999,0.9999999999,0.9999999999,0.0,0.0
1e-10,0.7,0.99999999997,0.99999999997,0.99999999997,0.0,0.0
1e-08,-1.0,0.9999999800000003,0.99999998,0.9999999800000005,-3.3306690738754696e-16,1.1102230246251565e-16
1e-08,-0.3,0.9999999870000003,0.999999987,0.9999999870000003,-2.220446049250313e-16,0.0
1e-08,0.0,0.9999999900000002,0.99999999,0.9999999900000001,-2.220446049250313e-16,-1.1102230246251565e-16
1e-08,0.7,0.999999997,0.999999997,0.999999997,0.0,0.0
1e-06,-1.0,0.999998000004,0.999998,0.9999980000040001,-3.999911513119514e-12,1.1102230246251565e-16
1e-06,-0.3,0.9999987000016899,0.9999987,0.99999870000169,-1.6898704657819508e-12,1.1102230246251565e-16
1e-06,0.0,0.9999990000010001,0.999999,0.999999000001,-1.000088900582341e-12,-1.1102230246251565e-16
1e-06,0.7,0.9999997000000901,0.9999997,0.9999997000000901,-9.00390872971002e-14,0.0
0.0001,-1.0,0.9998000399920016,0.9998,0.99980004,-3.999200159920946e-08,7.998379736307015e-12
0.0001,-0.3,0.9998700168978033,0.99987,0.9998700169,-1.6897803267745815e-08,2.1966872765233347e-12
0.0001,0.0,0.9999000099990001,0.9999,0.9999000100000001,-9.999000072369313e-09,9.999778782798785e-13
0.0001,0.7,0.999970000899973,0.99997,0.9999700009,-8.99972985024533e-10,2.6978419498391304e-14
