scenario,group,boundary_number_action
finite_or_mixed_tilt,interior,-52512243513.61204
finite_or_mixed_tilt,near_red,26381724029.667034
finite_or_mixed_tilt,near_blue,26130447119.304928
finite_or_mixed_tilt,far_red,36182.7894054012
finite_or_mixed_tilt,far_blue,36181.85063997438
finite_or_mixed_tilt,total,-3.1793813187587016e-05
nonlinear_even_shear,interior,-44560653198.813484
nonlinear_even_shear,near_red,22457801787.58756
nonlinear_even_shear,near_blue,22102840272.228195
nonlinear_even_shear,far_red,5911.032935091886
nonlinear_even_shear,far_blue,5227.964573389011
nonlinear_even_shear,total,-0.0002283993197880045
directional_crossing,interior,1692264692.9783075
directional_crossing,near_red,-6785988263.797446
directional_crossing,near_blue,5093722711.194961
directional_crossing,far_red,238.74650044025978
directional_crossing,far_blue,620.8777128394299
directional_crossing,total,3.492194945624366e-05
