check,parameter,value,reference,relative_residual
fixed_nucleus_velocity_length_gauge,0.001,-1.125001661383962e-06,-1.125001661461024e-06,6.849945328074701e-11
fixed_nucleus_velocity_length_gauge,0.01,-0.00011251661727418316,-0.00011251661727422611,3.8170325057772617e-13
fixed_nucleus_velocity_length_gauge,0.1,-0.011418882462373103,-0.011418882462373095,7.595854855731186e-16
fixed_nucleus_velocity_length_gauge,0.5,-0.45844831112814743,-0.4584483111281477,6.054243181162148e-16
fixed_nucleus_velocity_length_gauge,0.7,-3.177141500847662,-3.177141500847661,2.7955267949606884e-16
infrared_amplitude_power,2e-05,1.9999998220318647,2.0,8.898406766988387e-08
infrared_cross_section_power,2e-05,3.9999996440637293,4.0,8.898406766988387e-08
continuum_positive_quadrature_convergence,64,0.43499584932514856,0.43499584932514657,4.6629367034256575e-15
continuum_positive_quadrature_convergence,128,0.43499584932514523,0.43499584932514657,3.1086244689504383e-15
continuum_positive_quadrature_convergence,256,0.4349958493251481,0.43499584932514657,3.552713678800501e-15
continuum_positive_quadrature_convergence,512,0.43499584932514657,0.43499584932514657,0.0
high_intermediate_energy_continuum_tail_n_lt_1e-2,0.01,2.645771519946552e-10,1.0,2.645771519946552e-10
smooth_background_order4_vs_direct,4,1.908473379330644e-12,0.0,1.908473379330644e-12
smooth_background_order8_vs_direct,8,2.6645352591003757e-15,0.0,2.6645352591003757e-15
