gate,pass
HYREC2_exact_commit_and_blob_lock,True
HYREC2_native_registry_dimensions,True
ordinary_frequency_and_sign_lock,True
no_fitted_HYREC_normalization,True
v050_offdiagonal_C0_exact_reproduction,True
raw_C0_quadrature_projection_small,True
exchange_parity,True
positive_even_common_moments,True
positive_source_M2_M4,True
pair_conditional_moment_reference,True
same_cell_conditional_moment_reference,True
Bose_Einstein_null,True
photon_number,True
free_energy_dissipation,True
same_event_energy_ledger,True
analytic_JVP,True
JVP_number_and_energy,True
implicit_convergence,True
implicit_strict_positivity,True
implicit_number_and_free_energy,True
native_detailed_balance_source_snapshot,True
positive_bound_continuum_measure,True
geometry_to_microphysics_firewall,True
symbolic_exact_identities,True
high_precision_BE_reference,True
original_HyRec_archive_gate_explicitly_open,True
raw_native_rates_not_substituted,True
