virtual_index,energy_eV,frequency_Hz,x,Aup_sInv,Adn_sInv,raw_Gamma_sInv,raw_M1_Hz_sInv,raw_M2_Hz2_sInv,raw_M3_Hz3_sInv,raw_M4_Hz4_sInv,detailed_balance_abs_residual,production_use
100,10.023854,2423757113622987.5,-731.077111133499,0.02936084502560971,0.0,0.02936084502560971,56539786781.667206,1.088779116039766e+23,2.0966473893897106e+35,4.0374858505957365e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
101,10.031818,2425682800255383.5,-697.8034029187113,0.0012715847590552994,0.03027941405488415,0.03155099881393945,-55916870657.75554,1.1678306341394473e+23,-2.077620768059577e+35,4.322969425959812e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
102,10.039597,2427563754086802.0,-665.3026274035205,0.03582941887268054,0.0013104288444598584,0.0371398477171404,63334539801.5848,1.2547442550041134e+23,2.1319413160875725e+35,4.23941312703833e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
103,10.047192,2429400216916165.5,-633.5706065733636,0.0033046006699608273,0.03689765691095109,0.04020225758091192,-61839424106.4927,1.3505249140983953e+23,-2.0951534155787064e+35,4.537643939653082e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
104,10.054603,2431192188743474.5,-602.6073404282321,0.044127178094695026,0.003400704566206974,0.047527882660902,71006760913.24355,1.4563361715501588e+23,2.1580778969231624e+35,4.46325621437533e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
105,10.061829,2432939427769805.0,-572.4170069827146,0.006491479884743934,0.045377993386105146,0.05186947327084908,-68232846432.39509,1.573530222219532e+23,-2.1000086727369298e+35,4.7748535278691715e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
106,10.068871,2434642175794081.0,-542.9954282222224,0.054922821894709456,0.006670735818964252,0.06159355771367371,79717572850.94164,1.7036847719152722e+23,2.175101856314288e+35,4.713741414390753e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
107,10.075729,2436300432816303.0,-514.3426041467469,0.011437505898442444,0.05639930636537609,0.06783681226381853,-75069853031.08827,1.8486482869555146e+23,-2.091292632855088e+35,5.039862742765369e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
108,10.082402,2437913957037546.0,-486.46271277089414,0.06925800622799319,0.011736577340642805,0.080994583568636,89730860652.90105,2.0105959281158818e+23,2.1822386367587748e+35,4.993081648735625e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
109,10.088891,2439482990256735.0,-459.351576080058,0.019091124971989167,0.07101842114373043,0.0901095461157196,-82325035956.47931,2.1920992838534126e+23,-2.066790794181979e+35,5.3355808691109695e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
110,10.095196,2441007532473869.5,-433.0091940742472,0.08863234189150837,0.019562458898644778,0.10819480079015314,101356610849.9705,2.39621352008957e+23,2.1804011950934575e+35,5.309809296741309e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
111,10.101317,2442487583688949.5,-407.4355667534616,0.030994600191894404,0.09075593604983548,0.12175053624172988,-89836313033.12634,2.626587439469544e+23,-2.025927624209436e+35,5.6704026883312146e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
112,10.107253,2443922902103051.5,-382.6348721322816,0.11554052823382907,0.03171451457745644,0.1472550428112855,115148569527.26494,2.8876030147910538e+23,2.1691178848948855e+35,5.666431824791012e+47,8.470329472543003e-22,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
113,10.113004,2445313487716174.5,-358.6071102107244,0.04965485183132709,0.11813962625688477,0.16779447808821185,-97431129659.22893,3.184554076205187e+23,-1.9650157335082713e+35,6.0490599178612915e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
114,10.118572,2446659824126167.5,-335.34392495959486,0.1537167716765703,0.05073591627994139,0.2044526879565117,131770693398.24008,3.523876678708129e+23,2.1515119212411965e+35,6.078985405250405e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
115,10.123955,2447961427735182.0,-312.85367240807955,0.07940802992463497,0.1569510721318799,0.23635910205651486,-104482447189.66687,3.9134489348993106e+23,-1.8843375984656542e+35,6.486489012504392e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
116,10.129153,2449218298543217.5,-291.13635255618703,0.20966887782614768,0.08102082615930005,0.29068970398544774,152416299885.84003,4.3629840598412456e+23,2.1299315133757566e+35,6.5554141756691926e+47,8.470329472543003e-22,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
117,10.134168,2450430920148123.5,-270.1836093747136,0.12764876561838742,0.21377592312745644,0.34142468874584386,-110149738792.26147,4.884554073585798e+23,-1.7784483121424216e+35,6.99709560153695e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
118,10.138998,2451598808952050.5,-250.00379889286302,0.29484187352196384,0.13005607799772378,0.4248979515196876,179262382790.43042,5.4932879372542964e+23,2.1056927394093282e+35,7.111469374939312e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
119,10.143643,2452721964954998.5,-230.59692111063524,0.20802729043178944,0.3001873658657713,0.5082146562975608,-112715183786.71704,6.208322430199463e+23,-1.6405741057389304e+35,7.595719079511085e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
120,10.148105,2453800871754816.5,-211.95461999883517,0.4292062680560686,0.21164895767758946,0.640855225733658,215524462949.99408,7.054107387116892e+23,2.0892231800483024e+35,7.777356509621494e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
121,10.152382,2454835045753656.5,-194.08525158664062,0.34663740214715305,0.4363661876018144,0.7830035897489674,-108217422235.79907,8.062223383943778e+23,-1.4663064994966847e+35,8.316958733079818e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
122,10.156475,2455824728750442.0,-176.98463785947138,0.6522962153650975,0.35216918383346013,1.0044653991985577,267851583201.28528,9.273954364637543e+23,2.0901011090072794e+35,8.579516632009198e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
123,10.160383,2456769678946248.5,-160.65695683192493,0.5957766944809663,0.6622317555983281,1.2580084500792945,-89303425153.06207,1.07439886599906e+24,-1.2378839244603685e+35,9.197017445697793e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
124,10.164107,2457670138140001.0,-145.09803048939511,1.0434318106585372,0.6044210042639006,1.6478528149224378,348887989943.0097,1.2545839556723974e+24,2.130927545763397e+35,9.575079745068305e+47,3.3881317890172014e-21,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
