source_index,label,x_left,x_right,Gamma_sInv,M1_Hz_sInv,M2_Hz2_sInv,M3_Hz3_sInv,M4_Hz4_sInv,atomic_recoil_power_W_per_source
0,I00,-4.25,-3.75,1.998078097505046e-05,863437.7746007185,9.151160666763736e+16,1.409404187249666e+28,3.074182409388243e+39,-5.721199264664249e-28
1,I01,-3.75,-3.25,3.891465619797136e-05,2257752.4203708596,4.5535226634138566e+17,1.185874868369085e+29,3.6617681179095645e+40,-1.4960025918709604e-27
2,I02,-3.25,-2.75,0.00019039880976248793,24723190.728453334,5.783831415397145e+18,1.5262695565619878e+30,4.3346823854696626e+41,-1.638175960985614e-26
3,I03,-2.75,-2.25,0.0020378552970188933,274360360.5581759,5.54233090744553e+19,1.253287669210855e+31,3.020523054605555e+42,-1.8179309954377669e-25
4,I04,-2.25,-1.75,0.01712808781518978,1892771638.5507843,3.1302590549178614e+20,5.785433005645694e+31,1.1421236456433653e+43,-1.2541637654967942e-24
5,I05,-1.75,-1.25,0.09142021254136898,7602157686.667373,9.864127467900068e+20,1.4214214811193154e+32,2.209126419700913e+43,-5.037243012321973e-24
6,I06,-1.25,-0.75,0.302900924017415,16794501386.255865,1.6373263617881352e+21,1.7185835346108007e+32,2.0177747788122398e+43,-1.112815443196036e-23
7,I07,-0.75,-0.25,0.6214763943275261,17219351123.721832,1.353006720535443e+21,8.896420267356472e+31,8.385814419265957e+42,-1.1409662848326218e-23
8,I08,-0.25,0.25,0.7897982343707776,-19303068.247642554,8.711730729485002e+20,-6.418025375203909e+28,3.484902162741404e+42,1.2790348431911714e-26
9,I09,0.25,0.75,0.6214789325570113,-17249403368.665977,1.3553668973459991e+21,-8.921815048611807e+31,8.409879237581403e+42,1.1429575676642708e-23
10,I10,0.75,1.25,0.30292180156078125,-16809686610.238798,1.6396493952728545e+21,-1.722064082993831e+32,2.0228364726091764e+43,1.1138216267895799e-23
11,I11,1.25,1.75,0.09144363245513278,-7608044549.2289,9.876007902206987e+20,-1.4237617677207746e+32,2.2136767350823573e+43,5.041143688751582e-24
12,I12,1.75,2.25,0.01713879630614328,-1894621628.3858411,3.1343255072758995e+20,-5.794840945561831e+31,1.1443427117179634e+43,1.2553895817391815e-24
13,I13,2.25,2.75,0.002040303020611985,-274768703.3642377,5.551850866504054e+19,-1.255743306076274e+31,3.0271494431275815e+42,1.82063670351598e-25
14,I14,2.75,3.25,0.00019070057804909554,-24779922.824162066,5.7980606646572e+18,-1.5303310961355298e+30,4.346960805281835e+41,1.6419350694448395e-26
15,I15,3.25,3.75,3.893581324386156e-05,-2263444.7970880005,4.5675785691158394e+17,-1.19011919027743e+29,3.6757373513209305e+40,1.4997744006157607e-27
16,I16,3.75,4.25,1.9984474913530567e-05,-864518.5973067044,9.170107840472397e+16,-1.4137314958531801e+28,3.0865127039526756e+39,5.728360871733824e-28
