check,absolute_residual,relative_residual,tool
exchange_parity_r0_sympy,0,0,SymPy exact
exchange_parity_r1_sympy,0,0,SymPy exact
exchange_parity_r2_sympy,0,0,SymPy exact
exchange_parity_r3_sympy,0,0,SymPy exact
exchange_parity_r4_sympy,0,0,SymPy exact
pair_number_cancellation_sympy,0,0,SymPy exact
same_event_energy_cancellation_sympy,0,0,SymPy exact
nonlinear_pair_jvp_sympy,0,0,SymPy exact
bose_einstein_pair_null_mpmath_80dps,0.0,0.0,mpmath 80 dps fallback
ordinary_frequency_x_roundtrip_mpmath_80dps,3.018863803023492630524458e-77,3.018863803023492630524458e-77,mpmath 80 dps fallback
