local_index,virtual_index,centre_eV,centre_Hz,inferred_left_edge_eV,inferred_right_edge_eV,inferred_mode_measure_m3,native_equilibrium_proxy,Aup_s_inv,Adn_s_inv
0,100,10.023854,2423757113622987.5,10.020705505528639,10.027835209384525,9.4475216447879598e+18,1.4477229359564827e-17,0.029360845025609709,0
1,101,10.031817999999999,2425682800255383.5,10.027835209384525,10.035706746280802,1.0446134639785781e+19,1.4038042045857436e-17,0.0012715847590552994,0.03027941405488415
2,102,10.039597000000001,2427563754086801.5,10.035706746280802,10.043393782065106,1.0217115069728324e+19,1.3621922615605751e-17,0.035829418872680541,0.0013104288444598584
3,103,10.047192000000001,2429400216916165.5,10.043393782065106,10.050896816940069,9.987647244865024e+18,1.3227549175376537e-17,0.0033046006699608273,0.036897656910951093
4,104,10.054603,2431192188743474.5,10.050896816940069,10.058215351089228,9.7564263059051479e+18,1.2853738693227209e-17,0.044127178094695026,0.0034007045662069742
5,105,10.061828999999999,2432939427769804.5,10.058215351089228,10.065349384152494,9.524141053596631e+18,1.2499433627939757e-17,0.006491479884743934,0.045377993386105146
6,106,10.068871,2434642175794081,10.065349384152494,10.072299416317955,9.2914866942757888e+18,1.2163548994968419e-17,0.054922821894709456,0.006670735818964252
7,107,10.075729000000001,2436300432816303,10.072299416317955,10.079064947754727,9.0571528416104274e+18,1.1845117929825272e-17,0.011437505898442444,0.056399306365376087
8,108,10.082402,2437913957037546,10.079064947754727,10.085645978130604,8.8218316201018409e+18,1.1543280656531058e-17,0.069258006227993191,0.011736577340642805
9,109,10.088891,2439482990256735,10.085645978130604,10.092043007619221,8.5862210880039619e+18,1.1257144142693727e-17,0.019091124971989167,0.071018421143730429
10,110,10.095196,2441007532473869.5,10.092043007619221,10.098256036223878,8.3496778972626084e+18,1.0985916789363859e-17,0.088632341891508371,0.019562458898644778
11,111,10.101317,2442487583688949.5,10.098256036223878,10.10428456409463,8.1115549558729953e+18,1.0728857805310758e-17,0.030994600191894404,0.090755936049835478
12,112,10.107253,2443922902103051.5,10.10428456409463,10.110128091078373,7.8718746997672663e+18,1.0485314456859703e-17,0.11554052823382907,0.031714514577456443
13,113,10.113004,2445313487716174.5,10.110128091078373,10.115787616902997,7.6326842312610314e+18,1.025463520943528e-17,0.04965485183132709,0.11813962625688477
14,114,10.118572,2446659824126167.5,10.115787616902997,10.121263142131026,7.3926660696352963e+18,1.0036132768338895e-17,0.1537167716765703,0.050735916279941388
15,115,10.123955,2447961427735181.5,10.121263142131026,10.126553666480763,7.1504929987043021e+18,9.8293175593614939e-18,0.079408029924634971,0.15695107213187989
16,116,10.129153000000001,2449218298543217.5,10.126553666480763,10.13166018970751,6.9088931514099333e+18,9.6336556894381001e-18,0.20966887782614768,0.081020826159300049
17,117,10.134168000000001,2450430920148123,10.13166018970751,10.136582712317994,6.6665444851063071e+18,9.4485746954940397e-18,0.12764876561838742,0.21377592312745644
