META,temperature_K,3000
META,nH_cm3,250
META,H_s_inv,5.0000000000000002e-14
META,xe,0.5
META,xHII,0.5
Trr,0,0,2476.4750168599594
Trr,0,1,-768.48089250590897
Trr,1,0,-2305.4426775177271
Trr,1,1,8434.4079589761059
sr,0,0,9.3284096207773252e-09
sr,1,0,2.80119360541363e-08
xr,0,0,5.339421314184734e-10
xr,1,0,1.7081375520028476e-09
sv,0,0,0
Dtau,0,0,1.6752774476266284e-09
xv,0,0,1.2112063440309357e-10
Trv,0,0,-1.227541811723149e-09
Tvr,0,0,-0.33243251374005617
Trv,1,0,-0
Tvr,1,0,-0
Tvv,0,0,1.4654788245943415
Tvv,1,0,0
Tvv,2,0,0
sv,1,0,0
Dtau,1,0,2.8310223278053586e-09
xv,1,0,1.1050646268704115e-10
Trv,0,1,-2.2718237098171934e-09
Tvr,0,1,-0.33216572397541444
Trv,1,1,-0
Tvr,1,1,-0
Tvv,0,1,1.6049493426088228
Tvv,1,1,0
Tvv,2,1,0
sv,2,0,0
Dtau,2,0,4.7930177397743587e-09
xv,2,0,1.0101043445458826e-10
Trv,0,2,-4.2010790053044316e-09
Tvr,0,2,-0.33163003530807661
Trv,1,2,-0
Tvr,1,2,-0
Tvv,0,2,1.7529995673306877
Tvv,1,2,0
Tvv,2,2,0
sv,3,0,0
Dtau,3,0,8.1292357019834685e-09
xv,3,0,9.2485619982164862e-11
Trv,0,3,-7.763066266087204e-09
Tvr,0,3,-0.33082140044602859
Trv,1,3,-0
Tvr,1,3,-0
Tvv,0,3,1.9099129541117892
Tvv,1,3,0
Tvv,2,3,0
sv,4,0,0
Dtau,4,0,1.3807501978510573e-08
xv,4,0,8.4811080825632188e-11
Trv,0,4,-1.4331442494975971e-08
Tvr,0,4,-0.32973359377828926
Trv,1,4,-0
Tvr,1,4,-0
Tvv,0,4,2.0758921611224554
Tvv,1,4,0
Tvv,2,4,0
sv,5,0,0
Dtau,5,0,2.3486235811908984e-08
xv,5,0,7.7878610380007994e-11
Trv,0,5,-2.6436694462926695e-08
Tvr,0,5,-0.32835810195908272
Trv,1,5,-0
Tvr,1,5,-0
Tvv,0,5,2.251250041225235
Tvv,1,5,0
Tvv,2,5,0
sv,6,0,0
Dtau,6,0,4.0106061274858014e-08
xv,6,0,7.1813867928397791e-11
Trv,0,6,-4.8716324059016327e-08
Tvr,0,6,-0.32668416483866342
Trv,1,6,-1.3652499478328463e-10
Tvr,1,6,-0.00030517186153283278
Tvv,0,6,2.4361828688235367
Tvv,1,6,0
Tvv,2,6,0
sv,7,0,0
Dtau,7,0,6.8368350897314086e-08
xv,7,0,6.6094796382538777e-11
Trv,0,7,-8.9683666848597474e-08
Tvr,0,7,-0.32469822749833804
Trv,1,7,-2.5407164226871628e-10
Tvr,1,7,-0.00030662072147991543
Tvv,0,7,2.6309758641269538
Tvv,1,7,0
Tvv,2,7,0
sv,8,0,0
Dtau,8,0,1.166745685944915e-07
xv,8,0,6.0891998404064532e-11
Trv,0,8,-1.6494535616272699e-07
Tvr,0,8,-0.32238422333240857
Trv,1,8,-4.9457384204817119e-10
Tvr,1,8,-0.0003222133835885353
Tvv,0,8,2.8359211168627723
Tvv,1,8,0
Tvv,2,8,0
sv,9,0,0
Dtau,9,0,1.9921145289739617e-07
xv,9,0,5.613234524561485e-11
Trv,0,9,-3.0298900196683725e-07
Tvr,0,9,-0.3197227502375754
Trv,1,9,-9.2842468776483535e-10
Tvr,1,9,-0.00032656685295915456
Tvv,0,9,3.0512045609387068
Tvv,1,9,0
Tvv,2,9,0
sv,10,0,0
Dtau,10,0,3.4031440355257475e-07
xv,10,0,5.1771964823128509e-11
Trv,0,10,-5.5587377183122518e-07
Tvr,0,10,-0.31669109129867967
Trv,1,10,-1.7511478565804212e-09
Tvr,1,10,-0.00033255327248058348
Tvv,0,10,3.2771165552950019
Tvv,1,10,0
Tvv,2,10,0
sv,11,0,0
Dtau,11,0,5.8160591902920363e-07
xv,11,0,4.776541054919204e-11
Trv,0,11,-1.0185484851759981e-06
Tvr,0,11,-0.31326268437300014
Trv,1,11,-3.319719687539736e-09
Tvr,1,11,-0.00034033539421375695
Tvv,0,11,3.5139546195727935
Tvv,1,11,0
Tvv,2,11,0
sv,12,0,0
Dtau,12,0,9.9399686050288089e-07
xv,12,0,4.4074411415658939e-11
Trv,0,12,-1.8633290413649859e-06
Tvr,0,12,-0.30940654686292612
Trv,1,12,-6.3258288603979414e-09
Tvr,1,12,-0.00035013548695042004
Tvv,0,12,3.7618941547898261
Tvv,1,12,0
Tvv,2,12,0
sv,13,0,0
Dtau,13,0,1.6987387696192947e-06
xv,13,0,4.0661886298460699e-11
Trv,0,13,-3.4034235996737e-06
Tvr,0,13,-0.30508667956058122
Trv,1,13,-1.2123360764274774e-08
Tvr,1,13,-0.00036225051749285905
Tvv,0,13,4.0213925262565526
Tvv,1,13,0
Tvv,2,13,0
sv,14,0,0
Dtau,14,0,2.9017239883899633e-06
xv,14,0,3.7501872439321402e-11
Trv,0,14,-6.2041098176852776e-06
Tvr,0,14,-0.30026153813482659
Trv,1,14,-2.3373732184672507e-08
Tvr,1,14,-0.00037707439014674177
Tvv,0,14,4.2922224974460361
Tvv,1,14,0
Tvv,2,14,0
sv,15,0,0
Dtau,15,0,4.9531597411924254e-06
xv,15,0,3.4561723273354843e-11
Trv,0,15,-1.1285394395795781e-05
Tvr,0,15,-0.29488303637161328
Trv,1,15,-4.5365751268580298e-08
Tvr,1,15,-0.00039512990602974892
Tvv,0,15,4.5751599808602439
Tvv,1,15,0
Tvv,2,15,0
sv,16,0,0
Dtau,16,0,8.4468325988648698e-06
xv,16,0,3.1818639107886288e-11
Trv,0,16,-2.0480511687880452e-05
Tvr,0,16,-0.28889574523404071
Trv,1,16,-8.8710980489335513e-08
Tvr,1,16,-0.00041711563346135842
Tvv,0,16,4.8702931737462727
Tvv,1,16,0
Tvv,2,16,0
sv,17,0,0
Dtau,17,0,1.438239998465333e-05
xv,17,0,2.9251085150285801e-11
Trv,0,17,-3.7059479823872067e-05
Tvr,0,17,-0.2822361570767285
Trv,1,17,-1.7489099688433841e-07
Tvr,1,17,-0.00044397603620399348
Tvv,0,17,5.1777958538764528
Tvv,1,17,0
Tvv,2,17,0
sv,18,0,0
Dtau,18,0,2.4441414857773014e-05
xv,18,0,2.6838768213755708e-11
Trv,0,18,-6.6840612854815104e-05
Tvr,0,18,-0.27483164819857581
Trv,1,18,-3.4803309932880071e-07
Tvr,1,18,-0.00047700794587244926
Tvv,0,18,5.4979792675328332
Tvv,1,18,0
Tvv,2,18,0
sv,19,0,0
Dtau,19,0,4.1435380638443222e-05
xv,19,0,2.456349375935749e-11
Trv,0,19,-0.00012010660740657671
Tvr,0,19,-0.26660022597970984
Trv,1,19,-7.0013281150620033e-07
Tvr,1,19,-0.000518027469633731
Tvv,0,19,5.8311719201401546
Tvv,1,19,0
Tvv,2,19,0
sv,20,0,0
Dtau,20,0,2.4799218099205323e-05
xv,20,0,9.5059892135973673e-12
Trv,0,20,-7.4846507002993118e-05
Tvr,0,20,-0.10742061527322537
Trv,1,20,-4.7736780936790356e-07
Tvr,1,20,-0.00022837469129490703
Tvv,0,20,6.0747478632520524
Tvv,1,20,0
Tvv,2,20,0
sv,21,0,0
Dtau,21,0,3.0146679159376604e-05
xv,21,0,8.98130860337976e-12
Trv,0,21,-9.3106249461658591e-05
Tvr,0,21,-0.10385467063477709
Trv,1,21,-6.2821134869417638e-07
Tvr,1,21,-0.00023357788578424015
Tvv,0,21,6.2186224548062468
Tvv,1,21,0
Tvv,2,21,0
sv,22,0,0
Dtau,22,0,3.648338238882435e-05
xv,22,0,8.4868670825388123e-12
Trv,0,22,-0.0001152287390172811
Tvr,0,22,-0.10035741735074927
Trv,1,22,-8.2437966044922521e-07
Tvr,1,22,-0.00023932864418127576
Tvv,0,22,6.3620484500572934
Tvv,1,22,0
Tvv,2,22,0
sv,23,0,0
Dtau,23,0,4.3957504017217298e-05
xv,23,0,8.0205275020338086e-12
Trv,0,23,-0.00014189044267429665
Tvr,0,23,-0.096927671788882883
Trv,1,23,-1.0789191967932556e-06
Tvr,1,23,-0.00024567575711342794
Tvv,0,23,6.50498556877944
Tvv,1,23,0
Tvv,2,23,0
sv,24,0,0
Dtau,24,0,5.2732920859633341e-05
xv,24,0,7.5803553961651337e-12
Trv,0,24,-0.00017385659807927362
Tvr,0,24,-0.093564427044968396
Trv,1,24,-1.4085259566835256e-06
Tvr,1,24,-0.00025267552985433917
Tvv,0,24,6.6473920454767805
Tvv,1,24,0
Tvv,2,24,0
sv,25,0,0
Dtau,25,0,6.298984598562082e-05
xv,25,0,7.1645760160003835e-12
Trv,0,25,-0.00021198739762451316
Tvr,0,25,-0.090266726191322366
Trv,1,25,-1.8345635145813712e-06
Tvr,1,25,-0.00026039290433768928
Tvv,0,25,6.7892356740030841
Tvv,1,25,0
Tvv,2,25,0
sv,26,0,0
Dtau,26,0,7.4925384326148751e-05
xv,26,0,6.7715837976675545e-12
Trv,0,26,-0.00025724374844915692
Tvr,0,26,-0.087033836954991339
Trv,1,26,-2.3843684701593931e-06
Tvr,1,26,-0.00026890285695124202
Tvv,0,26,6.9304843415273423
Tvv,1,26,0
Tvv,2,26,0
sv,27,0,0
Dtau,27,0,8.8762447541377304e-05
xv,27,0,6.3998474866706244e-12
Trv,0,27,-0.00031072499640898978
Tvr,0,27,-0.083865082541911037
Trv,1,27,-3.0932687852546895e-06
Tvr,1,27,-0.00027829242899429215
Tvv,0,27,7.0711783002129049
Tvv,1,27,0
Tvv,2,27,0
sv,28,0,0
Dtau,28,0,0.00010471746794438504
xv,28,0,6.0481505316822402e-12
Trv,0,28,-0.00037354866880743784
Tvr,0,28,-0.08075992927896404
Trv,1,28,-4.0055605647022631e-06
Tvr,1,28,-0.00028866277671457284
Tvv,0,28,7.2111638545900911
Tvv,1,28,0
Tvv,2,28,0
sv,29,0,0
Dtau,29,0,0.00012303573715197042
xv,29,0,5.7152622864650554e-12
Trv,0,29,-0.0004469851295183649
Tvr,0,29,-0.077717996329603273
Trv,1,29,-5.1785093099741246e-06
Tvr,1,29,-0.00030013180973831457
Tvv,0,29,7.3504201415311385
Tvv,1,29,0
Tvv,2,29,0
sv,30,0,0
Dtau,30,0,0.00014400700721496653
xv,30,0,5.3999723759940924e-12
Trv,0,30,-0.00053252619552092331
Tvr,0,30,-0.074739163291510785
Trv,1,30,-6.6870317479833897e-06
Tvr,1,30,-0.00031283791730292486
Tvv,0,30,7.4890676334419686
Tvv,1,30,0
Tvv,2,30,0
sv,31,0,0
Dtau,31,0,0.00016789105636122407
xv,31,0,5.1013669883833893e-12
Trv,0,31,-0.00063158820315910248
Tvr,0,31,-0.071823238279797405
Trv,1,31,-8.6250846408377257e-06
Tvr,1,31,-0.00032694378301334216
Tvv,0,31,7.6269592002007105
Tvv,1,31,0
Tvv,2,31,0
sv,32,0,0
Dtau,32,0,0.00019498478758502239
xv,32,0,4.8185171483476772e-12
Trv,0,32,-0.00074577519252329012
Tvr,0,32,-0.068970214114772346
Trv,1,32,-1.1114967009043424e-05
Tvr,1,32,-0.00034264197494448715
Tvv,0,32,7.7640862533723478
Tvv,1,32,0
Tvv,2,32,0
sv,33,0,1.3365347422995962e-309
Dtau,33,0,0.00022560232433135852
xv,33,0,4.550590840447673e-12
Trv,0,33,-0.0008767972636462406
Tvr,0,33,-0.066180354596826099
Trv,1,33,-1.4314909817786824e-05
Tvr,1,33,-0.00036016148279744586
Tvv,0,33,7.9004433062749762
Tvv,1,33,0
Tvv,2,33,0
sv,34,0,2.2266633278044724e-282
Dtau,34,0,0.00026010079066814698
xv,34,0,4.2967922837556967e-12
Trv,0,34,-0.001026575206446078
Tvr,0,34,-0.063453971295127615
Trv,1,34,-1.8432374360401899e-05
