path,is_directory,bytes,compressed_bytes,crc32,modified,create_system,sha256
HyRec/,True,0,0,00000000,2012-10-05T12:09:42,3,
HyRec/Alpha_inf.dat,False,132000,42310,8ec708e8,2011-01-17T13:32:52,3,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd
HyRec/helium.h,False,1269,318,a1b60f1f,2012-05-03T15:37:50,3,f256bb6a0af0e8904b10891a9fc826d8f0332d718d62a709eeae3ca648e1e0a4
HyRec/history.c,False,30963,7455,0cb60a78,2012-10-05T11:28:48,3,8ffe38f0431fcd1ae04b55f855f36e8643b1c5eb33a947f581f95d628611f976
__MACOSX/,True,0,0,00000000,2012-10-05T12:09:48,3,
__MACOSX/HyRec/,True,0,0,00000000,2012-10-05T12:09:48,3,
__MACOSX/HyRec/._history.c,False,204,118,2254c155,2012-10-05T11:28:48,3,0b6da33762656c3714a1cc13501935ac8b6c184676996161320e552bf8ee96d7
HyRec/history.h,False,4184,1122,f3a33a58,2012-05-03T16:01:06,3,99c590758874ecbe80e83b218660863c6aa43786175f64d483267c78b209d710
HyRec/hydrogen.c,False,37471,9473,ae8c1b8b,2012-05-03T21:23:48,3,421ad4678a9a2f00d54f72ebb841648f34a95a9892171c07af5f657a3b2a051b
HyRec/hydrogen.h,False,7837,2244,8d8cc3a5,2012-05-03T21:24:10,3,e89a3a447928cbe31dc273c11c4a8bc7f7a8e297be4a11270e453c101f96ccba
HyRec/hyrec_params.h,False,3764,1391,4121ef31,2012-05-03T21:37:42,3,cab1a5d92389ea7eec408e8a8419f59c717a227332bc2ae2b51e84488578e7e2
HyRec/hyrec.c,False,7843,1959,b1b5edc7,2012-05-03T21:33:52,3,22d094f86e005ad567614d212055df2764c8b624da10cc902ef912840de47681
HyRec/hyrectools.c,False,6001,1474,a3a4fe71,2012-05-03T16:54:02,3,beb97b6cee3b80cf74d58264da7087301865881d266de1c17dd472a08665bb79
__MACOSX/HyRec/._hyrectools.c,False,171,99,cf3b8fe2,2012-05-03T16:54:02,3,980e93d0b3d03a469e10104ef886bf4915df7d5f8eac09221c3b222c4a0454b6
HyRec/hyrectools.h,False,972,340,e82f6208,2012-05-03T16:54:12,3,537de0362b930d6059725ab51cfb1d0078398ad0a02eb02aae93bef9751d7be6
HyRec/input.dat,False,44,42,2f287863,2012-05-03T19:20:30,3,f8073ba70197378e156a6723e229ff47cc9f0d8be0121f1fce82aff6c64abcbc
__MACOSX/HyRec/._input.dat,False,82,47,13e031ea,2012-05-03T19:20:30,3,cf72b54831e5f7ecb12efca3bd69f663a2b99f87e1bb60779f7e788bd5864d62
HyRec/R_inf.dat,False,1700,722,5dfae8f5,2011-01-17T13:32:52,3,ce914f4b552ba55ba00f7916f36b0986f19adfdb638e5aefae91f7b2d05a8112
HyRec/readme.pdf,False,155040,147109,33e8a2bc,2012-05-03T21:02:58,3,457815c1daa6c20d9ab18c05648e2736eee1a8a417cdcf5533d804207c8b7524
__MACOSX/HyRec/._readme.pdf,False,412,285,817c3bd3,2012-05-03T21:02:58,3,0ab4e28f3537f350e68aa604782535c6433ca99c1f0e748a038e2a94c2790e99
HyRec/two_photon_tables_hires.dat,False,103017,34958,9eaf7521,2011-03-14T19:31:58,3,db201c729a38c7919172cf080c8ba44cdf8e6b131a6eaa8adcbc9e58fd4d0c93
HyRec/two_photon_tables.dat,False,25191,7620,72663f84,2010-11-11T20:25:58,3,93d23871e21c40f5b72a6ef9acf3eb7be054735c8aee9401e455736c1d9d8cf9
HyRec/helium.c,False,8369,2594,cedb971d,2012-05-03T19:27:32,3,1db7a9845e1f5a3052153bf94c1b98bf908cf16715641cbd14c810e5df6a5ece
HyRec/.DS_Store,False,12292,540,b16ad2de,2012-10-05T12:09:46,3,d04d5432329bbcb96dd25fe2255c162365482b324be32eaee028fd0686941c71
__MACOSX/HyRec/._.DS_Store,False,82,40,21f8c5f2,2012-10-05T12:09:46,3,48df844a65936f992f74b4195a7b88415a2f842032f2f5818c97ab4b77360e13
HyRec/supplement.pdf,False,462167,459481,b030fffb,2012-05-03T21:20:08,3,17a1eba3f768a3a668c859c4540a02a5057d5364f1ca88207e3f79b28cfd7a5e
__MACOSX/HyRec/._supplement.pdf,False,407,297,10540540,2012-05-03T21:20:08,3,a23062d8d897c220449db952fdb5a55e6b529daa87728a6d0719c520fdeca3d8
HyRec/Makefile,False,421,238,30c758b9,2012-10-05T12:09:06,3,b68edb5f1f9c1af52e6027d927d1c472b379ee45e22870c9a42669771b561471
__MACOSX/HyRec/._Makefile,False,204,118,b984c19b,2012-10-05T12:09:06,3,f8d512d279234383f8551abb43d36bbb570116c981cd2d0930cb2bf734c2deaf
