virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
0,5.1790432,1252287074189304.8,2.951084650306298e-09,7321924513192.764,9.018235185579106e-14,9.317737841787068e-14,2.029780269286983e-06,9.617240497700412e-14,2.1796252549917354e-15,2.1796252549917374e-15,2.1796252549917126e-15,2.179625254991722e-15
1,5.3383879,1290816451227629.8,4.98338128364607e-09,8018756554060.65,8.449054462489405e-14,8.72231077574427e-14,1.0966703898734452e-06,8.995567088545221e-14,2.1778759495434642e-15,2.1778759495434635e-15,2.177875949543439e-15,2.1778759495434493e-15
2,5.4977327,1329345852445847.0,8.430935280763627e-09,8758455103483.828,7.914845735632445e-14,8.164620605602321e-14,5.925200365527531e-07,8.414395474870252e-14,2.1743635297716787e-15,2.1743635297716802e-15,2.1743635297716566e-15,2.174363529771662e-15
3,5.6571046,1367881806414910.2,1.4289014550714322e-08,9542436377790.668,7.414739095380163e-14,7.643434096547031e-14,3.2009912848660013e-07,7.872129096624623e-14,2.1690614206309202e-15,2.169061420630919e-15,2.1690614206308903e-15,2.1690614206309025e-15
4,5.8164493,1406411183453235.2,2.425233586350696e-08,10371712906876.4,6.942815837767561e-14,7.152533488126292e-14,1.7294642250063031e-07,7.362251136789643e-14,2.1619287375363604e-15,2.1619287375363577e-15,2.1619287375363344e-15,2.1619287375363407e-15
5,5.9758212,1444947137422298.5,4.1222822157975305e-08,11247847778964.574,6.498531908047881e-14,6.691107149292816e-14,9.343143809854655e-08,6.883682387891586e-14,2.1529095485263686e-15,2.152909548526372e-15,2.1529095485263477e-15,2.1529095485263548e-15
6,6.1351659,1483476514460623.2,7.034458357314583e-08,12171821617615.86,6.077239133224958e-14,6.254790018313351e-14,5.0480390666453707e-08,6.432340899238499e-14,2.148000220291685e-15,2.1480002202916854e-15,2.1480002202916543e-15,2.1480002202916696e-15
7,6.2945106,1522005891498948.2,1.1982895336182754e-07,13145059431512.363,5.6772123777053964e-14,5.840623147316295e-14,2.72740621862556e-08,6.004033910400078e-14,2.135006132254889e-15,2.13500613225489e-15,2.135006132254856e-15,2.1350061322548724e-15
8,6.4538826,1560541869647904.0,2.0434757154665982e-07,14169020526668.162,5.2955265475276796e-14,5.446072525237043e-14,1.4734359492356578e-08,5.5966184926918366e-14,2.1201416473611256e-15,2.1201416473611414e-15,2.1201416473610992e-15,2.1201416473611126e-15
9,6.6132273,1599071246686228.8,3.4865325709557485e-07,15244633783538.527,5.08638636718357e-14,5.225163950040377e-14,7.960831161245774e-09,5.363941516768763e-14,2.1027720497657064e-15,2.102772049765751e-15,2.1027720497656824e-15,2.1027720497656922e-15
10,6.772572,1637600623724553.8,5.951767800224627e-07,16373349739065.83,4.905850547342195e-14,5.033846585568267e-14,4.301159851660711e-09,5.16184259840091e-14,2.083003160979057e-15,2.0830031609791783e-15,2.0830031609790316e-15,2.083003160979042e-15
11,6.9319439,1676136577693617.0,1.0164376142811635e-06,17556654563574.334,4.916856819905133e-14,5.0349448664713964e-14,2.3236308519322356e-09,5.153034282158596e-14,2.06065898195083e-15,2.0606589819508278e-15,2.060658981944553e-15,2.060658981944564e-15
12,7.0912886,1714665954731942.0,1.7358945729449065e-06,18795424031241.527,5.3230672911787746e-14,5.432027090596638e-14,1.2554353402395965e-09,5.540988201132944e-14,2.035527350050264e-15,2.0355273500502613e-15,2.0355273500390934e-15,2.0355273500391053e-15
13,7.2506605,1753201908701005.2,2.9644998341622125e-06,20091361030459.13,6.002720919552885e-14,6.103242783999752e-14,6.782283728571936e-10,6.20376361637659e-14,2.0073521592146923e-15,2.0073521592146868e-15,2.007352159228467e-15,2.0073521592284796e-15
14,7.4100052,1791731285739330.0,5.060199604821941e-06,21445302889541.195,7.115172305975771e-14,7.207867303003292e-14,3.664403029223754e-10,7.300561940332356e-14,1.975802555507249e-15,1.9758025555072472e-15,1.97580255551271e-15,1.97580255551271e-15
15,7.56935,1830260686957547.2,8.63139141488233e-06,22858746297070.72,8.103484785453961e-14,8.188893537469483e-14,1.9798413397826812e-10,8.274301959338877e-14,1.940483035371434e-15,1.9404830353714412e-15,1.940483035375564e-15,1.940483035375564e-15
16,7.7287219,1868796640926610.8,1.4708877231936192e-05,24333225890827.64,8.521214001681954e-14,8.599812324182645e-14,1.069577170505972e-10,8.6784103010088e-14,1.9009378407016063e-15,1.9009378407016074e-15,1.9009378406980497e-15,1.900937840698065e-15
17,7.8880666,1907326017964935.5,2.5026758401492666e-05,25869518923631.945,8.321367530632531e-14,8.393575422551192e-14,5.778825370281711e-11,8.465782733034763e-14,1.8566377488331747e-15,1.8566377488331763e-15,1.8566377488297834e-15,1.8566377488297995e-15
18,8.0474113,1945855395003260.5,4.249988323493391e-05,27469151322322.84,7.701141968815413e-14,7.767324929266494e-14,3.1222459297941094e-11,7.833506945859869e-14,1.8069421176263232e-15,1.8069421176263236e-15,1.806942117628115e-15,1.806942117628132e-15
19,8.2067832,1984391348972323.8,7.19981991535818e-05,29133692263481.047,6.877670417224717e-14,6.938142633437144e-14,1.6867438203597696e-11,6.998613400948975e-14,1.7510643954678137e-15,1.7510643954678199e-15,1.7510643954664614e-15,1.7510643954664614e-15
20,8.319513,2011649293338562.2,4.306941108901372e-05,30350815199576.066,6.292885289792023e-14,6.316247567144268e-14,1.0911748022167988e-11,6.339609508855662e-14,7.047552539482893e-16,7.047552539482886e-16,7.047552539483654e-16,7.047552539483654e-16
21,8.384676,2027405636636760.2,5.234123608798381e-05,31069588561120.18,5.936307647887633e-14,5.95835268479345e-14,8.48309279137006e-12,5.980397336598001e-14,6.807669213703865e-16,6.807669213703852e-16,6.807669213705813e-16,6.807669213705813e-16
22,8.4486423,2042872619162357.8,6.33250832880249e-05,31786112495141.01,5.593410915759015e-14,5.6142115605496573e-14,6.625553221181698e-12,5.635011766300404e-14,6.571515498402366e-16,6.571515498402324e-16,6.571515498402166e-16,6.571515498402166e-16
23,8.5114392,2058056842025986.0,7.627680474754462e-05,32500171284373.945,5.2664503317130436e-14,5.286074052330429e-14,5.1981919564318515e-12,5.305697274164774e-14,6.338950913339587e-16,6.338950913339616e-16,6.338950913338567e-16,6.338950913338567e-16
24,8.5730938,2072964857978491.0,9.147927083470356e-05,33211567422904.227,4.956601293784472e-14,4.975110666335858e-14,4.096370670240723e-12,4.993619474486622e-14,6.10984726955563e-16,6.109847269555678e-16,6.10984726955563e-16,6.10984726955563e-16
