lane,index,energy_eV,frequency_Hz,x,inside_v051_core
production,138,10.196889,2465596790473404.0,-8.134356117541312,False
production,139,10.197848,2465828675641719.5,-4.127640123326414,True
production,140,10.199581,2466247713177373.0,3.112859165506483,True
production,141,10.200541,2466479840144613.0,7.123753174318934,False
production,142,10.201684,2466756216314983.5,11.89922385356774,False
high_resolution_reference,406,10.19692,2465604286240054.5,-8.00483766517269,False
high_resolution_reference,407,10.19785,2465829159239568.0,-4.119284094139948,True
high_resolution_reference,408,10.19958,2466247471378448.5,3.1086811509089305,True
high_resolution_reference,409,10.20047,2466462672420994.0,6.827114138246914,False
high_resolution_reference,410,10.20138,2466682709442024.0,10.629107417440917,False
