cell,left_x,right_x,baseline,null_direction,epsilon,weight_plus,weight_minus
0,-17/4,-15/4,1/17,-1,1/340,19/340,21/340
1,-15/4,-13/4,1/17,5,1/340,5/68,3/68
2,-13/4,-11/4,1/17,-10,1/340,1/34,3/34
3,-11/4,-9/4,1/17,10,1/340,3/34,1/34
4,-9/4,-7/4,1/17,-5,1/340,3/68,5/68
5,-7/4,-5/4,1/17,1,1/340,21/340,19/340
6,-5/4,-3/4,1/17,0,1/340,1/17,1/17
7,-3/4,-1/4,1/17,0,1/340,1/17,1/17
8,-1/4,1/4,1/17,0,1/340,1/17,1/17
9,1/4,3/4,1/17,0,1/340,1/17,1/17
10,3/4,5/4,1/17,0,1/340,1/17,1/17
11,5/4,7/4,1/17,0,1/340,1/17,1/17
12,7/4,9/4,1/17,0,1/340,1/17,1/17
13,9/4,11/4,1/17,0,1/340,1/17,1/17
14,11/4,13/4,1/17,0,1/340,1/17,1/17
15,13/4,15/4,1/17,0,1/340,1/17,1/17
16,15/4,17/4,1/17,0,1/340,1/17,1/17
