process,owner,support
native_free_streaming,native_transport,original-HyRec full native frequency support outside interfaces
native_line_escape,native_transport,original-HyRec native line/virtual-state support
native_real_virtual_algebra,native_transport,original-HyRec 2 real + 311 virtual states
local_com_khw_collision,com_collision,"35-state x in [-21.25,21.25]"
local_stimulated_bose,com_collision,"35-state x in [-21.25,21.25]"
local_recoil_four_force,com_collision,same-event 35-state collision ledger
com_internal_liouville,com_liouville,"inside x in [-21.25,21.25] excluding cross-interface transfer"
analytic_blackbody_reference,analytic_background,Planck reference field used by original-HyRec distortion variables
cross_interface_red,interface,x=-21.25
cross_interface_blue,interface,x=+21.25
