target_z,snapshot_z,order_r,units,source_stored,dense_direct,structured_schur,direct_relative_residual,schur_relative_residual
1300.0,1299.9971824762927,0,Hz^r s^-1 per H,2.1660907573782665e-13,2.1660907573784694e-13,2.1660907573784725e-13,9.369789008329125e-14,9.509636605468367e-14
1300.0,1299.9971824762927,1,Hz^r s^-1 per H,440.8261631520389,440.8261631520634,440.8261631520641,5.5576359973349603e-14,5.72526770955156e-14
1300.0,1299.9971824762927,2,Hz^r s^-1 per H,9.383955287897147e+17,9.383955287897414e+17,9.383955287897431e+17,2.850823472539676e-14,3.028147420592383e-14
1300.0,1299.9971824762927,3,Hz^r s^-1 per H,2.071902626944138e+33,2.0719026269441614e+33,2.0719026269441652e+33,1.1268222823155925e-14,1.3076703029341443e-14
1300.0,1299.9971824762927,4,Hz^r s^-1 per H,4.706681334713865e+48,4.7066813347138715e+48,4.706681334713882e+48,1.3789697265670326e-15,3.5853212890742846e-15
1100.0,1099.9986525171403,0,Hz^r s^-1 per H,7.462909149794286e-14,7.462909149793721e-14,7.462909149793926e-14,7.57687766945425e-14,4.8201119102554934e-14
1100.0,1099.9986525171403,1,Hz^r s^-1 per H,145.3288510710767,145.3288510710641,145.32885107106895,8.68323040751738e-14,5.3390132911086586e-14
1100.0,1099.9986525171403,2,Hz^r s^-1 per H,2.965383307182952e+17,2.9653833071826566e+17,2.965383307182773e+17,9.949472612371364e-14,6.021481255643408e-14
1100.0,1099.9986525171403,3,Hz^r s^-1 per H,6.299833085282766e+32,6.299833085282058e+32,6.299833085282339e+32,1.1232132087840732e-13,6.771305698576083e-14
1100.0,1099.9986525171403,4,Hz^r s^-1 per H,1.3835845692502105e+48,1.3835845692500376e+48,1.3835845692501062e+48,1.2501468500308307e-13,7.540754451874523e-14
900.0,900.0168986313175,0,Hz^r s^-1 per H,5.744121096792166e-15,5.744121096793247e-15,5.744121096792925e-15,1.8814705016513853e-13,1.3211493595537463e-13
900.0,900.0168986313175,1,Hz^r s^-1 per H,11.294219828615637,11.294219828616521,11.294219828615782,7.832552575079068e-14,1.2896974119608104e-14
900.0,900.0168986313175,2,Hz^r s^-1 per H,2.325878150106397e+16,2.3258781501062732e+16,2.3258781501061004e+16,5.314121893889667e-14,1.2743573862046095e-13
900.0,900.0168986313175,3,Hz^r s^-1 per H,4.981786478502516e+31,4.981786478501562e+31,4.981786478501147e+31,1.9146994862047846e-13,2.748199451398746e-13
900.0,900.0168986313175,4,Hz^r s^-1 per H,1.101560251607385e+47,1.101560251607026e+47,1.1015602516069261e+47,3.2590014886683465e-13,4.164893427891412e-13
