model,bianchi_type,side,root_index,tau,source_sha256,source_derived
Bianchi_II_large_shear,II,red,0,0.6072662349590596,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_II_large_shear,II,blue,0,0.6072662349590596,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,red,0,0.048380869697099496,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,red,1,0.1862593882124951,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,red,2,0.2043080767458395,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,red,3,0.46910687292085984,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,red,4,0.4750364392589532,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,blue,0,0.048380869697099496,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,blue,1,0.1862593882124951,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,blue,2,0.2043080767458395,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,blue,3,0.46910687292085984,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_h_tilted_large_shear,VI_h,blue,4,0.4750364392589532,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,red,0,0.1606199303999903,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,red,1,0.996492026136888,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,red,2,1.2494521440211037,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,blue,0,0.1606199303999903,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,blue,1,0.996492026136888,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,blue,2,1.2494521440211037,df136bca7c120054cc45cf2b4fc2bd52acc3d60e6159b0f63c2622de03f2f03c,1
